Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 63	959.104	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 64	969.487	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 65	979.869	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 66	990.252	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 67	1000.63	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 68	1011.02	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 69	1021.4	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 70	1031.78	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 71	1042.16	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 72	1052.55	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 73	1062.93	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 74	1073.31	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 75	1083.7	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 76	1094.08	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 77	1104.46	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 78	1114.84	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 79	1125.23	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 80	1135.61	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 81	1145.99	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 82	1156.37	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 83	1166.76	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 84	1177.14	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 85	1187.52	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 86	1197.9	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 87	1208.29	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 88	1218.67	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 89	1229.05	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 90	1239.43	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 91	1249.82	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 92	1260.2	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 93	1270.58	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 94	1280.96	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 95	1291.35	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 96	1301.73	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 97	1312.11	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 98	1322.5	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 99	1332.88	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 100	1343.26	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 101	1353.64	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 102	1364.03	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 103	1374.41	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 104	1384.79	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 105	1395.17	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 106	1405.56	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 107	1415.94	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 108	1426.32	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
