Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 3	5208.11	81.4193	9.70035	3.36755e-014	0.646931	9.05342	3.32e-015	0.0655912	0.934409
Seg 4	5312.06	81.1444	9.70037	4.97458e-014	0.645772	9.0546	4.90452e-015	0.0654743	0.934526
Seg 5	5416.02	80.8695	9.7004	6.52328e-014	0.644615	9.05578	6.43165e-015	0.0653575	0.934642
Seg 6	5519.97	80.5947	9.70042	8.02033e-014	0.643459	9.05696	7.90795e-015	0.065241	0.934759
Seg 7	5623.92	80.3199	9.70045	9.49258e-014	0.642306	9.05815	9.35991e-015	0.0651246	0.934875
Seg 8	5727.87	80.0452	9.70048	1.09091e-013	0.641155	9.05933	1.0757e-014	0.0650085	0.934992
Seg 9	5831.82	79.7705	9.70052	1.22855e-013	0.640006	9.06051	1.21147e-014	0.0648925	0.935107
Seg 10	5935.77	79.4959	9.70056	1.36272e-013	0.638859	9.0617	1.34382e-014	0.0647768	0.935223
Seg 11	6039.72	79.2213	9.70059	1.49304e-013	0.637714	9.06288	1.47239e-014	0.0646612	0.935339
Seg 12	6091.24	87.2771	5.91522	1.01901e-013	0.391748	5.52348	1.60355e-014	0.0644642	0.935536
Seg 13	6142.75	87.1094	5.91523	0	0.391403	5.52383	0	0.064408	0.935592
Seg 14	6194.27	86.9417	5.91524	0	0.391058	5.52418	0	0.0643518	0.935648
Seg 15	6245.78	86.7741	5.91525	0	0.390714	5.52454	0	0.0642957	0.935704
Seg 16	6297.29	86.6066	5.91526	0	0.39037	5.52489	0	0.0642396	0.93576
Seg 17	6348.81	86.439	5.91527	0	0.390026	5.52525	0	0.0641835	0.935816
Seg 18	6400.32	86.2716	5.91529	0	0.389683	5.5256	0	0.0641275	0.935872
Seg 19	6451.83	86.1041	5.9153	9.4578e-016	0.38934	5.52596	1.48863e-016	0.0640716	0.935928
Seg 20	6503.35	85.9368	5.91531	1.12867e-014	0.388997	5.52631	1.77655e-015	0.0640157	0.935984
Seg 21	6560.13	85.7581	5.91532	4.37411e-014	0.388618	5.5267	6.88514e-015	0.063954	0.936046
Seg 22	6052.44	66.3432	3.78538	6.9319e-014	0.245567	3.53982	1.83107e-014	0.0648725	0.935127
Seg 23	6065.16	66.3062	3.78539	6.66546e-014	0.245519	3.53987	1.76068e-014	0.0648596	0.93514
Seg 24	6077.87	66.2693	3.78539	6.40219e-014	0.24547	3.53992	1.69114e-014	0.0648468	0.935153
