Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
114.172   	30        	330.009   	0.0152316 	0.00309922	
115.044   	30        	332.002   	0.0152418 	0.00321382	
115.918   	30        	333.985   	0.0151327 	0.00330589	
116.837   	30        	336.06    	0.0145113 	0.00328988	
117.849   	30        	338.326   	0.0137144 	0.0032409 	
119.006   	30        	340.892   	0.014678  	0.00363911	
120       	30        	343.083   	0.015595  	0.00402989	
121.168   	30        	345.634   	0.0162918 	0.00442087	
122.412   	30        	348.325   	0.0168184 	0.00480998	
123.706   	30        	351.098   	0.0172829 	0.00524135	
125.041   	30        	353.928   	0.0177385 	0.00573221	
126.397   	30        	356.773   	0.0182013 	0.00628691	
127.655   	30        	359.389   	0.0186381 	0.00686452	
128.803   	30        	361.755   	0.0190437 	0.00745579	
129.859   	30        	363.913   	0.0194217 	0.00810246	
130.842   	30        	365.907   	0.0197779 	0.00878126	
131.769   	30        	367.775   	0.0201168 	0.00950066	
132.652   	30        	369.543   	0.0204418 	0.010272  	
133.501   	30        	371.231   	0.0207556 	0.0111086 	
134.324   	30        	372.859   	0.0210605 	0.0120267 	
135.127   	30        	374.439   	0.0213586 	0.0130464 	
135.918   	30        	375.985   	0.021651  	0.0141935 	
136.703   	30        	377.511   	0.0219395 	0.015502  	
137.489   	30        	379.029   	0.0222277 	0.0169606 	
138.281   	30        	380.552   	0.0225183 	0.0185197 	
139.085   	30        	382.09    	0.0228093 	0.0202664 	
139.908   	30        	383.654   	0.0231035 	0.0222367 	
140.759   	30        	385.262   	0.0234032 	0.0244737 	
141.649   	30        	386.936   	0.0237111 	0.0270439 	
142.597   	30        	388.707   	0.0240304 	0.0300856 	
143.571   	30        	390.514   	0.0243502 	0.033396  	
144.531   	30        	392.285   	0.0246573 	0.0367794 	
145.466   	30        	393.999   	0.0249477 	0.0401044 	
146.371   	30        	395.65    	0.0252204 	0.0432771 	
147.247   	30        	397.239   	0.0254752 	0.0462373 	
148.095   	30        	398.77    	0.0257123 	0.0489554 	
148.92    	30        	400.25    	0.0259313 	0.0514235 	
149.723   	30        	401.687   	0.0261301 	0.0536467 	
150.51    	30        	403.086   	0.0263015 	0.0556217 	
151.285   	30        	404.459   	0.0264255 	0.057311  	
152.064   	30        	405.831   	0.0264181 	0.0584964 	
152.89    	30        	407.276   	0.0259505 	0.0582724 	
153.973   	30        	409.153   	0.0256578 	0.0577124 	
155.009   	30        	410.933   	0.0266608 	0.0593883 	
155.923   	30        	412.492   	0.0275521 	0.0605826 	
156.774   	30        	413.937   	0.0280979 	0.0609569 	
157.603   	30        	415.334   	0.0284887 	0.0610075 	
158.426   	30        	416.714   	0.0288197 	0.060981  	
159.249   	30        	418.086   	0.0291294 	0.0609571 	
160.074   	30        	419.456   	0.0294309 	0.0609852 	
160.902   	30        	420.821   	0.0297279 	0.0611061 	
161.728   	30        	422.177   	0.0300209 	0.0613372 	
162.549   	30        	423.516   	0.0303073 	0.0617629 	
163.361   	30        	424.835   	0.030587  	0.0622908 	
164.161   	30        	426.13    	0.0308588 	0.0629058 	
164.949   	30        	427.397   	0.0311214 	0.0636001 	
165.723   	30        	428.636   	0.0313739 	0.0643647 	
166.481   	30        	429.844   	0.0316153 	0.0651905 	
167.225   	30        	431.024   	0.0318447 	0.0660807 	
167.952   	30        	432.172   	0.0320609 	0.0670261 	
168.663   	30        	433.29    	0.0322631 	0.0680125 	
169.358   	30        	434.378   	0.0324506 	0.069026  	
170.039   	30        	435.438   	0.0326225 	0.0700502 	
170.707   	30        	436.474   	0.0327765 	0.0710769 	
171.364   	30        	437.488   	0.0329063 	0.0720144 	
172.013   	30        	438.485   	0.0329922 	0.0727227 	
172.664   	30        	439.479   	0.0329422 	0.0728825 	
173.347   	30        	440.512   	0.0323222 	0.0708093 	
174.036   	30        	441.542   	0.0313583 	0.0670654 	
174.512   	30        	442.25    	0.0318649 	0.0670575 	
174.894   	30        	442.816   	0.0327331 	0.0681122 	
175.235   	30        	443.319   	0.0332943 	0.0687091 	
175.556   	30        	443.792   	0.0336417 	0.0689949 	
175.867   	30        	444.249   	0.0338664 	0.0691304 	
176.173   	30        	444.699   	0.0340212 	0.0692721 	
176.478   	30        	445.144   	0.0341343 	0.0695032 	
176.78    	30        	445.586   	0.0342232 	0.0697202 	
177.081   	30        	446.025   	0.0342977 	0.0699215 	
177.382   	30        	446.461   	0.0343626 	0.0700869 	
177.681   	30        	446.895   	0.0344211 	0.0702581 	
177.981   	30        	447.328   	0.0344702 	0.0703775 	
178.28    	30        	447.759   	0.0345037 	0.0700777 	
178.581   	30        	448.192   	0.0344947 	0.0687675 	
178.888   	30        	448.632   	0.034337  	0.0630489 	
179.224   	30        	449.112   	0.0334147 	0.0417906 	
179.74    	30        	449.847   	0.0338174 	0.0216876 	
180       	30        	450.217   	0.0347798 	0.0179825 	
180.759   	30        	451.289   	0.0358483 	0.0161992 	
182.97    	30        	454.362   	0.0367419 	0.0161136 	
189.26    	30        	462.679   	0.0387414 	0.0169721 	
199.26    	30        	474.887   	0.04189   	0.0183963 	
209.26    	30        	486.127   	0.0451213 	0.019876  	
219.26    	30        	496.439   	0.0484045 	0.0213971 	
229.26    	30        	505.859   	0.0517021 	0.0229441 	
239.26    	30        	514.423   	0.0549588 	0.0244926 	
240       	30        	515.052   	0.0552348 	0.024624  	
242.218   	30        	516.894   	0.0559818 	0.0249824 	
248.865   	30        	522.051   	0.0581068 	0.0260096 	
258.865   	30        	529.037   	0.0610209 	0.0274399 	
268.865   	30        	535.303   	0.06361   	0.0287375 	
278.865   	30        	540.909   	0.0657559 	0.0298442 	
288.865   	30        	545.919   	0.0673704 	0.030715  	
298.865   	30        	550.401   	0.068394  	0.0313178 	
300       	30        	550.904   	0.0685279 	0.0313957 	
303.405   	30        	552.351   	0.0687269 	0.0315337 	
313.405   	30        	556.179   	0.0688192 	0.031705  	
323.405   	30        	559.648   	0.0683369 	0.0316064 	
333.405   	30        	562.819   	0.0672912 	0.03124   	
343.405   	30        	565.748   	0.0657397 	0.0306305 	
353.405   	30        	568.483   	0.0637488 	0.0298076 	
363.405   	30        	571.067   	0.0613876 	0.0288026 	
