Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t		BHP		q(Gas)		q(Oil)		 q(Water)
days		psi		Mscf/d		stb/d		stb/d

0         	4500      	0         	0         	0         	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	5.51085	0.361089	0.817043	0.0655233	0.786216	0.148261
 -------Seg 1	4564.73   	5.46898	0.318474	0.816883	0.0582328	0.7924	0.149367
 -------Seg 2	4629.18   	5.42847	0.27723	0.816725	0.0510697	0.798478	0.150452
 -------Seg 3	4693.36   	5.38927	0.237289	0.816567	0.0440298	0.804453	0.151517
 -------Seg 4	4757.28   	5.35129	0.198583	0.81641	0.0371093	0.810328	0.152563
 -------Seg 5	4820.94   	5.31449	0.161052	0.816253	0.0303042	0.816106	0.15359
 -------Seg 6	4884.36   	5.27881	0.124639	0.816098	0.0236112	0.82179	0.154599
 -------Seg 7	4947.55   	5.24419	0.0892908	0.815942	0.0170266	0.827384	0.15559
 -------Seg 8	5010.51   	5.21058	0.0549582	0.815788	0.0105474	0.832889	0.156564
 -------Seg 9	5073.25   	5.17797	0.021631	0.815634	0.0041775	0.838303	0.15752
 -------Seg 10	5135.83   	5.15514	3.41407e-016	0.81548	6.62266e-017	0.841812	0.158188
 -------Seg 11	5203.38   	5.14976	3.88411e-016	0.815315	7.54231e-017	0.841679	0.158321



10.0133   	4500      	2568.96   	2233.88   	703.025   	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	5.40433	0.354247	0.79946	0.0655488	0.786521	0.14793
 -------Seg 1	4562.75   	5.36448	0.313699	0.799309	0.0584771	0.792523	0.149
 -------Seg 2	4625.25   	5.3259	0.274415	0.799159	0.0515246	0.798424	0.150051
 -------Seg 3	4687.49   	5.28852	0.236331	0.799009	0.0446876	0.804229	0.151084
 -------Seg 4	4749.5    	5.25228	0.199389	0.79886	0.0379624	0.80994	0.152098
 -------Seg 5	4811.26   	5.21712	0.163535	0.798711	0.0313458	0.81556	0.153094
 -------Seg 6	4872.81   	5.18299	0.128717	0.798563	0.0248344	0.821092	0.154074
 -------Seg 7	4934.13   	5.14986	0.094887	0.798416	0.0184252	0.826538	0.155037
 -------Seg 8	4995.25   	5.11766	0.0620011	0.798269	0.0121151	0.831902	0.155983
 -------Seg 9	5056.16   	5.0864	0.0300532	0.798123	0.00590855	0.837178	0.156913
 -------Seg 10	5116.89   	5.05684	0	0.797977	0	0.842198	0.157802
 -------Seg 11	5182.38   	5.05172	2.58839e-016	0.79782	5.12377e-017	0.84207	0.15793



20.0133   	4500      	2491.67   	2166.67   	679.157   	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	5.23865	0.34359	0.772318	0.0655875	0.786986	0.147427
 -------Seg 1	4559.75   	5.20183	0.306117	0.772179	0.058848	0.792708	0.148444
 -------Seg 2	4619.28   	5.16611	0.269753	0.772041	0.0522158	0.798341	0.149443
 -------Seg 3	4678.59   	5.13145	0.234445	0.771903	0.0456878	0.803886	0.150426
 -------Seg 4	4737.68   	5.0978	0.200144	0.771765	0.0392609	0.809347	0.151392
 -------Seg 5	4796.57   	5.0651	0.166805	0.771629	0.0329322	0.814726	0.152342
 -------Seg 6	4855.26   	5.03333	0.134384	0.771492	0.0266988	0.820024	0.153277
 -------Seg 7	4913.76   	5.00242	0.102841	0.771357	0.0205581	0.825245	0.154197
 -------Seg 8	4972.08   	4.97236	0.0721374	0.771221	0.0145077	0.830391	0.155102
 -------Seg 9	5030.21   	4.94312	0.0422577	0.771086	0.00854881	0.835459	0.155992
 -------Seg 10	5088.17   	4.91463	0.0131619	0.770949	0.00267809	0.840454	0.156868
 -------Seg 11	5150.55   	4.89907	4.62416e-016	0.770807	9.43886e-017	0.842663	0.157337



30.0133   	4500      	2414.78   	2099.81   	655.657   	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	5.0741	0.332987	0.745595	0.0656249	0.787434	0.146941
 -------Seg 1	4556.87   	5.04012	0.298403	0.745467	0.0592056	0.792888	0.147907
 -------Seg 2	4613.54   	5.0071	0.26479	0.74534	0.0528829	0.798261	0.148856
 -------Seg 3	4670.01   	4.97502	0.232104	0.745213	0.0466538	0.803555	0.149791
 -------Seg 4	4726.31   	4.94381	0.200303	0.745087	0.0405159	0.808773	0.150711
 -------Seg 5	4782.42   	4.91346	0.169351	0.744961	0.0344667	0.813917	0.151616
 -------Seg 6	4838.36   	4.88391	0.13921	0.744835	0.0285038	0.818988	0.152508
 -------Seg 7	4894.13   	4.85514	0.109846	0.74471	0.0226248	0.823989	0.153386
 -------Seg 8	4949.74   	4.82711	0.0812289	0.744586	0.0168276	0.828922	0.154251
 -------Seg 9	5005.19   	4.7998	0.0533268	0.744462	0.0111102	0.833787	0.155103
 -------Seg 10	5060.48   	4.77321	0.0261465	0.744338	0.00547777	0.838581	0.155941
 -------Seg 11	5119.86   	4.74726	0	0.744205	0	0.843235	0.156765



40.0133   	4500      	2338.24   	2033.26   	632.503   	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	4.91057	0.322432	0.719264	0.0656609	0.787866	0.146473
 -------Seg 1	4554.09   	4.87925	0.290561	0.719147	0.0595503	0.793061	0.147389
 -------Seg 2	4608.01   	4.84878	0.259537	0.71903	0.0535262	0.798183	0.148291
 -------Seg 3	4661.76   	4.81912	0.229324	0.718914	0.0475864	0.803234	0.149179
 -------Seg 4	4715.35   	4.79024	0.19989	0.718798	0.0417285	0.808217	0.150055
 -------Seg 5	4768.78   	4.7621	0.1712	0.718682	0.0359506	0.813132	0.150917
 -------Seg 6	4822.07   	4.73467	0.143226	0.718567	0.0302505	0.817983	0.151767
 -------Seg 7	4875.2    	4.70793	0.115939	0.718452	0.0246263	0.822769	0.152605
 -------Seg 8	4928.2    	4.68185	0.0893121	0.718337	0.0190762	0.827494	0.15343
 -------Seg 9	4981.06   	4.6564	0.0633197	0.718223	0.0135984	0.832157	0.154244
 -------Seg 10	5033.78   	4.63158	0.0379589	0.718109	0.00819566	0.836758	0.155046
 -------Seg 11	5090.33   	4.60553	0.0113385	0.717985	0.00246192	0.841642	0.155896



50        	4500      	2262.3    	1967.21   	609.752   	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	4.74856	0.31196	0.693392	0.0656956	0.788283	0.146021
 -------Seg 1	4551.43   	4.71974	0.282624	0.693285	0.0598813	0.793228	0.146891
 -------Seg 2	4602.71   	4.69165	0.254026	0.693178	0.0541444	0.798109	0.147747
 -------Seg 3	4653.84   	4.66427	0.226138	0.693071	0.048483	0.802925	0.148592
 -------Seg 4	4704.84   	4.63757	0.19893	0.692964	0.0428953	0.807681	0.149424
 -------Seg 5	4755.7    	4.61152	0.172376	0.692858	0.0373795	0.812375	0.150245
 -------Seg 6	4806.44   	4.5861	0.146452	0.692752	0.0319339	0.817011	0.151055
 -------Seg 7	4857.04   	4.56129	0.121133	0.692647	0.0265567	0.82159	0.151853
 -------Seg 8	4907.52   	4.53705	0.0963965	0.692542	0.0212465	0.826112	0.152641
 -------Seg 9	4957.88   	4.51338	0.0722215	0.692437	0.0160016	0.83058	0.153419
 -------Seg 10	5008.13   	4.49025	0.0485876	0.692332	0.0108207	0.834994	0.154186
 -------Seg 11	5061.98   	4.46601	0.0238134	0.69222	0.00533215	0.83967	0.154997


