KVALUES
Results of phase equilibrium constant Ki at temperature = 620

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	
      87    36.36974    3.482387   0.2025568  0.006069646  0.00012012  2.258587e-006  
      88    35.96248    3.445113   0.2005245  0.006014206  0.0001191568  2.242912e-006  
      89    35.56438    3.408677   0.1985381  0.005960038  0.0001182163  2.227627e-006  
      90    35.17512    3.373052   0.1965961  0.005907098  0.0001172979  2.212721e-006  
      91    34.79443    3.338212    0.194697  0.005855347  0.0001164008  2.19818e-006  
      92    34.42202    3.304129   0.1928396  0.005804745  0.0001155243  2.183994e-006  
      93    34.05763    3.270781   0.1910223  0.005755256  0.0001146677  2.17015e-006  
      94    33.70099    3.238143    0.189244  0.005706845  0.0001138305  2.156639e-006  
      95    33.35186    3.206194   0.1875033  0.005659476  0.000113012  2.14345e-006  
      96    33.01001    3.174911   0.1857992  0.005613119  0.0001122116  2.130572e-006  
      97    32.67522    3.144274   0.1841305  0.005567741  0.0001114289  2.117998e-006  
      98    32.34726    3.114264   0.1824961  0.005523314  0.0001106631  2.105717e-006  
      99    32.02593     3.08486    0.180895  0.005479807  0.000109914  2.09372e-006  
     100    31.71103    3.056046   0.1793262  0.005437194  0.0001091808  2.082e-006  
     101    31.40237    3.027804   0.1777887  0.005395447  0.0001084632  2.070549e-006  
     102    31.09977    3.000116   0.1762816  0.005354543  0.0001077608  2.059358e-006  
     103    30.80304    2.972967    0.174804  0.005314455  0.000107073  2.048421e-006  
     104    30.51203    2.946341   0.1733551  0.005275162  0.0001063996  2.037729e-006  
     105    30.22656    2.920223    0.171934  0.005236639  0.0001057399  2.027277e-006  
     106    29.94648    2.894599     0.17054  0.005198866  0.0001050938  2.017058e-006  
     107    29.67165    2.869455   0.1691723  0.005161821  0.0001044607  2.007065e-006  
     108     29.4019    2.844777   0.1678302  0.005125485  0.0001038404  1.997292e-006  
     109    29.13711    2.820553   0.1665129  0.005089837  0.0001032325  1.987734e-006  
     110    28.87713    2.796771   0.1652198  0.005054859  0.0001026366  1.978384e-006  
     111    28.62184    2.773418   0.1639503  0.005020534  0.0001020525  1.969237e-006  
     112    28.37111    2.750483   0.1627037  0.004986843  0.0001014798  1.960288e-006  
     113    28.12483    2.727955   0.1614794  0.00495377  0.0001009183  1.951532e-006  
     114    27.88286    2.705823   0.1602767  0.004921298  0.0001003676  1.942964e-006  
     115    27.64511    2.684076   0.1590953  0.004889413  9.982742e-005  1.934579e-006  
     116    27.41146    2.662706   0.1579344  0.004858099  9.929756e-005  1.926373e-006  
     117    27.18181    2.641702   0.1567936  0.004827341  9.877773e-005  1.918341e-006  
     118    26.95605    2.621055   0.1556724  0.004797125  9.826768e-005  1.910478e-006  
     119    26.73408    2.600755   0.1545703  0.004767438  9.776716e-005  1.902782e-006  
     120    26.51582    2.580795   0.1534867  0.004738266  9.727595e-005  1.895247e-006  
     121    26.30117    2.561166   0.1524213  0.004709597  9.679382e-005  1.88787e-006  
     122    26.09004    2.541859   0.1513736  0.004681419  9.632054e-005  1.880647e-006  
     123    25.88235    2.522867   0.1503431  0.004653719  9.58559e-005  1.873574e-006  
     124    25.67801    2.504183   0.1493295  0.004626487  9.53997e-005  1.866649e-006  
     125    25.47694    2.485798   0.1483323  0.00459971  9.495174e-005  1.859867e-006  
     126    25.27906    2.467706   0.1473512  0.004573378  9.451183e-005  1.853226e-006  
     127     25.0843    2.449899   0.1463857  0.004547481  9.407977e-005  1.846722e-006  
     128    24.89259    2.432372   0.1454355  0.004522008  9.365539e-005  1.840352e-006  
     129    24.70385    2.415117   0.1445003  0.00449695  9.323852e-005  1.834113e-006  
     130    24.51802    2.398129   0.1435797  0.004472298  9.282897e-005  1.828003e-006  
     131    24.33503      2.3814   0.1426734  0.004448041  9.24266e-005  1.822018e-006  
     132    24.15481    2.364926    0.141781  0.004424171  9.203123e-005  1.816155e-006  
     133     23.9773    2.348701   0.1409022  0.004400679  9.164272e-005  1.810413e-006  
     134    23.80244    2.332718   0.1400367  0.004377558  9.126091e-005  1.804788e-006  
     135    23.63018    2.316974   0.1391843  0.004354798  9.088566e-005  1.799279e-006  
     136    23.46045    2.301461   0.1383447  0.004332391  9.051683e-005  1.793882e-006  
     137     23.2932    2.286176   0.1375174  0.004310331  9.015427e-005  1.788596e-006  
     138    23.12837    2.271113   0.1367024  0.00428861  8.979786e-005  1.783418e-006  
     139    22.96592    2.256268   0.1358993  0.00426722  8.944747e-005  1.778345e-006  
     140     22.8058    2.241635   0.1351079  0.004246154  8.910296e-005  1.773377e-006  
     141    22.64794    2.227211    0.134328  0.004225406  8.876422e-005  1.76851e-006  
     142    22.49231     2.21299   0.1335592  0.004204968  8.843113e-005  1.763743e-006  
     143    22.33886     2.19897   0.1328013  0.004184835  8.810358e-005  1.759073e-006  
     144    22.18754    2.185145   0.1320542  0.004164999  8.778144e-005  1.754499e-006  
