 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
292.9392	3207.303	1	0	2573.419	0.5264843	0.4735157	
294.0289	3207.178	1	0	2573.299	0.5264864	0.4735136	
294.8492	3207.085	1	0	2573.208	0.5264879	0.4735121	
297.216	3206.808	1	0	2572.949	0.5264919	0.4735081	
303.636	3206.022	1	0	2572.294	0.5265063	0.4734937	
308.4224	3205.415	1	0	2571.834	0.5265225	0.4734775	
320.5843	3203.819	1	0	2570.8	0.5266042	0.4733958	
329.3058	3202.715	1	0	2570.105	0.5266786	0.4733214	
335.5666	3201.922	1	0	2569.628	0.5267377	0.4732623	
340.603	3201.329	1	0	2569.249	0.5267876	0.4732124	
344.3624	3200.898	1	0	2568.966	0.5268253	0.4731747	
347.0903	3200.591	1	0	2568.759	0.5268526	0.4731474	
349.3153	3200.34	1	0	2568.59	0.5268746	0.4731254	
355.5661	3199.66	1	0	2568.115	0.5269325	0.4730675	
360.1353	3199.187	1	0	2567.765	0.5269727	0.4730273	
363.5282	3198.83	1	0	2567.505	0.5270015	0.4729985	
372.5438	3197.909	1	0	2566.816	0.5270707	0.4729293	
379.0565	3197.267	1	0	2566.316	0.5271177	0.4728823	
383.8016	3196.814	1	0	2565.95	0.5271504	0.4728496	
387.3074	3196.492	1	0	2565.678	0.5271738	0.4728262	
389.8741	3196.256	1	0	2565.478	0.5271906	0.4728094	
396.9325	3195.613	1	0	2564.925	0.5272331	0.4727669	
402.0779	3195.136	1	0	2564.526	0.5272629	0.4727371	
405.7776	3194.799	1	0	2564.241	0.5272842	0.4727158	
408.4582	3194.553	1	0	2564.037	0.5272997	0.4727003	
415.8267	3193.934	1	0	2563.473	0.5273422	0.4726578	
421.1192	3193.471	1	0	2563.073	0.5273726	0.4726274	
434.7232	3192.215	1	0	2562.112	0.527455	0.472545	
443.9751	3191.363	1	0	2561.494	0.5275139	0.4724861	
450.6838	3190.725	1	0	2561.066	0.5275584	0.4724416	
468.0158	3189.142	1	0	2560.046	0.5276769	0.4723231	
480.6838	3187.95	1	0	2559.347	0.5277629	0.4722371	
500.6838	3186.156	1	0	2558.313	0.5278865	0.4721135	
514.1035	3184.954	1	0	2557.652	0.5279635	0.4720365	
534.1035	3183.196	1	0	2556.748	0.5280698	0.4719302	
554.1035	3181.503	1	0	2555.909	0.5281699	0.4718301	
574.1035	3179.889	1	0	2555.112	0.528262	0.471738	
594.1035	3178.356	1	0	2554.354	0.5283462	0.4716538	
614.1035	3176.901	1	0	2553.631	0.528423	0.471577	
634.1035	3175.521	1	0	2552.939	0.5284924	0.4715076	
654.1035	3174.21	1	0	2552.281	0.5285551	0.4714449	
674.1035	3172.962	1	0	2551.655	0.5286114	0.4713886	
694.1035	3171.775	1	0	2551.06	0.5286607	0.4713393	
714.1035	3170.638	1	0	2550.495	0.5287034	0.4712966	
734.1035	3169.531	1	0	2549.969	0.5287403	0.4712597	
754.1035	3168.456	1	0	2549.483	0.528772	0.471228	
774.1035	3167.387	1	0	2549.047	0.5287996	0.4712004	
794.1035	3166.349	1	0	2548.658	0.5288227	0.4711773	
814.1035	3165.349	1	0	2548.304	0.5288392	0.4711608	
834.1035	3164.378	1	0	2547.991	0.52885	0.47115	
854.1035	3163.491	1	0	2547.679	0.5288507	0.4711493	
874.1035	3162.64	1	0	2547.396	0.5288452	0.4711548	
894.1035	3161.898	1	0	2547.099	0.5288316	0.4711684	
904.1035	3161.538	1	0	2546.951	0.5288232	0.4711768	
