Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 4	4835.04	40.33	2.23704	0.0758917	2.16115	0	0.0339208	0.966079	0
Seg 5	4879.55	40.33	2.22465	0.063279	2.16137	0	0.028441	0.971559	0
Seg 6	4923.81	40.33	2.21255	0.05094	2.16161	0	0.0230204	0.97698	0
Seg 7	4967.84	40.33	2.20073	0.0388663	2.16187	0	0.0176584	0.982342	0
Seg 8	5011.64	40.33	2.18919	0.0270506	2.16214	0	0.0123549	0.987645	0
Seg 9	5055.21	40.33	2.17793	0.0155045	2.16243	0	0.00711798	0.992882	0
Seg 10	5098.56	40.33	2.1669	0.00417714	2.16273	0	0.00192746	0.998073	0
Seg 11	5141.81	40.33	2.1618	2.55851e-008	2.1618	0	1.18336e-008	1	0
Seg 12	5185.03	40.33	2.16014	1.82171e-008	2.16014	0	8.43223e-009	1	0
Seg 13	5228.21	40.33	2.15848	1.26892e-008	2.15848	0	5.87801e-009	1	0
Seg 14	5271.36	40.33	2.15682	9.74288e-009	2.15682	0	4.51666e-009	1	0
Seg 15	5315.26	40.33	2.15514	1.01881e-008	2.15514	0	4.72674e-009	1	0
Seg 16	4876.3	40.33	8.87511	0.256706	8.6184	0	0.0277976	0.972202	0
Seg 17	5049.38	40.33	8.69118	0.0679788	8.6232	0	0.00750872	0.992491	0
Seg 18	5179.26	40.33	7.39515	0	7.39515	0	0	1	0
Seg 19	5318.07	40.33	7.37692	0	7.37692	0	0	1	0
Seg 20	5049.39	40.33	1.23072	0.00961571	1.22111	0	0.0078113	0.992189	0
Seg 21	5075.16	40.33	1.227	0.00579116	1.22121	0	0.00471871	0.995281	0
Seg 22	5100.86	40.33	1.22332	0.00201974	1.2213	0	0.00165066	0.998349	0
Seg 23	5126.51	40.33	1.2211	6.63955e-009	1.2211	0	5.43612e-009	1	0
Seg 24	5152.16	40.33	1.22054	6.53042e-009	1.22054	0	5.34921e-009	1	0
Seg 25	5177.79	40.33	1.21999	4.21377e-009	1.21999	0	3.45317e-009	1	0
Seg 26	5203.4	40.33	1.21943	3.33762e-010	1.21943	0	2.73641e-010	1	0
Seg 27	5229.01	40.33	1.21888	0	1.21888	0	0	1	0
Seg 28	5254.61	40.33	1.21832	0	1.21832	0	0	1	0
Seg 29	5280.19	40.33	1.21777	0	1.21777	0	0	1	0
Seg 30	5305.76	40.33	1.21722	0	1.21722	0	0	1	0
