Results for well: PROD1 in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
48695.2   1000        0           6470.86   
48998     1000        0           6474.36   
49296.6   1000        0           6477.9    
49592.5   1000        0           6481.42   
49888.9   1000        0           6484.86   
50195.6   1000        0           6488.38   
50499.4   1000        0           6491.94   
50798.8   1000        0           6495.5    
51095.7   1000        0           6499.09   
51393.2   1000        0           6502.6    
51703.9   1000        0           6506.21   
52011     1000        0           6509.84   
52313.9   1000        0           6513.45   
52611.1   1000        0           6517.11   
52905.1   1000        0           6520.69   
53199.1   1000        0           6524.16   
53501.3   1000        0           6527.75   
53800.5   1000        0           6531.32   
54095.4   1000        0           6534.95   
54387.6   1000        0           6538.47   
54680.4   1000        0           6541.87   
54981.9   1000        0           6545.44   
55280.4   1000        0           6549.03   
55574.8   1000        0           6552.74   
55866.8   1000        0           6556.36   
56159.4   1000        0           6559.84   
56461     1000        0           6563.43   
56759.8   1000        0           6567.01   
57054.4   1000        0           6570.74   
57346.9   1000        0           6574.43   
57640.1   1000        0           6578.03   
57943.7   1000        0           6581.7    
58244.3   1000        0           6585.36   
58540.7   1000        0           6589.03   
58835.2   1000        0           6592.72   
59130.6   1000        0           6596.27   
59428.9   1000        0           6599.77   
59729.6   1000        0           6603.37   
60026.6   1000        0           6606.98   
60319.7   1000        0           6610.75   
60611.4   1000        0           6614.39   
60906.5   1000        0           6617.99   
61206.5   1000        0           6621.63   
61503.5   1000        0           6625.3    
61795.7   1000        0           6629.08   
62085.8   1000        0           6632.72   
62376.4   1000        0           6636.28   
62675     1000        0           6639.9    
62970.9   1000        0           6643.58   
63262.6   1000        0           6647.36   
63552.3   1000        0           6651.04   
63842.7   1000        0           6654.61   
64141     1000        0           6658.29   
64436.7   1000        0           6662      
64728.3   1000        0           6665.75   
65018.2   1000        0           6669.38   
65312.8   1000        0           6672.92   
65612.8   1000        0           6676.63   
65910.1   1000        0           6680.47   
66203     1000        0           6684.39   
66496.1   1000        0           6688.14   
