Results for well: INJ in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
45051.9   3500        -73318.892  0         
45365.8   3500        -73352.846  0         
45676.1   3500        -73364.849  0         
45982.1   3500        -73359.861  0         
46282.4   3500        -73350.687  0         
46582.4   3500        -73360.261  0         
46884.7   3500        -73397.542  0         
47192.3   3500        -73444.831  0         
47496.7   3500        -73486.668  0         
47796.3   3500        -73521.657  0         
48092.7   3500        -73575.319  0         
48389.4   3500        -73625.962  0         
48695.2   3500        -73682.87   0         
48998     3500        -73711.824  0         
49296.6   3500        -73743.529  0         
49592.5   3500        -73780.79   0         
49888.9   3500        -73815.613  0         
50195.6   3500        -73851.82   0         
50499.4   3500        -73894.632  0         
50798.8   3500        -73914.64   0         
51095.7   3500        -73943.166  0         
51393.2   3500        -73970.137  0         
51703.9   3500        -74018.38   0         
52011     3500        -74059.885  0         
52313.9   3500        -74077.34   0         
52611.1   3500        -74073.707  0         
52905.1   3500        -74094.246  0         
53199.1   3500        -74144.385  0         
53501.3   3500        -74211.595  0         
53800.5   3500        -74260.635  0         
54095.4   3500        -74301.614  0         
54387.6   3500        -74346.892  0         
54680.4   3500        -74379.247  0         
54981.9   3500        -74415.188  0         
55280.4   3500        -74419.97   0         
55574.8   3500        -74444.38   0         
55866.8   3500        -74479.112  0         
56159.4   3500        -74528.8    0         
56461     3500        -74573.335  0         
56759.8   3500        -74598.026  0         
57054.4   3500        -74597.991  0         
57346.9   3500        -74597.368  0         
57640.1   3500        -74625.519  0         
57943.7   3500        -74673.462  0         
58244.3   3500        -74740.151  0         
58540.7   3500        -74801.273  0         
58835.2   3500        -74852.071  0         
59130.6   3500        -74902.522  0         
59428.9   3500        -74957.343  0         
59729.6   3500        -74989.177  0         
60026.6   3500        -75025.887  0         
60319.7   3500        -75027.278  0         
60611.4   3500        -75037.354  0         
60906.5   3500        -75075.919  0         
61206.5   3500        -75107.035  0         
61503.5   3500        -75146.161  0         
61795.7   3500        -75168.46   0         
62085.8   3500        -75196.352  0         
62376.4   3500        -75231.736  0         
62675     3500        -75263.95   0         
62970.9   3500        -75288.041  0         
63262.6   3500        -75324.306  0         
63552.3   3500        -75365.666  0         
63842.7   3500        -75407.404  0         
64141     3500        -75462.382  0         
64436.7   3500        -75534.051  0         
64728.3   3500        -75580.331  0         
65018.2   3500        -75616.957  0         
65312.8   3500        -75632.161  0         
65612.8   3500        -75641.675  0         
65910.1   3500        -75652.643  0         
66203     3500        -75678.138  0         
66496.1   3500        -75721.206  0         
66793     3500        -75774.032  0         
67095.1   3500        -75827.41   0         
67394.4   3500        -75883.829  0         
67689.4   3500        -75921.092  0         
67984.7   3500        -75959.181  0         
68283.7   3500        -75999.647  0         
68588.1   3500        -76044.931  0         
68889.9   3500        -76057.787  0         
69187.8   3500        -76070.209  0         
69485.9   3500        -76070.442  0         
69787.7   3500        -76097.75   0         
70094.8   3500        -76149.237  0         
70399.6   3500        -76192.674  0         
70703.6   3500        -76224.31   0         
71006.4   3500        -76259.989  0         
71312.4   3500        -76308.863  0         
71623.7   3500        -76351.705  0         
71932.8   3500        -76402.688  0         
72241.3   3500        -76453.613  0         
72551.7   3500        -76497.322  0         
72863.7   3500        -76548.124  0         
73180.8   3500        -76577.377  0         
73495.9   3500        -76598.492  0         
73810.2   3500        -76633.87   0         
74126.6   3500        -76662.155  0         
74444.5   3500        -76696.762  0         
74767.1   3500        -76743.279  0         
75088.3   3500        -76788.935  0         
75411.9   3500        -76838.54   0         
75737.1   3500        -76883.374  0         
76065.7   3500        -76918.19   0         
76397.1   3500        -76963.966  0         
76733.2   3500        -77005.619  0         
77069.1   3500        -77037.361  0         
77405.7   3500        -77061.606  0         
77746.3   3500        -77098.136  0         
78089.3   3500        -77144.603  0         
78436.9   3500        -77193.829  0         
78787.7   3500        -77221.809  0         
79140.5   3500        -77248.402  0         
79493.9   3500        -77273.37   0         
79853.3   3500        -77315.596  0         
80213.3   3500        -77354.966  0         
80573.3   3500        -77397.257  0         
80933.3   3500        -77434.331  0         
81293.1   3500        -77478      0         
81653.1   3500        -77518.679  0         
82013.1   3500        -77556.474  0         
82373.1   3500        -77581.533  0         
82733.1   3500        -77619.934  0         
83093     3500        -77669.785  0         
83453     3500        -77717.412  0         
83813     3500        -77776.921  0         
84173     3500        -77828.789  0         
84533     3500        -77881.093  0         
84893     3500        -77907.594  0         
85250.9   3500        -77935.73   0         
85610.9   3500        -77967.295  0         
85970.9   3500        -77995.792  0         
86330.2   3500        -78025.44   0         
86687.1   3500        -78091.529  0         
87039.8   3500        -78153.411  0         
87391.1   3500        -78197.317  0         
87744.8   3500        -78233.006  0         
88101.9   3500        -78246.902  0         
88456.6   3500        -78247.765  0         
88809.5   3500        -78256.867  0         
89160.6   3500        -78286.359  0         
89504.1   3500        -78308.069  0         
89837.6   3500        -78338.612  0         
90165.3   3500        -78398.038  0         
90502.1   3500        -78453.3    0         
90840.6   3500        -78489.581  0         
91175.2   3500        -78523.197  0         
91501     3500        -78564.57   0         
91821.3   3500        -78589.22   0         
92134     3500        -78623.254  0         
92441.4   3500        -78651.283  0         
92742     3500        -78676.86   0         
93035.8   3500        -78706.283  0         
93332.6   3500        -78755.985  0         
93627.3   3500        -78801.297  0         
93915.2   3500        -78837.96   0         
94198.5   3500        -78864.698  0         
94473.2   3500        -78882.395  0         
94746.6   3500        -78902.699  0         
95016.5   3500        -78925.872  0         
95280.8   3500        -78952.637  0         
95537.5   3500        -78986.231  0         
95786.5   3500        -79019.565  0         
96024.9   3500        -79054.786  0         
96262.6   3500        -79085.296  0         
96496.3   3500        -79107.266  0         
96727.7   3500        -79128.688  0         
