Results for well: MSWell_2_Seg.out in the reservoir: MSWell_2_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d

0         	0         	-         	0         	0         	0         	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 9	5292.43	40.33	1.15111	0	3.70617e-015	1.15111	0	3.21965e-015	1
Seg 10	5317.02	40.33	1.15111	5.42773e-016	1.27799e-016	1.15111	4.71522e-016	1.11022e-016	1
Seg 11	5341.6	40.33	1.15111	3.67344e-016	0	1.15111	3.19121e-016	0	1
Seg 12	5366.18	40.33	1.15111	3.90974e-015	-2.04478e-015	1.15111	3.39649e-015	-1.77636e-015	1
Seg 13	5390.76	40.33	1.15111	0	0	1.15111	0	0	1
Seg 14	5415.34	40.33	1.15111	0	0	1.15111	0	0	1
Seg 15	5440.31	40.33	1.15111	0	0	1.15111	0	0	1



2.22456   	5095.41   	-         	6.58754e-011	-4.35059e-011	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5095.41	40.33	1.15111	1.33758e-014	-7.41233e-015	1.15111	1.16199e-014	-6.43929e-015	1
Seg 1	5095.42	40.33	1.15111	1.03349e-014	-7.54013e-015	1.15111	8.97821e-015	-6.55032e-015	1
Seg 2	5120	40.33	1.15111	6.78626e-015	-4.08956e-015	1.15111	5.8954e-015	-3.55271e-015	1
Seg 3	5144.58	40.33	1.15111	6.10493e-015	-2.81158e-015	1.15111	5.30351e-015	-2.44249e-015	1
Seg 4	5169.16	40.33	1.15111	4.8723e-015	-3.06717e-015	1.15111	4.2327e-015	-2.66454e-015	1
Seg 5	5193.74	40.33	1.15111	2.88871e-015	-1.53359e-015	1.15111	2.5095e-015	-1.33227e-015	1
Seg 6	5218.32	40.33	1.15111	6.08184e-015	-4.08956e-015	1.15111	5.28346e-015	-3.55271e-015	1
Seg 7	5242.91	40.33	1.15111	3.90286e-015	-3.83397e-015	1.15111	3.39052e-015	-3.33067e-015	1
Seg 8	5267.49	40.33	1.15111	5.91223e-015	-4.47296e-015	1.15111	5.13611e-015	-3.88578e-015	1
Seg 9	5292.07	40.33	1.15111	7.55606e-015	-4.21736e-015	1.15111	6.56415e-015	-3.66374e-015	1
Seg 10	5316.65	40.33	1.15111	7.06895e-015	-2.81158e-015	1.15111	6.14098e-015	-2.44249e-015	1
Seg 11	5341.23	40.33	1.15111	7.64814e-015	-5.49535e-015	1.15111	6.64414e-015	-4.77396e-015	1
Seg 12	5365.81	40.33	1.15111	7.9051e-015	-5.49535e-015	1.15111	6.86737e-015	-4.77396e-015	1
Seg 13	5390.39	40.33	1.15111	5.05311e-015	-4.85636e-015	1.15111	4.38977e-015	-4.21885e-015	1
Seg 14	5414.98	40.33	1.15111	6.53861e-015	-5.23975e-015	1.15111	5.68027e-015	-4.55191e-015	1
Seg 15	5439.95	40.33	1.15111	2.07198e-015	-1.15019e-015	1.15111	1.79999e-015	-9.99201e-016	1



3.22456   	5094.38   	-         	4.29986e-010	-7.03873e-011	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5094.38	40.33	1.15111	6.95623e-015	-2.55598e-016	1.15111	6.04307e-015	-2.22045e-016	1
Seg 1	5094.39	40.33	1.15111	8.21825e-015	-5.11196e-016	1.15111	7.13942e-015	-4.44089e-016	1
Seg 2	5118.97	40.33	1.15111	2.04166e-015	2.30038e-015	1.15111	1.77364e-015	1.9984e-015	1
Seg 3	5143.55	40.33	1.15111	1.41125e-015	-8.94592e-016	1.15111	1.22599e-015	-7.77156e-016	1
Seg 4	5168.13	40.33	1.15111	0	8.94592e-016	1.15111	0	7.77156e-016	1
Seg 5	5192.71	40.33	1.15111	1.86603e-015	-2.55598e-016	1.15111	1.62107e-015	-2.22045e-016	1
Seg 6	5217.3	40.33	1.15111	1.8606e-015	-2.55598e-016	1.15111	1.61635e-015	-2.22045e-016	1
Seg 7	5241.88	40.33	1.15111	1.66486e-015	-1.02239e-015	1.15111	1.4463e-015	-8.88178e-016	1
Seg 8	5266.46	40.33	1.15111	1.49293e-015	2.55598e-016	1.15111	1.29695e-015	2.22045e-016	1
Seg 9	5291.04	40.33	1.15111	5.64211e-016	1.78918e-015	1.15111	4.90145e-016	1.55431e-015	1
Seg 10	5315.62	40.33	1.15111	0	0	1.15111	0	0	1
Seg 11	5340.2	40.33	1.15111	0	0	1.15111	0	0	1
Seg 12	5364.78	40.33	1.15111	0	0	1.15111	0	0	1
Seg 13	5389.37	40.33	1.15111	0	7.66793e-016	1.15111	0	6.66134e-016	1
Seg 14	5413.95	40.33	1.15111	0	0	1.15111	0	0	1
Seg 15	5438.92	40.33	1.15111	0	0	1.15111	0	0	1



4.22456   	5092.98   	-         	2.12779e-010	-1.40641e-010	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5092.98	40.33	1.15111	0	1.40579e-014	1.15111	0	1.22125e-014	1
Seg 1	5092.99	40.33	1.15111	0	3.18219e-014	1.15111	0	2.76446e-014	1
Seg 2	5117.57	40.33	1.15111	0	7.39955e-014	1.15111	0	6.42819e-014	1
Seg 3	5142.15	40.33	1.15111	0	4.35794e-014	1.15111	0	3.78586e-014	1
Seg 4	5166.73	40.33	1.15111	3.85868e-014	3.46335e-014	1.15111	3.35214e-014	3.0087e-014	1
Seg 5	5191.31	40.33	1.15111	1.40421e-014	2.01922e-014	1.15111	1.21987e-014	1.75415e-014	1
Seg 6	5215.9	40.33	1.15111	1.84508e-015	1.69973e-014	1.15111	1.60287e-015	1.4766e-014	1
Seg 7	5240.48	40.33	1.15111	0	0	1.15111	0	0	1
Seg 8	5265.06	40.33	1.15111	0	0	1.15111	0	0	1
Seg 9	5289.64	40.33	1.15111	0	2.81158e-015	1.15111	0	2.44249e-015	1
Seg 10	5314.22	40.33	1.15111	0	2.17258e-015	1.15111	0	1.88738e-015	1
Seg 11	5338.8	40.33	1.15111	0	0	1.15111	0	0	1
Seg 12	5363.39	40.33	1.15111	0	0	1.15111	0	0	1
Seg 13	5387.97	40.33	1.15111	0	3.45057e-015	1.15111	0	2.9976e-015	1
Seg 14	5412.55	40.33	1.15111	0	0	1.15111	0	0	1
Seg 15	5437.52	40.33	1.15111	0	0	1.15111	0	0	1



5.22456   	5091.33   	-         	0         	0         	1000      	
