Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d

0         	0         	-         	0         	0         	0         	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 1	5000	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 2	5007.27	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 3	5014.54	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 4	5021.81	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 5	5029.08	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 6	5036.35	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 7	5043.62	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 8	5050.89	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 9	5058.16	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 10	5065.43	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 11	5072.7	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 12	5079.97	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 13	5087.24	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 14	5094.51	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758
Seg 15	5101.78	40.33	6.52665	0	5.49049	1.03616	0	0.841242	0.158758



0.1       	5000      	-         	1387.36   	1206.44   	374.12    	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.76204	0.0320833	2.29931	0.430654	0.0116158	0.832466	0.155918
Seg 1	5000	40.33	2.76204	0.0320864	2.2993	0.430653	0.0102163	0.830227	0.159557
Seg 2	5023.72	40.33	2.75546	0.0253303	2.29948	0.430653	0.00808071	0.830863	0.161056
Seg 3	5047.46	40.33	2.74894	0.0186499	2.29964	0.430657	0.00596133	0.831511	0.162528
Seg 4	5071.23	40.33	2.74247	0.0120126	2.2998	0.430663	0.00384732	0.832136	0.164017
Seg 5	5095.02	40.33	2.73605	0.00541804	2.29996	0.430672	0.00173865	0.832737	0.165524
Seg 6	5118.83	40.33	2.73061	0	2.29993	0.430685	0	0.833193	0.166807
Seg 7	5142.65	40.33	2.72964	0	2.29894	0.430699	0	0.833071	0.166929
Seg 8	5166.46	40.33	2.72867	0	2.29796	0.430713	0	0.833002	0.166998
Seg 9	5190.28	40.33	2.7277	0	2.29697	0.430728	0	0.832936	0.167064
Seg 10	5214.1	40.33	2.72673	0	2.29599	0.430742	0	0.832869	0.167131
Seg 11	5237.92	40.33	2.72576	0	2.295	0.430757	0	0.832803	0.167197
Seg 12	5261.74	40.33	2.72479	0	2.29402	0.430772	0	0.832736	0.167264
Seg 13	5285.57	40.33	2.72382	0	2.29303	0.430787	0	0.83267	0.16733
Seg 14	5309.39	40.33	2.72285	0	2.29205	0.430802	0	0.832603	0.167397
Seg 15	5334.62	40.33	2.72183	0	2.29101	0.430817	0	0.832533	0.167467



0.387894  	5000      	-         	1378.81   	1198.97   	371.878   	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.74506	0.0319238	2.28506	0.428073	0.0116295	0.832428	0.155943
Seg 1	5000	40.33	2.74506	0.0319227	2.28506	0.428073	0.0102195	0.830177	0.159603
Seg 2	5023.6	40.33	2.73855	0.0252417	2.28524	0.428073	0.00809613	0.830802	0.161102
Seg 3	5047.23	40.33	2.73211	0.0186212	2.28541	0.428073	0.00598436	0.831442	0.162574
Seg 4	5070.87	40.33	2.7257	0.0120466	2.28559	0.428072	0.00387904	0.83206	0.164061
Seg 5	5094.55	40.33	2.71935	0.00551765	2.28576	0.428072	0.00178015	0.832654	0.165566
Seg 6	5118.24	40.33	2.71384	9.42507e-012	2.28576	0.428073	3.04597e-012	0.833122	0.166878
Seg 7	5141.94	40.33	2.71287	7.38291e-012	2.2848	0.428073	2.38689e-012	0.833004	0.166996
Seg 8	5165.63	40.33	2.71191	5.9097e-012	2.28384	0.428073	1.91136e-012	0.832941	0.167059
Seg 9	5189.33	40.33	2.71095	5.04806e-012	2.28288	0.428073	1.63333e-012	0.83288	0.16712
Seg 10	5213.04	40.33	2.70999	4.48714e-012	2.28191	0.428073	1.45242e-012	0.832819	0.167181
Seg 11	5236.74	40.33	2.70903	4.22729e-012	2.28095	0.428073	1.36886e-012	0.832758	0.167242
Seg 12	5260.44	40.33	2.70806	4.18836e-012	2.27999	0.428073	1.3568e-012	0.832698	0.167302
Seg 13	5284.15	40.33	2.7071	4.32675e-012	2.27903	0.428073	1.40219e-012	0.832637	0.167363
Seg 14	5307.86	40.33	2.70614	4.48033e-012	2.27807	0.428073	1.45254e-012	0.832576	0.167424
Seg 15	5332.95	40.33	2.70513	4.49e-012	2.27705	0.428073	1.45629e-012	0.832512	0.167488



1.22456   	5000      	-         	1365.7    	1187.56   	368.179   	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.71876	0.03162	2.26332	0.423815	0.0116303	0.832484	0.155885
Seg 1	5000	40.33	2.71876	0.031619	2.26332	0.423815	0.0102082	0.830206	0.159586
Seg 2	5023.42	40.33	2.71236	0.0250528	2.26349	0.423815	0.00810362	0.830813	0.161084
Seg 3	5046.86	40.33	2.70602	0.0185456	2.26366	0.423815	0.00601046	0.831436	0.162554
Seg 4	5070.32	40.33	2.69973	0.0120831	2.26383	0.423815	0.0039236	0.832037	0.164039
Seg 5	5093.81	40.33	2.69348	0.00566471	2.26401	0.423814	0.00184298	0.832615	0.165542
Seg 6	5117.33	40.33	2.68787	7.67809e-011	2.26405	0.423815	2.50238e-011	0.833095	0.166905
Seg 7	5140.84	40.33	2.68692	6.96043e-011	2.26311	0.423815	2.26933e-011	0.832974	0.167026
Seg 8	5164.36	40.33	2.68597	6.31953e-011	2.26216	0.423815	2.06119e-011	0.832911	0.167089
Seg 9	5187.87	40.33	2.68503	5.72408e-011	2.26121	0.423815	1.86772e-011	0.832851	0.167149
Seg 10	5211.39	40.33	2.68408	5.1528e-011	2.26027	0.423815	1.68198e-011	0.832791	0.167209
Seg 11	5234.91	40.33	2.68314	4.6109e-011	2.25932	0.423815	1.50569e-011	0.832731	0.167269
Seg 12	5258.44	40.33	2.68219	4.10645e-011	2.25838	0.423815	1.34149e-011	0.83267	0.16733
Seg 13	5281.96	40.33	2.68125	3.65364e-011	2.25743	0.423815	1.19404e-011	0.83261	0.16739
Seg 14	5305.49	40.33	2.6803	3.25548e-011	2.25649	0.423815	1.06434e-011	0.83255	0.16745
Seg 15	5330.37	40.33	2.67931	2.87448e-011	2.25549	0.423815	9.40175e-012	0.832486	0.167514



2.22456   	5000      	-         	1352.61   	1176.18   	364.498   	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.69253	0.0313171	2.24164	0.419577	0.0116311	0.832539	0.15583
Seg 1	5000	40.33	2.69253	0.0313161	2.24164	0.419577	0.0101967	0.830232	0.159571
Seg 2	5023.24	40.33	2.68625	0.0248629	2.24181	0.419577	0.0081107	0.830821	0.161068
Seg 3	5046.5	40.33	2.68002	0.0184672	2.24197	0.419577	0.00603593	0.831428	0.162536
Seg 4	5069.78	40.33	2.67383	0.012115	2.24214	0.419577	0.00396733	0.832012	0.16402
Seg 5	5093.09	40.33	2.66769	0.00580562	2.24231	0.419577	0.00190482	0.832574	0.165521
Seg 6	5116.42	40.33	2.66197	9.05994e-011	2.2424	0.419577	2.97786e-011	0.833064	0.166936
Seg 7	5139.76	40.33	2.66104	8.22245e-011	2.24147	0.419577	2.70359e-011	0.832941	0.167059
Seg 8	5163.09	40.33	2.66011	7.46224e-011	2.24054	0.419577	2.45459e-011	0.832878	0.167122
Seg 9	5186.43	40.33	2.65919	6.75575e-011	2.23961	0.419577	2.22307e-011	0.832819	0.167181
Seg 10	5209.77	40.33	2.65826	6.08468e-011	2.23868	0.419577	2.00304e-011	0.832759	0.167241
Seg 11	5233.11	40.33	2.65733	5.45337e-011	2.23775	0.419577	1.79592e-011	0.832699	0.167301
Seg 12	5256.46	40.33	2.6564	4.86901e-011	2.23682	0.419577	1.60411e-011	0.832639	0.167361
Seg 13	5279.8	40.33	2.65547	4.34282e-011	2.23589	0.419577	1.43132e-011	0.832579	0.167421
Seg 14	5303.15	40.33	2.65454	3.8764e-011	2.23496	0.419577	1.2781e-011	0.832519	0.167481
Seg 15	5327.83	40.33	2.65356	3.42183e-011	2.23398	0.419577	1.12869e-011	0.832456	0.167544



3.22456   	5000      	-         	1341.16   	1166.23   	361.286   	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.6696	0.0310521	2.22267	0.415879	0.0116317	0.832585	0.155783
Seg 1	5000	40.33	2.6696	0.0310511	2.22267	0.415879	0.0101865	0.830253	0.159561
Seg 2	5023.08	40.33	2.66341	0.0246955	2.22283	0.415879	0.00811657	0.830826	0.161058
Seg 3	5046.18	40.33	2.65727	0.0183962	2.223	0.415879	0.00605777	0.831418	0.162524
Seg 4	5069.31	40.33	2.65118	0.0121393	2.22316	0.415879	0.00400501	0.831988	0.164007
Seg 5	5092.46	40.33	2.64513	0.00592416	2.22333	0.415879	0.00195821	0.832536	0.165506
Seg 6	5115.64	40.33	2.63933	1.54336e-010	2.22345	0.415879	5.11082e-011	0.833034	0.166966
Seg 7	5138.82	40.33	2.63841	1.44204e-010	2.22254	0.415879	4.77703e-011	0.832909	0.167091
Seg 8	5162	40.33	2.6375	1.32623e-010	2.22162	0.415879	4.39509e-011	0.832846	0.167154
Seg 9	5185.18	40.33	2.63658	1.21069e-010	2.2207	0.415879	4.01376e-011	0.832786	0.167214
Seg 10	5208.37	40.33	2.63567	1.10661e-010	2.21979	0.415879	3.67014e-011	0.832727	0.167273
Seg 11	5231.55	40.33	2.63475	1.02052e-010	2.21887	0.415879	3.38596e-011	0.832668	0.167332
Seg 12	5254.74	40.33	2.63384	9.55684e-011	2.21796	0.415879	3.17209e-011	0.832608	0.167392
Seg 13	5277.93	40.33	2.63292	9.117e-011	2.21704	0.415879	3.02728e-011	0.832549	0.167451
Seg 14	5301.12	40.33	2.63201	8.85775e-011	2.21613	0.415879	2.94235e-011	0.832489	0.167511
Seg 15	5325.62	40.33	2.63105	8.59942e-011	2.21517	0.415879	2.85773e-011	0.832426	0.167574



4.22456   	5000      	-         	1330.94   	1157.34   	358.422   	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.64912	0.0308153	2.20572	0.412583	0.0116323	0.832624	0.155744
Seg 1	5000	40.33	2.64912	0.0308143	2.20572	0.412583	0.0101772	0.830269	0.159554
Seg 2	5022.94	40.33	2.64301	0.024545	2.20588	0.412583	0.00812155	0.830828	0.161051
Seg 3	5045.9	40.33	2.63696	0.0183309	2.20604	0.412583	0.00607693	0.831407	0.162516
Seg 4	5068.89	40.33	2.63095	0.0121583	2.20621	0.412583	0.00403826	0.831964	0.163997
Seg 5	5091.91	40.33	2.62498	0.00602682	2.20637	0.412581	0.0020055	0.8325	0.165495
Seg 6	5114.95	40.33	2.61911	0	2.20652	0.412583	0	0.833004	0.166996
Seg 7	5137.99	40.33	2.6182	0	2.20562	0.412583	0	0.832876	0.167124
Seg 8	5161.03	40.33	2.6173	0	2.20472	0.412583	0	0.832814	0.167186
Seg 9	5184.08	40.33	2.6164	0	2.20381	0.412583	0	0.832755	0.167245
Seg 10	5207.12	40.33	2.61549	0	2.20291	0.412583	0	0.832695	0.167305
Seg 11	5230.17	40.33	2.61459	0	2.20201	0.412583	0	0.832636	0.167364
Seg 12	5253.22	40.33	2.61369	0	2.2011	0.412583	0	0.832577	0.167423
Seg 13	5276.28	40.33	2.61279	0	2.2002	0.412583	0	0.832518	0.167482
Seg 14	5299.33	40.33	2.61188	0	2.1993	0.412583	0	0.832459	0.167541
Seg 15	5323.67	40.33	2.61093	0	2.19835	0.412583	0	0.832396	0.167604



5.22456   	5000      	-         	1321.6    	1149.21   	355.814   	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.63042	0.0305991	2.19024	0.409581	0.0116328	0.832658	0.155709
Seg 1	5000	40.33	2.63042	0.0305981	2.19024	0.409581	0.0101686	0.830281	0.15955
Seg 2	5022.82	40.33	2.62439	0.0244068	2.1904	0.409581	0.00812587	0.830827	0.161047
Seg 3	5045.65	40.33	2.61841	0.0182697	2.19056	0.409581	0.00609411	0.831394	0.162512
Seg 4	5068.51	40.33	2.61248	0.0121733	2.19072	0.409582	0.00406817	0.83194	0.163992
Seg 5	5091.4	40.33	2.60658	0.00611708	2.19088	0.409581	0.00204808	0.832462	0.165489
Seg 6	5114.32	40.33	2.60073	0.000100604	2.19104	0.409581	3.37461e-005	0.832963	0.167004
Seg 7	5137.23	40.33	2.59975	0	2.19017	0.409581	0	0.832845	0.167155
Seg 8	5160.15	40.33	2.59886	0	2.18928	0.409581	0	0.832781	0.167219
Seg 9	5183.07	40.33	2.59797	0	2.18839	0.409581	0	0.832722	0.167278
Seg 10	5206	40.33	2.59708	0	2.1875	0.409581	0	0.832664	0.167336
Seg 11	5228.92	40.33	2.59618	0	2.1866	0.409581	0	0.832605	0.167395
Seg 12	5251.85	40.33	2.59529	0	2.18571	0.409581	0	0.832546	0.167454
Seg 13	5274.78	40.33	2.5944	0	2.18482	0.409581	0	0.832487	0.167513
Seg 14	5297.7	40.33	2.59351	0	2.18393	0.409581	0	0.832428	0.167572
Seg 15	5321.9	40.33	2.59257	0	2.18299	0.409581	0	0.832366	0.167634



6.22456   	5000      	-         	1312.9    	1141.65   	353.391   	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.61302	0.0303977	2.17583	0.406792	0.0116332	0.832688	0.155679
Seg 1	5000	40.33	2.61302	0.0303967	2.17583	0.406791	0.0101604	0.830291	0.159549
Seg 2	5022.7	40.33	2.60706	0.0242772	2.17599	0.406791	0.00812965	0.830824	0.161046
Seg 3	5045.42	40.33	2.60115	0.0182112	2.17615	0.406791	0.00610976	0.831381	0.162509
Seg 4	5068.17	40.33	2.59528	0.012185	2.17631	0.40679	0.00409562	0.831916	0.163989
Seg 5	5090.94	40.33	2.58945	0.00619837	2.17647	0.406791	0.00208727	0.832427	0.165485
Seg 6	5113.74	40.33	2.58367	0.00025098	2.17663	0.406789	8.46723e-005	0.832917	0.166998
Seg 7	5136.54	40.33	2.58258	0	2.17579	0.406792	0	0.832813	0.167187
Seg 8	5159.34	40.33	2.5817	0	2.1749	0.406792	0	0.832749	0.167251
Seg 9	5182.15	40.33	2.58081	0	2.17402	0.406792	0	0.83269	0.16731
Seg 10	5204.95	40.33	2.57993	0	2.17314	0.406792	0	0.832631	0.167369
Seg 11	5227.76	40.33	2.57905	0	2.17226	0.406792	0	0.832573	0.167427
Seg 12	5250.57	40.33	2.57817	0	2.17138	0.406792	0	0.832514	0.167486
Seg 13	5273.39	40.33	2.57729	0	2.1705	0.406792	0	0.832455	0.167545
Seg 14	5296.2	40.33	2.57641	0	2.16962	0.406792	0	0.832397	0.167603
Seg 15	5320.27	40.33	2.57548	0	2.16869	0.406792	0	0.832335	0.167665



7.22456   	5000      	-         	1304.67   	1134.5    	351.103   	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.59655	0.0302071	2.16219	0.404158	0.0116336	0.832715	0.155652
Seg 1	5000	40.33	2.59655	0.0302062	2.16219	0.404158	0.0101526	0.830297	0.15955
Seg 2	5022.59	40.33	2.59066	0.0241544	2.16234	0.404158	0.00813317	0.83082	0.161047
Seg 3	5045.2	40.33	2.58482	0.0181551	2.1625	0.404158	0.0061245	0.831365	0.16251
Seg 4	5067.84	40.33	2.57901	0.0121948	2.16266	0.404158	0.00412149	0.83189	0.163989
Seg 5	5090.5	40.33	2.57325	0.00627343	2.16282	0.404157	0.00212414	0.832392	0.165484
Seg 6	5113.19	40.33	2.56752	0.000390521	2.16298	0.404156	0.00013247	0.832871	0.166996
Seg 7	5135.88	40.33	2.56633	0	2.16217	0.404158	0	0.832781	0.167219
Seg 8	5158.58	40.33	2.56546	0	2.1613	0.404158	0	0.832715	0.167285
Seg 9	5181.28	40.33	2.56458	0	2.16043	0.404158	0	0.832656	0.167344
Seg 10	5203.98	40.33	2.56371	0	2.15955	0.404158	0	0.832598	0.167402
Seg 11	5226.68	40.33	2.56284	0	2.15868	0.404158	0	0.832539	0.167461
Seg 12	5249.38	40.33	2.56197	0	2.15781	0.404158	0	0.832481	0.167519
Seg 13	5272.08	40.33	2.5611	0	2.15694	0.404158	0	0.832423	0.167577
Seg 14	5294.79	40.33	2.56023	0	2.15607	0.404158	0	0.832364	0.167636
Seg 15	5318.73	40.33	2.55931	0	2.15515	0.404158	0	0.832303	0.167697



8.22456   	5000      	-         	1296.78   	1127.63   	348.915   	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	40.33	2.58078	0.0300245	2.14911	0.40164	0.0116339	0.832739	0.155628
Seg 1	5000	40.33	2.58077	0.0300235	2.14911	0.401639	0.010145	0.830302	0.159553
Seg 2	5022.49	40.33	2.57494	0.0240359	2.14927	0.401639	0.00813633	0.830813	0.16105
Seg 3	5044.99	40.33	2.56916	0.0181	2.14942	0.401639	0.00613834	0.831349	0.162513
Seg 4	5067.53	40.33	2.56342	0.0122026	2.14958	0.401639	0.00414594	0.831863	0.163991
Seg 5	5090.08	40.33	2.55772	0.00634319	2.14974	0.401639	0.00215912	0.832355	0.165486
Seg 6	5112.67	40.33	2.55205	0.000521649	2.14989	0.401637	0.000177885	0.832825	0.166997
Seg 7	5135.26	40.33	2.55076	0	2.14912	0.40164	0	0.832748	0.167252
Seg 8	5157.85	40.33	2.5499	0	2.14826	0.40164	0	0.83268	0.16732
Seg 9	5180.45	40.33	2.54903	0	2.14739	0.40164	0	0.832621	0.167379
Seg 10	5203.04	40.33	2.54817	0	2.14653	0.40164	0	0.832563	0.167437
Seg 11	5225.64	40.33	2.54731	0	2.14567	0.40164	0	0.832505	0.167495
