Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d

0         	0         	-         	0         	0         	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 87	5816.75	40.33	1.12085	0	1.12085	0	0	1	0
Seg 88	5819.61	40.33	1.12085	0	1.12085	0	0	1	0
Seg 89	5822.48	40.33	1.12085	0	1.12085	0	0	1	0
Seg 90	5825.34	40.33	1.12085	0	1.12085	0	0	1	0
Seg 91	5828.21	40.33	1.12085	0	1.12085	0	0	1	0
Seg 92	5831.07	40.33	1.12085	0	1.12085	0	0	1	0
Seg 93	5833.94	40.33	1.12085	0	1.12085	0	0	1	0
Seg 94	5836.8	40.33	1.12085	0	1.12085	0	0	1	0
Seg 95	5839.67	40.33	1.12085	0	1.12085	0	0	1	0
Seg 96	5842.53	40.33	1.12085	0	1.12085	0	0	1	0
Seg 97	5845.4	40.33	1.12085	0	1.12085	0	0	1	0
Seg 98	5848.26	40.33	1.12085	0	1.12085	0	0	1	0
Seg 99	5851.13	40.33	1.12085	0	1.12085	0	0	1	0
Seg 100	5853.99	40.33	1.12085	0	1.12085	0	0	1	0
Seg 101	5856.86	40.33	1.12085	0	1.12085	0	0	1	0
Seg 102	5859.72	40.33	1.12085	0	1.12085	0	0	1	0
Seg 103	5862.59	40.33	1.12085	0	1.12085	0	0	1	0
Seg 104	5865.45	40.33	1.12085	0	1.12085	0	0	1	0
Seg 105	5868.32	40.33	1.12085	0	1.12085	0	0	1	0
Seg 106	5871.18	40.33	1.12085	0	1.12085	0	0	1	0
Seg 107	5874.05	40.33	1.12085	0	1.12085	0	0	1	0
Seg 108	5876.91	40.33	1.12085	0	1.12085	0	0	1	0
Seg 109	5879.78	40.33	1.12085	0	1.12085	0	0	1	0
Seg 110	5882.64	40.33	1.12085	0	1.12085	0	0	1	0
Seg 111	5885.51	40.33	1.12085	0	1.12085	0	0	1	0
Seg 112	5888.37	40.33	1.12085	0	1.12085	0	0	1	0
Seg 113	5891.24	40.33	1.12085	0	1.12085	0	0	1	0
Seg 114	5894.1	40.33	1.12085	0	1.12085	0	0	1	0
Seg 115	5896.97	40.33	1.12085	0	1.12085	0	0	1	0
Seg 116	5899.84	40.33	1.12085	0	1.12085	0	0	1	0
Seg 117	5902.7	40.33	1.12085	0	1.12085	0	0	1	0
Seg 118	5905.57	40.33	1.12085	0	1.12085	0	0	1	0
Seg 119	5908.43	40.33	1.12085	0	1.12085	0	0	1	0
Seg 120	5911.3	40.33	1.12085	0	1.12085	0	0	1	0
Seg 121	5914.16	40.33	1.12085	0	1.12085	0	0	1	0
Seg 122	5917.03	40.33	1.12085	0	1.12085	0	0	1	0
Seg 123	5919.89	40.33	1.12085	0	1.12085	0	0	1	0
Seg 124	5922.76	40.33	1.12085	0	1.12085	0	0	1	0
Seg 125	5925.62	40.33	1.12085	0	1.12085	0	0	1	0
Seg 126	5928.49	40.33	1.12085	0	1.12085	0	0	1	0
Seg 127	5931.35	40.33	1.12085	0	1.12085	0	0	1	0
Seg 128	5934.22	40.33	1.12085	0	1.12085	0	0	1	0
Seg 129	5937.08	40.33	1.12085	0	1.12085	0	0	1	0
Seg 130	5939.95	40.33	1.12085	0	1.12085	0	0	1	0
Seg 131	5942.81	40.33	1.12085	0	1.12085	0	0	1	0
Seg 132	5945.68	40.33	1.12085	0	1.12085	0	0	1	0
Seg 133	5948.54	40.33	1.12085	0	1.12085	0	0	1	0
Seg 134	5951.41	40.33	1.12085	0	1.12085	0	0	1	0
Seg 135	5954.27	40.33	1.12085	0	1.12085	0	0	1	0
Seg 136	5957.14	40.33	1.12085	0	1.12085	0	0	1	0
Seg 137	5960	40.33	1.12085	0	1.12085	0	0	1	0
Seg 138	5962.87	40.33	1.12085	0	1.12085	0	0	1	0
Seg 139	5965.73	40.33	1.12085	0	1.12085	0	0	1	0
Seg 140	5968.6	40.33	1.12085	0	1.12085	0	0	1	0
Seg 141	5971.46	40.33	1.12085	0	1.12085	0	0	1	0
Seg 142	5974.33	40.33	1.12085	0	1.12085	0	0	1	0
Seg 143	5977.19	40.33	1.12085	0	1.12085	0	0	1	0
Seg 144	5980.06	40.33	1.12085	0	1.12085	0	0	1	0
Seg 145	5982.92	40.33	1.12085	0	1.12085	0	0	1	0
Seg 146	5985.79	40.33	1.12085	0	1.12085	0	0	1	0
Seg 147	5988.66	40.33	1.12085	0	1.12085	0	0	1	0
Seg 148	5991.52	40.33	1.12085	0	1.12085	0	0	1	0
Seg 149	5994.39	40.33	1.12085	0	1.12085	0	0	1	0
Seg 150	5997.25	40.33	1.12085	0	1.12085	0	0	1	0
Seg 151	6000.12	40.33	1.12085	0	1.12085	0	0	1	0
Seg 152	6002.98	40.33	1.12085	0	1.12085	0	0	1	0
Seg 153	6005.85	40.33	1.12085	0	1.12085	0	0	1	0
Seg 154	6008.71	40.33	1.12085	0	1.12085	0	0	1	0
Seg 155	6011.58	40.33	1.12085	0	1.12085	0	0	1	0
Seg 156	6014.44	40.33	1.12085	0	1.12085	0	0	1	0
Seg 157	6017.31	40.33	1.12085	0	1.12085	0	0	1	0
Seg 158	6020.17	40.33	1.12085	0	1.12085	0	0	1	0
Seg 159	6023.04	40.33	1.12085	0	1.12085	0	0	1	0
Seg 160	6025.9	40.33	1.12085	0	1.12085	0	0	1	0
Seg 161	6028.77	40.33	1.12085	0	1.12085	0	0	1	0
Seg 162	6031.63	40.33	1.12085	0	1.12085	0	0	1	0
Seg 163	6034.5	40.33	1.12085	0	1.12085	0	0	1	0
Seg 164	6037.36	40.33	1.12085	0	1.12085	0	0	1	0
Seg 165	6040.23	40.33	1.12085	0	1.12085	0	0	1	0
Seg 166	6043.09	40.33	1.12085	0	1.12085	0	0	1	0
Seg 167	6045.96	40.33	1.12085	0	1.12085	0	0	1	0
Seg 168	6048.82	40.33	1.12085	0	1.12085	0	0	1	0
Seg 169	6051.69	40.33	1.12085	0	1.12085	0	0	1	0
Seg 170	6054.55	40.33	1.12085	0	1.12085	0	0	1	0
Seg 171	6057.42	40.33	1.12085	0	1.12085	0	0	1	0
Seg 172	6060.28	40.33	1.12085	0	1.12085	0	0	1	0
Seg 173	6063.15	40.33	1.12085	0	1.12085	0	0	1	0
Seg 174	6066.01	40.33	1.12085	0	1.12085	0	0	1	0
Seg 175	6068.88	40.33	1.12085	0	1.12085	0	0	1	0
Seg 176	6071.74	40.33	1.12085	0	1.12085	0	0	1	0
Seg 177	6074.61	40.33	1.12085	0	1.12085	0	0	1	0
Seg 178	6077.48	40.33	1.12085	0	1.12085	0	0	1	0
Seg 179	6080.34	40.33	1.12085	0	1.12085	0	0	1	0
Seg 180	6083.21	40.33	1.12085	0	1.12085	0	0	1	0
Seg 181	6086.07	40.33	1.12085	0	1.12085	0	0	1	0
Seg 182	6088.94	40.33	1.12085	0	1.12085	0	0	1	0
Seg 183	6091.8	40.33	1.12085	0	1.12085	0	0	1	0
Seg 184	6094.67	40.33	1.12085	0	1.12085	0	0	1	0
Seg 185	6097.53	40.33	1.12085	0	1.12085	0	0	1	0
Seg 186	6100.4	40.33	1.12085	0	1.12085	0	0	1	0
Seg 187	6103.26	40.33	1.12085	0	1.12085	0	0	1	0
Seg 188	6106.13	40.33	1.12085	0	1.12085	0	0	1	0
Seg 189	6108.99	40.33	1.12085	0	1.12085	0	0	1	0
Seg 190	6111.86	40.33	1.12085	0	1.12085	0	0	1	0
Seg 191	6114.72	40.33	1.12085	0	1.12085	0	0	1	0
Seg 192	6117.59	40.33	1.12085	0	1.12085	0	0	1	0
Seg 193	6120.45	40.33	1.12085	0	1.12085	0	0	1	0
Seg 194	6123.32	40.33	1.12085	0	1.12085	0	0	1	0
Seg 195	6126.18	40.33	1.12085	0	1.12085	0	0	1	0
Seg 196	6129.05	40.33	1.12085	0	1.12085	0	0	1	0
Seg 197	6131.91	40.33	1.12085	0	1.12085	0	0	1	0
Seg 198	6134.78	40.33	1.12085	0	1.12085	0	0	1	0
Seg 199	6137.64	40.33	1.12085	0	1.12085	0	0	1	0
Seg 200	6140.51	40.33	1.12085	0	1.12085	0	0	1	0
Seg 201	6143.37	40.33	1.12085	0	1.12085	0	0	1	0
Seg 202	6146.24	40.33	1.12085	0	1.12085	0	0	1	0
Seg 203	6149.1	40.33	1.12085	0	1.12085	0	0	1	0
Seg 204	6151.97	40.33	1.12085	0	1.12085	0	0	1	0
Seg 205	6154.83	40.33	1.12085	0	1.12085	0	0	1	0
Seg 206	6157.7	40.33	1.12085	0	1.12085	0	0	1	0
Seg 207	6160.56	40.33	1.12085	0	1.12085	0	0	1	0
Seg 208	6163.43	40.33	1.12085	0	1.12085	0	0	1	0
Seg 209	6166.3	40.33	1.12085	0	1.12085	0	0	1	0
Seg 210	6169.16	40.33	1.12085	0	1.12085	0	0	1	0
Seg 211	6172.03	40.33	1.12085	0	1.12085	0	0	1	0
Seg 212	6174.89	40.33	1.12085	0	1.12085	0	0	1	0
Seg 213	6177.76	40.33	1.12085	0	1.12085	0	0	1	0
Seg 214	6180.62	40.33	1.12085	0	1.12085	0	0	1	0
Seg 215	6183.49	40.33	1.12085	0	1.12085	0	0	1	0
Seg 216	6186.35	40.33	1.12085	0	1.12085	0	0	1	0
Seg 217	6189.22	40.33	1.12085	0	1.12085	0	0	1	0
Seg 218	6192.08	40.33	1.12085	0	1.12085	0	0	1	0
Seg 219	6194.95	40.33	1.12085	0	1.12085	0	0	1	0
Seg 220	6197.81	40.33	1.12085	0	1.12085	0	0	1	0
Seg 221	6200.68	40.33	1.12085	0	1.12085	0	0	1	0
Seg 222	6203.54	40.33	1.12085	0	1.12085	0	0	1	0
Seg 223	6206.41	40.33	1.12085	0	1.12085	0	0	1	0
Seg 224	6209.27	40.33	1.12085	0	1.12085	0	0	1	0
Seg 225	6212.14	40.33	1.12085	0	1.12085	0	0	1	0
Seg 226	6215	40.33	1.12085	0	1.12085	0	0	1	0
Seg 227	6217.87	40.33	1.12085	0	1.12085	0	0	1	0
Seg 228	6220.73	40.33	1.12085	0	1.12085	0	0	1	0
Seg 229	6223.6	40.33	1.12085	0	1.12085	0	0	1	0
Seg 230	6226.46	40.33	1.12085	0	1.12085	0	0	1	0
Seg 231	6229.33	40.33	1.12085	0	1.12085	0	0	1	0
Seg 232	6232.19	40.33	1.12085	0	1.12085	0	0	1	0
Seg 233	6235.06	40.33	1.12085	0	1.12085	0	0	1	0
Seg 234	6237.92	40.33	1.12085	0	1.12085	0	0	1	0
Seg 235	6240.79	40.33	1.12085	0	1.12085	0	0	1	0
Seg 236	6243.65	40.33	1.12085	0	1.12085	0	0	1	0
Seg 237	6246.52	40.33	1.12085	0	1.12085	0	0	1	0
Seg 238	6249.38	40.33	1.12085	0	1.12085	0	0	1	0
Seg 239	6252.25	40.33	1.12085	0	1.12085	0	0	1	0
Seg 240	6255.12	40.33	1.12085	0	1.12085	0	0	1	0
Seg 241	6257.98	40.33	1.12085	0	1.12085	0	0	1	0
Seg 242	6260.85	40.33	1.12085	0	1.12085	0	0	1	0
Seg 243	6263.71	40.33	1.12085	0	1.12085	0	0	1	0
Seg 244	6266.58	40.33	1.12085	0	1.12085	0	0	1	0
Seg 245	6269.44	40.33	1.12085	0	1.12085	0	0	1	0
Seg 246	6272.31	40.33	1.12085	0	1.12085	0	0	1	0
Seg 247	6275.17	40.33	1.12085	0	1.12085	0	0	1	0
Seg 248	6278.04	40.33	1.12085	0	1.12085	0	0	1	0
Seg 249	6280.9	40.33	1.12085	0	1.12085	0	0	1	0
Seg 250	6283.77	40.33	1.12085	0	1.12085	0	0	1	0
Seg 251	6286.63	40.33	1.12085	0	1.12085	0	0	1	0
Seg 252	6289.5	40.33	1.12085	0	1.12085	0	0	1	0
Seg 253	6292.36	40.33	1.12085	0	1.12085	0	0	1	0
Seg 254	6295.23	40.33	1.12085	0	1.12085	0	0	1	0
Seg 255	6298.09	40.33	1.12085	0	1.12085	0	0	1	0
Seg 256	6300.96	40.33	1.12085	0	1.12085	0	0	1	0
Seg 257	6303.82	40.33	1.12085	0	1.12085	0	0	1	0
Seg 258	6306.69	40.33	1.12085	0	1.12085	0	0	1	0
Seg 259	6309.55	40.33	1.12085	0	1.12085	0	0	1	0
Seg 260	6312.42	40.33	1.12085	0	1.12085	0	0	1	0
Seg 261	6315.28	40.33	1.12085	0	1.12085	0	0	1	0
Seg 262	6318.15	40.33	1.12085	0	1.12085	0	0	1	0
Seg 263	6321.01	40.33	1.12085	0	1.12085	0	0	1	0
Seg 264	6323.88	40.33	1.12085	0	1.12085	0	0	1	0
Seg 265	6326.74	40.33	1.12085	0	1.12085	0	0	1	0
Seg 266	6329.61	40.33	1.12085	0	1.12085	0	0	1	0
Seg 267	6332.47	40.33	1.12085	0	1.12085	0	0	1	0
Seg 268	6335.34	40.33	1.12085	0	1.12085	0	0	1	0
Seg 269	6338.2	40.33	1.12085	0	1.12085	0	0	1	0
Seg 270	6341.07	40.33	1.12085	0	1.12085	0	0	1	0
Seg 271	6343.94	40.33	1.12085	0	1.12085	0	0	1	0
Seg 272	6346.8	40.33	1.12085	0	1.12085	0	0	1	0
Seg 273	6349.67	40.33	1.12085	0	1.12085	0	0	1	0
Seg 274	6352.53	40.33	1.12085	0	1.12085	0	0	1	0
Seg 275	6355.4	40.33	1.12085	0	1.12085	0	0	1	0
Seg 276	6358.26	40.33	1.12085	0	1.12085	0	0	1	0
Seg 277	6361.13	40.33	1.12085	0	1.12085	0	0	1	0
Seg 278	6363.99	40.33	1.12085	0	1.12085	0	0	1	0
Seg 279	6366.86	40.33	1.12085	0	1.12085	0	0	1	0
Seg 280	6369.72	40.33	1.12085	0	1.12085	0	0	1	0
Seg 281	6372.59	40.33	1.12085	0	1.12085	0	0	1	0
Seg 282	6375.45	40.33	1.12085	0	1.12085	0	0	1	0
Seg 283	6378.32	40.33	1.12085	0	1.12085	0	0	1	0
Seg 284	6381.18	40.33	1.12085	0	1.12085	0	0	1	0
Seg 285	6384.05	40.33	1.12085	0	1.12085	0	0	1	0
Seg 286	6386.91	40.33	1.12085	0	1.12085	0	0	1	0
Seg 287	6389.78	40.33	1.12085	0	1.12085	0	0	1	0
Seg 288	6392.64	40.33	1.12085	0	1.12085	0	0	1	0
Seg 289	6395.51	40.33	1.12085	0	1.12085	0	0	1	0
Seg 290	6398.37	40.33	1.12085	0	1.12085	0	0	1	0
Seg 291	6401.24	40.33	1.12085	0	1.12085	0	0	1	0
Seg 292	6404.1	40.33	1.12085	0	1.12085	0	0	1	0
Seg 293	6406.97	40.33	1.12085	0	1.12085	0	0	1	0
Seg 294	6409.83	40.33	1.12085	0	1.12085	0	0	1	0
Seg 295	6412.7	40.33	1.12085	0	1.12085	0	0	1	0
Seg 296	6415.56	40.33	1.12085	0	1.12085	0	0	1	0
Seg 297	6418.43	40.33	1.12085	0	1.12085	0	0	1	0
Seg 298	6421.29	40.33	1.12085	0	1.12085	0	0	1	0
Seg 299	6424.16	40.33	1.12085	0	1.12085	0	0	1	0
Seg 300	6427.02	40.33	1.12085	0	1.12085	0	0	1	0



0.01      	4698.86   	-         	1140.7    	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4698.86	40.33	1.98308	0.0786441	1.90443	0	0.0396576	0.960342	0
Seg 1	4704.43	40.33	1.98132	0.0770196	1.9043	0	0.0328781	0.967122	0
Seg 2	4710	40.33	1.97956	0.0756511	1.90391	0	0.0323169	0.967683	0
Seg 3	4715.57	40.33	1.9778	0.0742817	1.90352	0	0.0317551	0.968245	0
Seg 4	4721.14	40.33	1.97605	0.0729115	1.90314	0	0.031192	0.968808	0
Seg 5	4726.72	40.33	1.9743	0.0715405	1.90276	0	0.0306278	0.969372	0
Seg 6	4732.3	40.33	1.97256	0.0701686	1.90239	0	0.0300622	0.969938	0
Seg 7	4737.88	40.33	1.97083	0.0687959	1.90203	0	0.0294955	0.970505	0
Seg 8	4743.46	40.33	1.9691	0.0674223	1.90167	0	0.0289274	0.971073	0
Seg 9	4749.04	40.33	1.96737	0.0660478	1.90132	0	0.028358	0.971642	0
Seg 10	4754.63	40.33	1.96565	0.0646723	1.90098	0	0.0277874	0.972213	0
Seg 11	4760.22	40.33	1.96394	0.0632959	1.90064	0	0.0272155	0.972784	0
Seg 12	4765.82	40.33	1.96223	0.0619185	1.90031	0	0.0266423	0.973358	0
Seg 13	4771.41	40.33	1.96052	0.0605402	1.89998	0	0.0260678	0.973932	0
Seg 14	4777.01	40.33	1.95882	0.0591608	1.89966	0	0.0254919	0.974508	0
Seg 15	4782.61	40.33	1.95713	0.0577804	1.89935	0	0.0249148	0.975085	0
Seg 16	4788.21	40.33	1.95544	0.056399	1.89904	0	0.0243363	0.975664	0
Seg 17	4793.82	40.33	1.95375	0.0550165	1.89873	0	0.0237565	0.976243	0
Seg 18	4799.42	40.33	1.95207	0.0536329	1.89844	0	0.0231754	0.976825	0
Seg 19	4805.04	40.33	1.9504	0.0522482	1.89815	0	0.0225929	0.977407	0
Seg 20	4810.65	40.33	1.94873	0.0508624	1.89786	0	0.022009	0.977991	0
Seg 21	4816.26	40.33	1.94706	0.0494754	1.89759	0	0.0214238	0.978576	0
Seg 22	4821.88	40.33	1.9454	0.0480873	1.89732	0	0.0208372	0.979163	0
Seg 23	4827.5	40.33	1.94375	0.046698	1.89705	0	0.0202493	0.979751	0
Seg 24	4833.12	40.33	1.9421	0.0453075	1.89679	0	0.0196599	0.98034	0
Seg 25	4838.75	40.33	1.94045	0.0439158	1.89654	0	0.0190692	0.980931	0
Seg 26	4844.38	40.33	1.93881	0.0425229	1.89629	0	0.0184771	0.981523	0
Seg 27	4850.01	40.33	1.93718	0.0411286	1.89605	0	0.0178835	0.982116	0
Seg 28	4855.64	40.33	1.93555	0.0397332	1.89582	0	0.0172886	0.982711	0
Seg 29	4861.28	40.33	1.93392	0.0383364	1.89559	0	0.0166922	0.983308	0
Seg 30	4866.92	40.33	1.9323	0.0369383	1.89536	0	0.0160944	0.983906	0
Seg 31	4872.56	40.33	1.93069	0.0355388	1.89515	0	0.0154952	0.984505	0
Seg 32	4878.2	40.33	1.92908	0.034138	1.89494	0	0.0148945	0.985105	0
Seg 33	4883.85	40.33	1.92747	0.0327359	1.89474	0	0.0142924	0.985708	0
Seg 34	4889.5	40.33	1.92587	0.0313323	1.89454	0	0.0136889	0.986311	0
