Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
60.878    	2500      	70        	0.633671  	8.25369e-005	
61.878    	2500      	70        	0.632352  	0.00012916	
62.878    	2500      	70        	0.630885  	0.000197842	
63.878    	2500      	70        	0.629278  	0.000296795	
64.878    	2500      	70        	0.627508  	0.000436393	
65.878    	2500      	70        	0.625477  	0.000629024	
66.878    	2500      	70        	0.623228  	0.000890058	
67.878    	2500      	70        	0.620662  	0.00123708	
68.878    	2500      	70        	0.617816  	0.00169108	
69.878    	2500      	70        	0.614606  	0.00227539	
70.878    	2500      	70        	0.610959  	0.00301638	
71.878    	2500      	70        	0.606879  	0.00394342	
72.878    	2500      	70        	0.60233   	0.0050881 	
73.878    	2500      	70        	0.597308  	0.00648211	
74.878    	2500      	70        	0.59185   	0.00816031	
75.878    	2500      	70        	0.585953  	0.0101567 	
76.878    	2500      	70        	0.579343  	0.0124963 	
77.878    	2500      	70        	0.572223  	0.0152079 	
78.878    	2500      	70        	0.564615  	0.0183106 	
79.878    	2500      	70        	0.556437  	0.021809  	
80.878    	2500      	70        	0.547751  	0.0256985 	
81.878    	2500      	70        	0.538461  	0.0299499 	
82.878    	2500      	70        	0.528868  	0.0345425 	
83.878    	2500      	70        	0.518938  	0.0394267 	
84.878    	2500      	70        	0.508728  	0.0445465 	
85.878    	2500      	70        	0.498488  	0.049863  	
86.878    	2500      	70        	0.488178  	0.0553101 	
87.878    	2500      	70        	0.478074  	0.0608734 	
88.878    	2500      	70        	0.467977  	0.0664876 	
89.878    	2500      	70        	0.457871  	0.0721017 	
90.878    	2500      	70        	0.448131  	0.0777667 	
91.878    	2500      	70        	0.438388  	0.0833975 	
92.878    	2500      	70        	0.428819  	0.088966  	
93.878    	2500      	70        	0.419672  	0.0944545 	
94.878    	2500      	70        	0.410788  	0.099752  	
95.878    	2500      	70        	0.402406  	0.104915  	
96.878    	2500      	70        	0.39442   	0.110079  	
97.878    	2500      	70        	0.386507  	0.115064  	
98.878    	2500      	70        	0.379089  	0.119876  	
99.878    	2500      	70        	0.372167  	0.124435  	
100       	2500      	70        	0.371345  	0.124998  	
