 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	comp5	comp6	comp7	comp8	comp9	comp10	comp11	comp12	min0	min1	min2	min3	min4	min5	min6	min7	
day	psi	F	**	**	**	**	**	**	**	**	**	**	**	**	**	
  0.819148	   500.831	       582	10.6319	32871.2	0.00179618	0.000141737	0.164397	0.280307	5.85724	14.931	1.5515	1.29848	0.000130993	1.38244e-005	3.29078e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
  0.893122	   501.182	       582	10.9206	32866.2	0.00177538	0.000148176	0.164671	0.280273	5.85636	14.9299	1.55162	1.30186	0.000130982	1.38146e-005	3.56776e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
  0.963964	   501.241	       582	11.2397	32861.5	0.0017655	0.000151034	0.164936	0.280238	5.85552	14.9289	1.55172	1.30512	0.000130957	1.38046e-005	3.81405e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
         1	   501.241	       582	11.4138	32859.1	0.00176278	0.00015169	0.165071	0.280219	5.85509	14.9283	1.55178	1.30678	0.00013095	1.38003e-005	3.92875e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
    1.0565	   501.213	       582	11.7139	32855.3	0.00176366	0.000150976	0.165284	0.280188	5.85442	14.9275	1.55187	1.3094	0.00013093	1.37931e-005	4.08393e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
    1.1287	   501.171	       582	12.1382	32850.5	0.00177169	0.000148038	0.165558	0.280146	5.85356	14.9265	1.55198	1.31276	0.000130902	1.37842e-005	4.23526e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   1.21175	   501.126	       582	12.676	32844.9	0.00178816	0.000143296	0.165875	0.280096	5.85258	14.9253	1.55211	1.31665	0.000130872	1.37746e-005	4.34562e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   1.30313	   501.087	       582	13.323	32838.8	0.00181305	0.000137941	0.166226	0.280041	5.85149	14.9239	1.55225	1.32094	0.000130845	1.37649e-005	4.39768e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   1.40178	   501.056	       582	14.081	32832.2	0.00184598	0.000133315	0.166605	0.279982	5.85032	14.9225	1.5524	1.3256	0.00013082	1.37549e-005	4.39159e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   1.50723	   501.032	       582	14.9537	32825.2	0.00188578	0.000130526	0.167073	0.279923	5.84907	14.9213	1.55266	1.33141	0.000130926	1.37516e-005	4.33763e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
