1	0.0001	-1	-1	-1	6	6	0.0001	0.255	0.42	0.136
1	0.000215087	0	-1	-1	4	4	0.000315087	0.422	0.715	0.202
1	0.000482083	0	-1	-1	4	4	0.00079717	0.587	1.01	0.27
1	0.00113789	0	-1	-1	4	4	0.00193506	0.751	1.298	0.337
1	0.00271707	0	-1	-1	5	5	0.00465213	0.943	1.645	0.419
1	0.00650314	0	-1	-1	5	5	0.0111553	1.134	1.991	0.508
1	0.0155852	0	-1	-1	5	5	0.0267404	1.326	2.339	0.593
1	0.0377143	0	-1	-1	6	6	0.0644548	1.569	2.873	0.687
1	0.0949132	0	-1	-1	5	5	0.159368	1.801	3.325	0.768
1	0.0489752	1	0	0.0095349	4	4	0.208343	2.381	4.173	1.127
1	0.0487904	1	0	0.0100568	3	3	0.257134	2.507	4.412	1.177
1	0.0502423	1	0	0.00956651	3	3	0.307376	2.632	4.642	1.224
1	0.0518097	1	0	0.00954621	3	3	0.359186	2.76	4.877	1.274
1	0.0532039	1	0	0.00960693	3	3	0.412389	2.885	5.108	1.324
1	0.0544738	1	0	0.00965033	3	3	0.466863	3.011	5.343	1.372
1	0.0556853	1	0	0.00967366	3	3	0.522549	3.138	5.573	1.421
1	0.0568798	1	0	0.00968498	3	3	0.579428	3.265	5.808	1.469
1	0.0580799	1	0	0.00969007	3	3	0.637508	3.392	6.046	1.514
1	0.0592971	1	0	0.0096921	3	3	0.696805	3.518	6.278	1.557
1	0.0605375	1	0	0.00969263	3	3	0.757343	3.649	6.519	1.601
1	0.0618047	1	0	0.00969245	3	3	0.819148	3.778	6.756	1.646
1	0.0739747	1	1	0.00753227	3	3	0.893122	3.913	6.997	1.694
1	0.0708421	1	1	0.0106633	3	3	0.963964	4.044	7.241	1.748
1	0.0360356	1	1	0.00936736	3	3	1	4.178	7.491	1.794
2	0.0565048	1	1	0.00456616	3	3	1.0565	4.307	7.726	1.84
2	0.072197	1	1	0.00673971	3	3	1.1287	4.444	8.005	1.926
2	0.0830447	1	1	0.00804062	3	3	1.21175	4.595	8.252	1.969
2	0.09138	1	1	0.00863177	3	3	1.30313	4.727	8.488	2.014
2	0.0986555	1	1	0.00889381	3	3	1.40178	4.859	8.727	2.061
2	0.105443	1	1	0.00903441	3	3	1.50723	4.986	8.965	2.103
2	0.111793	1	0	0.00914794	4	4	1.61902	5.152	9.262	2.163
2	0.117834	1	2	0.00923108	4	4	1.73685	5.332	9.613	2.249
2	0.0931837	1	2	0.013968	3	3	1.83004	5.465	9.883	2.298
2	0.0947914	1	2	0.0097456	3	3	1.92483	5.629	10.138	2.35
2	0.102861	1	2	0.00882327	3	3	2.02769	5.761	10.433	2.396
2	0.113596	1	2	0.00858241	3	3	2.14128	5.897	10.681	2.453
2	0.125741	1	2	0.00855124	3	3	2.26703	6.037	10.945	2.515
2	0.13865	1	2	0.00860344	4	4	2.40567	6.203	11.245	2.571
2	0.16358	1	2	0.00771391	4	4	2.56926	6.361	11.535	2.63
2	0.10603	1	3	0.0181415	3	3	2.67529	6.487	11.769	2.676
2	0.105362	1	3	0.0100951	3	3	2.78065	6.611	12.01	2.719
2	0.115377	1	3	0.00869798	3	3	2.89602	6.741	12.239	2.762
2	0.129908	1	3	0.00832219	3	3	3.02593	6.867	12.477	2.807
2	0.147179	1	3	0.00823975	3	3	3.17311	6.992	12.708	2.85
2	0.166354	1	3	0.00827103	4	4	3.33947	7.153	13.001	2.909
2	0.142341	1	4	0.0125306	3	3	3.48181	7.28	13.246	2.956
2	0.112999	1	4	0.013895	3	3	3.5948	7.407	13.482	3.001
2	0.118146	1	4	0.00934646	3	3	3.71295	7.546	13.72	3.045
2	0.1328	1	4	0.00834487	3	3	3.84575	7.68	13.957	3.095
2	0.15253	1	4	0.00805969	3	3	3.99828	7.805	14.192	3.141
2	0.175958	1	4	0.00800279	4	4	4.17424	7.975	14.523	3.203
2	0.196222	1	5	0.00845095	4	4	4.37046	8.143	14.863	3.262
2	0.126336	1	5	0.0182976	3	3	4.4968	8.281	15.108	3.314
2	0.128236	1	5	0.00977778	3	3	4.62503	8.413	15.354	3.364
2	0.144235	1	5	0.00833615	3	3	4.76927	8.547	15.635	3.409
2	0.167345	1	5	0.00792855	3	3	4.93661	8.677	15.876	3.455
2	0.195724	1	5	0.00782506	4	4	5.13234	8.845	16.199	3.512
2	0.137498	1	6	0.016352	3	3	5.26984	8.975	16.448	3.56
2	0.121016	1	6	0.012043	3	3	5.39085	9.111	16.723	3.608
2	0.131472	1	6	0.00880705	3	3	5.52232	9.246	16.983	3.658
2	0.151934	1	6	0.0079798	3	3	5.67426	9.38	17.227	3.707
2	0.179268	1	6	0.00771287	3	3	5.85353	9.522	17.477	3.76
2	0.212683	1	6	0.00764336	5	5	6.06621	9.728	17.844	3.841
2	0.124225	1	7	0.0206811	3	3	6.19043	9.857	18.089	3.887
2	0.122989	1	7	0.0101507	3	3	6.31342	9.991	18.366	3.941
2	0.138753	1	7	0.00829587	3	3	6.45218	10.136	18.625	3.995
2	0.16333	1	7	0.00774284	3	3	6.61551	10.276	18.883	4.049
2	0.195269	1	7	0.00754657	4	4	6.81077	10.438	19.179	4.109
2	0.252692	1	8	0.00659131	5	5	7.06347	10.633	19.543	4.182
2	0.143031	1	8	0.0215005	3	3	7.2065	10.772	19.809	4.23
2	0.144981	1	8	0.00979818	3	3	7.35148	10.912	20.068	4.28
2	0.166105	1	8	0.00809244	3	3	7.51758	11.057	20.326	4.33
2	0.197987	1	8	0.00758451	4	4	7.71557	11.224	20.642	4.394
