Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 59	1371.78	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 60	1393.22	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 61	1414.66	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 62	1436.11	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 63	1457.55	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 64	1479	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 65	1500.44	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 66	1521.89	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 67	1543.33	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 68	1564.78	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 69	1586.22	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 70	1607.66	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 71	1629.11	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 72	1650.55	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 73	1672	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 74	1693.44	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 75	1714.89	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 76	1736.33	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 77	1757.78	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 78	1779.22	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 79	1800.66	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 80	1822.11	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 81	1843.55	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 82	1865	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 83	1886.44	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 84	1907.89	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 85	1929.33	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 86	1950.77	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 87	1972.22	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 88	1993.66	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 89	2015.11	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 90	2036.55	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 91	2041.91	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301


0.002     	128       	-         	533.953   	104.377   	3855.43   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	128	3274.3	4.33236	2.28849	0.0498907	1.99398	0.528231	0.0115158	0.460253
Seg 1	128.007	3271.82	4.33224	2.29543	0.0497211	1.98708	0.529772	0.0114789	0.458749
Seg 2	153.845	3271.75	3.95834	1.92178	0.0496949	1.98686	0.400822	0.0146208	0.584557
Seg 3	179.554	3214.74	3.68643	1.67897	0.0489825	1.95848	0.370121	0.0153692	0.61451
Seg 4	205.182	3147.91	3.47864	1.49702	0.0483498	1.93327	0.34568	0.0159648	0.638355
Seg 5	230.775	3073.77	3.31386	1.35549	0.0477807	1.91059	0.325262	0.0164624	0.658276
Seg 6	256.358	2994.05	3.17947	1.24218	0.0472645	1.89002	0.307923	0.0168848	0.675192
Seg 7	281.947	2910.19	3.06742	1.14938	0.0467935	1.87124	0.293	0.0172484	0.689752
Seg 8	307.552	2823.34	2.97233	1.07197	0.0463612	1.85401	0.280011	0.0175648	0.702424
Seg 9	333.177	2734.49	2.89046	1.00638	0.0459627	1.83811	0.268596	0.0178428	0.713561
Seg 10	358.825	2644.43	2.81909	0.950091	0.045594	1.8234	0.258479	0.0180893	0.723432
Seg 11	384.499	2553.84	2.75623	0.901239	0.0452516	1.80974	0.249444	0.0183095	0.732246
Seg 12	410.198	2463.3	2.70037	0.858428	0.0449327	1.79701	0.241322	0.0185074	0.74017
Seg 13	435.924	2373.27	2.65034	0.820589	0.0446351	1.78511	0.233976	0.0186864	0.747337
Seg 14	461.675	2284.15	2.60523	0.786891	0.0443566	1.77398	0.227296	0.0188493	0.753854
Seg 15	487.452	2196.28	2.56432	0.756676	0.0440956	1.76354	0.221191	0.0189983	0.759811
Seg 16	513.254	2109.93	2.52701	0.729419	0.0438507	1.75374	0.215586	0.0191352	0.765279
Seg 17	539.08	2025.32	2.49282	0.70469	0.0436204	1.74451	0.210416	0.0192615	0.770323
Seg 18	564.91	1942.64	2.46139	0.682168	0.0434037	1.73581	0.206286	0.0193625	0.774352
Seg 19	590.743	1862.18	2.43237	0.661624	0.043198	1.72755	0.202518	0.0194548	0.778027
Seg 20	616.58	1784.02	2.40549	0.642813	0.0430023	1.71968	0.199017	0.0195408	0.781442
Seg 21	642.421	1708.23	2.3805	0.625521	0.0428159	1.71216	0.195754	0.019621	0.784625
Seg 22	668.267	1634.86	2.3572	0.60957	0.0426381	1.70499	0.192705	0.0196961	0.787598
Seg 23	694.119	1563.92	2.33541	0.594807	0.0424686	1.69813	0.189849	0.0197667	0.790384
Seg 24	719.977	1495.43	2.31498	0.581101	0.0423067	1.69157	0.187167	0.0198332	0.793
Seg 25	745.841	1429.38	2.29578	0.568341	0.0421521	1.68529	0.184642	0.0198959	0.795462
Seg 26	771.711	1365.75	2.2777	0.55643	0.0420043	1.67927	0.182261	0.0199554	0.797784
Seg 27	797.589	1304.52	2.26064	0.545283	0.041863	1.67349	0.18001	0.0200117	0.799978
Seg 28	823.473	1245.65	2.24451	0.534826	0.0417279	1.66795	0.177879	0.0200654	0.802056
Seg 29	849.364	1189.12	2.22923	0.524995	0.0415986	1.66263	0.175857	0.0201165	0.804027
Seg 30	875.263	1134.86	2.21473	0.515734	0.0414749	1.65752	0.173935	0.0201654	0.805899
Seg 31	901.17	1082.84	2.20096	0.506991	0.0413566	1.65261	0.172106	0.0202123	0.807682
Seg 32	927.084	1032.99	2.18785	0.498721	0.0412434	1.64789	0.170362	0.0202572	0.809381
Seg 33	953.006	985.265	2.17537	0.490885	0.0411352	1.64335	0.168696	0.0203005	0.811004
Seg 34	978.935	939.601	2.16346	0.483448	0.0410318	1.63898	0.167102	0.0203423	0.812556
Seg 35	1004.87	895.94	2.15209	0.476376	0.0409329	1.63478	0.165575	0.0203826	0.814042
Seg 36	1030.82	854.218	2.14122	0.469643	0.0408372	1.63074	0.164111	0.0204211	0.815468
Seg 37	1056.77	814.373	2.13081	0.463221	0.040745	1.62684	0.162704	0.020458	0.816838
Seg 38	1082.74	776.342	2.12084	0.457086	0.040657	1.6231	0.161351	0.020494	0.818155
Seg 39	1108.71	740.062	2.11128	0.451218	0.0405731	1.61949	0.160047	0.020529	0.819424
Seg 40	1134.69	705.471	2.10211	0.445598	0.0404932	1.61602	0.15879	0.0205632	0.820647
Seg 41	1160.68	672.506	2.09331	0.440206	0.0404172	1.61268	0.157575	0.0205967	0.821828
Seg 42	1186.68	641.105	2.08484	0.435027	0.0403449	1.60947	0.1564	0.0206296	0.82297
Seg 43	1212.69	611.208	2.0767	0.430047	0.0402763	1.60638	0.155263	0.0206618	0.824076
Seg 44	1238.71	582.756	2.06887	0.425252	0.0402113	1.60341	0.15416	0.0206936	0.825147
Seg 45	1264.73	555.69	2.06132	0.420629	0.0401498	1.60055	0.153089	0.0207249	0.826186
Seg 46	1290.77	529.952	2.05406	0.416166	0.0400918	1.5978	0.152048	0.0207559	0.827196
Seg 47	1316.82	505.488	2.04705	0.411853	0.0400372	1.59516	0.151036	0.0207866	0.828178
Seg 48	1342.88	482.244	2.04029	0.407681	0.0399861	1.59262	0.150049	0.0208171	0.829134
Seg 49	1368.94	460.165	2.03377	0.403639	0.0399384	1.59019	0.149087	0.0208475	0.830066
Seg 50	1395.02	439.203	2.02747	0.39972	0.039894	1.58786	0.148147	0.0208778	0.830975
Seg 51	1421.11	419.306	2.02139	0.395915	0.0398531	1.58562	0.147228	0.0209081	0.831864
Seg 52	1447.21	400.427	2.01551	0.392217	0.0398155	1.58348	0.146328	0.0209385	0.832733
Seg 53	1473.32	382.52	2.00983	0.388619	0.0397813	1.58143	0.145447	0.020969	0.833584
Seg 54	1499.44	365.541	2.00434	0.385115	0.0397504	1.57947	0.144582	0.0209997	0.834419
Seg 55	1525.58	349.445	1.99903	0.381698	0.039723	1.57761	0.143732	0.0210307	0.835237
Seg 56	1551.72	334.192	1.99389	0.378363	0.0396991	1.57583	0.142896	0.021062	0.836042
Seg 57	1577.88	319.741	1.98891	0.375105	0.0396786	1.57413	0.142073	0.0210937	0.836833
Seg 58	1604.05	306.055	1.9841	0.371917	0.0396616	1.57252	0.141262	0.0211259	0.837612
Seg 59	1630.23	293.096	1.97944	0.368796	0.0396482	1.571	0.140462	0.0211587	0.838379
Seg 60	1656.43	280.829	1.97493	0.365736	0.0396384	1.56955	0.139671	0.021192	0.839137
Seg 61	1682.63	269.22	1.97056	0.362734	0.0396322	1.56819	0.138889	0.0212261	0.839885
Seg 62	1708.85	258.237	1.96632	0.359785	0.0396299	1.56691	0.138114	0.0212609	0.840625
Seg 63	1735.09	247.849	1.96222	0.356885	0.0396313	1.5657	0.137346	0.0212966	0.841357
Seg 64	1761.33	238.026	1.95825	0.35403	0.0396367	1.56458	0.136584	0.0213332	0.842083
Seg 65	1787.6	228.739	1.95439	0.351218	0.0396461	1.56353	0.135827	0.0213708	0.842802
Seg 66	1813.87	219.961	1.95066	0.348443	0.0396596	1.56256	0.135074	0.0214094	0.843517
Seg 67	1840.16	211.667	1.94705	0.345703	0.0396774	1.56167	0.134324	0.0214493	0.844227
Seg 68	1866.47	203.832	1.94354	0.342995	0.0396995	1.56085	0.133576	0.0214905	0.844933
Seg 69	1892.79	196.431	1.94015	0.340316	0.0397261	1.56011	0.13283	0.021533	0.845637
Seg 70	1919.12	189.442	1.93686	0.337661	0.0397573	1.55944	0.132084	0.0215771	0.846338
Seg 71	1945.47	182.845	1.93367	0.335029	0.0397934	1.55885	0.131339	0.0216227	0.847038
Seg 72	1971.84	176.618	1.93058	0.332417	0.0398344	1.55833	0.130592	0.02167	0.847738
Seg 73	1998.22	170.742	1.92759	0.329821	0.0398805	1.55789	0.129844	0.0217191	0.848436
Seg 74	2024.62	165.199	1.92469	0.327242	0.0399259	1.55752	0.129095	0.021767	0.849138
Seg 75	2051.04	159.971	1.92188	0.324676	0.0399669	1.55723	0.128343	0.0218115	0.849845
Seg 76	2077.47	155.04	1.91915	0.322119	0.0400135	1.55702	0.127587	0.0218583	0.850554
Seg 77	2103.93	150.392	1.91651	0.319567	0.0400662	1.55688	0.126827	0.0219073	0.851266
Seg 78	2130.4	146.011	1.91396	0.317019	0.040125	1.55681	0.126061	0.0219588	0.851981
Seg 79	2156.89	141.883	1.91149	0.314471	0.0401902	1.55683	0.125288	0.0220129	0.852699
Seg 80	2183.4	137.993	1.9091	0.311921	0.0402622	1.55691	0.124508	0.0220697	0.853422
Seg 81	2209.93	134.33	1.90679	0.309367	0.0403412	1.55708	0.12372	0.0221295	0.85415
Seg 82	2236.48	130.881	1.90456	0.306807	0.0404274	1.55733	0.122924	0.0221924	0.854884
Seg 83	2263.04	127.634	1.90241	0.304236	0.0405213	1.55765	0.122117	0.0222585	0.855624
