Results of block pressure and saturations for reservoir: RES1

BlockNo        P 	     Sg           So
t=0       (days)
61          2677.22     0               1               
62          2928.53     0               1               
63          3200.43     0               1               
64          3485.15     0               1               
65          3781.41     0               1               
66          4089.75     0               1               
67          4412.65     0               1               
68          4751.81     0               1               
69          5025.12     0               1               
70          2512.38     0               1               
71          2693.09     0               1               
72          2939.19     0               1               
73          3209.62     0               1               
74          3494.02     0               1               
75          3790.4      0               1               
76          4099.68     0               1               
77          4427.01     0               1               
78          4786.72     0               1               
79          5095.54     0.124453        0.875547        
80          2534.04     0               1               
81          2706.71     0               1               
82          2949.27     0               1               
83          3218.67     0               1               
84          3502.83     0               1               
85          3799.3      0               1               
86          4109.32     0               1               
87          4440.46     0               1               
88          4823.27     0               1               
89          5146.35     0.360732        0.639268        
90          2549.13     0               1               
91          2717.9      0               1               
92          2958.68     0               1               
93          3227.53     0               1               
94          3511.57     0               1               
95          3808.11     0               1               
96          4118.53     0               1               
97          4451.91     0               1               
98          4855.64     0.17083         0.82917         
99          5187.48     0.557008        0.442992        
t=30.33   (days)
0           2690.75     0               1               
1           3275.04     0               1               
2           3651.16     0               1               
3           3995.02     0               1               
4           4331.15     0               1               
5           4658.93     0               1               
6           4964.17     0               1               
7           5224.92     0               1               
8           5421.14     0               1               
9           5531.39     0               1               
10          2808.02     0               1               
11          3292.13     0               1               
12          3661.2      0               1               
13          4004.09     0               1               
14          4340.24     0               1               
15          4668.59     0               1               
16          4974.71     0               1               
17          5236.24     0               1               
18          5433.3      0               1               
19          5544.52     0               1               
20          2906.13     0               1               
21          3313.9      0               1               
22          3672.37     0               1               
23          4013.5      0               1               
24          4349.73     0               1               
25          4679.22     0               1               
26          4987.08     0               1               
27          5250.18     0               1               
28          5448.92     0               1               
29          5562.09     0               1               
30          2988.08     0               1               
31          3337.73     0               1               
32          3684.31     0               1               
33          4023.19     0               1               
34          4359.57     0               1               
35          4690.78     0               1               
36          5001.31     0               1               
37          5266.72     0               1               
38          5467.92     0               1               
39          5584.07     0.0708271       0.929173        
40          3056.16     0               1               
41          3361.75     0               1               
42          3696.64     0               1               
43          4033.06     0               1               
44          4369.69     0               1               
45          4703.25     0               1               
46          5017.39     0               1               
47          5285.79     0               1               
48          5490.16     0.0647801       0.93522         
49          5605.95     0.293364        0.706636        
50          3112.11     0               1               
51          3384.69     0               1               
52          3708.98     0               1               
53          4043        0               1               
