Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
77.119    	2500      	70        	145.401   	0.000162184	
78.119    	2500      	70        	145.399   	0.000314277	
79.119    	2500      	70        	145.396   	0.000609838	
80.119    	2500      	70        	145.393   	0.00118369	
81.119    	2500      	70        	145.388   	0.00229567	
82.119    	2500      	70        	145.378   	0.0044454 	
83.119    	2500      	70        	145.363   	0.00859341	
84.119    	2500      	70        	145.335   	0.0165954 	
85.119    	2500      	70        	145.284   	0.0320737 	
86.119    	2500      	70        	145.189   	0.0621983 	
87.119    	2500      	70        	145.005   	0.12142   	
88.119    	2500      	70        	144.647   	0.239037  	
89.119    	2500      	70        	143.939   	0.473737  	
90.119    	2500      	70        	142.558   	0.936057  	
91.119    	2500      	70        	139.995   	1.80304   	
92.119    	2500      	70        	135.592   	3.31119   	
93.119    	2500      	70        	128.832   	5.65233   	
94.119    	2500      	70        	119.642   	8.87565   	
95.119    	2500      	70        	108.697   	12.7654   	
96.119    	2500      	70        	97.2702   	16.8951   	
97.119    	2500      	70        	87.0347   	20.684    	
98.119    	2500      	70        	78.8803   	23.8041   	
99.119    	2500      	70        	73.0689   	26.1341   	
100       	2500      	70        	69.3185   	27.7081   	
