Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
76.7745   	6000      	70        	0         	-135.55   	
77.7745   	6000      	70        	0         	-135.55   	
78.7745   	6000      	70        	0         	-135.551  	
79.7745   	6000      	70        	0         	-135.551  	
80.7745   	6000      	70        	0         	-135.55   	
81.7745   	6000      	70        	0         	-135.55   	
82.7745   	6000      	70        	0         	-135.548  	
83.7745   	6000      	70        	0         	-135.546  	
84.7745   	6000      	70        	0         	-135.542  	
85.7745   	6000      	70        	0         	-135.533  	
86.7745   	6000      	70        	0         	-135.512  	
87.7745   	6000      	70        	0         	-135.467  	
88.7745   	6000      	70        	0         	-135.373  	
89.7745   	6000      	70        	0         	-135.173  	
90.7745   	6000      	70        	0         	-134.772  	
91.7745   	6000      	70        	0         	-134.017  	
92.7745   	6000      	70        	0         	-132.707  	
93.7745   	6000      	70        	0         	-130.664  	
94.7745   	6000      	70        	0         	-127.82   	
95.7745   	6000      	70        	0         	-124.286  	
96.7745   	6000      	70        	0         	-120.301  	
97.7745   	6000      	70        	0         	-116.159  	
98.7745   	6000      	70        	0         	-112.075  	
99.7745   	6000      	70        	0         	-108.241  	
100       	6000      	70        	0         	-107.389  	
