 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
278.8644	3211.231	1	0	2578.151	0.5288048	0.4711952	
284.2144	3210.529	1	0	2577.559	0.5288101	0.4711899	
288.0624	3210.007	1	0	2577.154	0.5288173	0.4711827	
290.5201	3209.666	1	0	2576.905	0.5288239	0.4711761	
297.3246	3208.699	1	0	2576.278	0.5288593	0.4711407	
301.8819	3208.062	1	0	2575.88	0.5288908	0.4711092	
305.1747	3207.597	1	0	2575.602	0.5289173	0.4710827	
314.1362	3206.349	1	0	2574.889	0.5290033	0.4709967	
319.71	3205.64	1	0	2574.449	0.5290595	0.4709405	
323.3891	3205.199	1	0	2574.156	0.5290966	0.4709034	
325.7932	3204.91	1	0	2573.963	0.5291207	0.4708793	
332.5049	3204.104	1	0	2573.421	0.5291819	0.4708181	
336.8749	3203.616	1	0	2573.063	0.5292192	0.4707808	
339.7042	3203.3	1	0	2572.83	0.5292422	0.4707578	
347.4425	3202.471	1	0	2572.178	0.5292957	0.4707043	
352.4833	3201.952	1	0	2571.748	0.5293271	0.4706729	
355.7861	3201.601	1	0	2571.465	0.5293464	0.4706536	
364.8292	3200.678	1	0	2570.688	0.5293927	0.4706073	
370.5175	3200.128	1	0	2570.196	0.5294203	0.4705797	
374.1956	3199.772	1	0	2569.878	0.5294375	0.4705625	
376.5784	3199.547	1	0	2569.672	0.5294485	0.4705515	
378.1253	3199.401	1	0	2569.539	0.5294556	0.4705444	
382.5415	3198.977	1	0	2569.164	0.5294759	0.4705241	
385.7386	3198.655	1	0	2568.898	0.5294911	0.4705089	
394.4744	3197.785	1	0	2568.188	0.5295372	0.4704628	
399.8274	3197.267	1	0	2567.754	0.5295668	0.4704332	
403.1841	3196.954	1	0	2567.482	0.5295856	0.4704144	
405.3887	3196.747	1	0	2567.304	0.529598	0.470402	
411.6341	3196.101	1	0	2566.82	0.5296346	0.4703654	
427.75	3194.454	1	0	2565.689	0.5297442	0.4702558	
438.4805	3193.309	1	0	2564.982	0.5298227	0.4701773	
458.4805	3191.149	1	0	2563.787	0.5299709	0.4700291	
478.4805	3189.163	1	0	2562.656	0.5301071	0.4698929	
489.3934	3188.085	1	0	2562.067	0.5301788	0.4698212	
509.3934	3186.225	1	0	2561.05	0.5303028	0.4696972	
525.1518	3184.848	1	0	2560.277	0.5303952	0.4696048	
536.4914	3183.857	1	0	2559.736	0.5304591	0.4695409	
556.4914	3182.272	1	0	2558.801	0.5305608	0.4694392	
570.8404	3181.131	1	0	2558.151	0.53063	0.46937	
590.8404	3179.582	1	0	2557.298	0.5307228	0.4692772	
610.8404	3178.102	1	0	2556.489	0.5308113	0.4691887	
630.8404	3176.696	1	0	2555.719	0.5308935	0.4691065	
650.8404	3175.355	1	0	2554.985	0.5309684	0.4690316	
670.8404	3174.069	1	0	2554.285	0.5310355	0.4689645	
690.8404	3172.862	1	0	2553.616	0.5310948	0.4689052	
710.8404	3171.717	1	0	2552.979	0.5311463	0.4688537	
730.8404	3170.617	1	0	2552.374	0.5311906	0.4688094	
750.8404	3169.539	1	0	2551.809	0.5312295	0.4687705	
770.8404	3168.453	1	0	2551.298	0.5312662	0.4687338	
790.8404	3167.43	1	0	2550.821	0.5312992	0.4687008	
810.8404	3166.417	1	0	2550.388	0.5313309	0.4686691	
830.8404	3165.46	1	0	2549.993	0.5313638	0.4686362	
850.8404	3164.541	1	0	2549.628	0.5313984	0.4686016	
870.8404	3163.656	1	0	2549.301	0.5314371	0.4685629	
890.8404	3162.861	1	0	2548.971	0.5314752	0.4685248	
910.8404	3162.059	1	0	2548.676	0.5315174	0.4684826	
930.8404	3161.331	1	0	2548.394	0.5315636	0.4684364	
950.8404	3160.662	1	0	2548.116	0.5316114	0.4683886	
970.8404	3159.993	1	0	2547.867	0.5316643	0.4683357	
980.8404	3159.67	1	0	2547.745	0.5316918	0.4683082	
982.8052	3159.607	1	0	2547.722	0.5316972	0.4683028	
983.3648	3159.589	1	0	2547.715	0.5316988	0.4683012	
984.089	3159.566	1	0	2547.706	0.5317008	0.4682992	
984.7262	3159.545	1	0	2547.698	0.5317026	0.4682974	
986.6119	3159.48	1	0	2547.676	0.5317078	0.4682922	
992.0391	3159.293	1	0	2547.622	0.5317236	0.4682764	
1006.413	3158.854	1	0	2547.484	0.5317703	0.4682297	
1026.413	3158.298	1	0	2547.283	0.531833	0.468167	
1027.663	3158.264	1	0	2547.271	0.5318369	0.4681631	
1030.121	3158.188	1	0	2547.248	0.5318444	0.4681556	
1031.11	3158.157	1	0	2547.239	0.5318474	0.4681526	
1034.026	3158.061	1	0	2547.216	0.5318564	0.4681436	
1042.351	3157.807	1	0	2547.164	0.5318857	0.4681143	
1062.351	3157.273	1	0	2547.016	0.5319545	0.4680455	
1082.351	3156.773	1	0	2546.859	0.5320164	0.4679836	
1102.351	3156.283	1	0	2546.714	0.532075	0.467925	
1122.351	3155.795	1	0	2546.598	0.5321343	0.4678657	
1142.351	3155.37	1	0	2546.462	0.532187	0.467813	
1162.351	3154.976	1	0	2546.323	0.5322328	0.4677672	
1182.351	3154.589	1	0	2546.201	0.5322759	0.4677241	
1189.295	3154.457	1	0	2546.162	0.5322907	0.4677093	
1206.306	3154.155	1	0	2546.065	0.5323241	0.4676759	
1226.306	3153.778	1	0	2545.999	0.5323643	0.4676357	
1246.306	3153.447	1	0	2545.916	0.5323966	0.4676034	
1266.306	3153.112	1	0	2545.84	0.5324203	0.4675797	
1279.948	3152.888	1	0	2545.798	0.5324337	0.4675663	
1299.948	3152.557	1	0	2545.765	0.5324492	0.4675508	
1306.993	3152.445	1	0	2545.753	0.5324539	0.4675461	
1321.111	3152.23	1	0	2545.727	0.5324574	0.4675426	
1325.242	3152.166	1	0	2545.721	0.5324579	0.4675421	
1333.222	3152.036	1	0	2545.721	0.5324584	0.4675416	
1345.663	3151.85	1	0	2545.72	0.5324567	0.4675433	
1365.663	3151.595	1	0	2545.684	0.5324361	0.4675639	
1385.663	3151.358	1	0	2545.636	0.532399	0.467601	
1400	3151.195	1	0	2545.602	0.5323656	0.4676344	
