Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 6	320.897	110.249	5.28176	3.72859	1.55317	2.74273e-009	0.705937	0.294063	5.19283e-010		0.950592	0.0402696	0.0026559	0.00648239	0	0.0847983	0.164758	0.214409	0.536035	0	
Seg 7	324.427	111.082	5.25224	3.68803	1.56421	3.10961e-009	0.702183	0.297817	5.92054e-010		0.95037	0.0403779	0.00268911	0.00656268	0	0.0855496	0.164643	0.214227	0.535581	0	
Seg 8	327.983	111.884	5.2269	3.64972	1.57719	3.52788e-009	0.698256	0.301744	6.74947e-010		0.950169	0.0404714	0.00272082	0.00663926	0	0.0863114	0.164531	0.214041	0.535117	0	
Seg 9	331.567	112.648	5.20558	3.61336	1.59222	4.00468e-009	0.694132	0.305868	7.69305e-010		0.949991	0.040547	0.00275063	0.00671113	0	0.0870863	0.164424	0.21385	0.53464	0	
Seg 10	335.935	113.368	5.17676	3.56712	1.60965	4.54808e-009	0.689063	0.310937	8.78557e-010		0.949918	0.0405379	0.00277486	0.00676905	0	0.0880718	0.164309	0.213601	0.534019	0	
Seg 11	340.37	114.224	5.1696	3.53181	1.6378	5.42559e-009	0.683187	0.316813	1.04952e-009		0.949747	0.0405979	0.00280748	0.00684749	0	0.0890426	0.164191	0.213357	0.533409	0	
Seg 12	344.887	115.039	5.16932	3.49853	1.67079	6.47379e-009	0.676787	0.323213	1.25235e-009		0.949606	0.040636	0.00283776	0.00692016	0	0.0900398	0.164081	0.213104	0.532776	0	
Seg 13	349.5	115.802	5.17565	3.4665	1.70915	7.72448e-009	0.669771	0.330229	1.49247e-009		0.949503	0.0406468	0.00286503	0.00698539	0	0.0910694	0.163976	0.212839	0.532115	0	
Seg 14	354.225	116.504	5.18834	3.43484	1.7535	9.21486e-009	0.662031	0.337969	1.77607e-009		0.949446	0.0406244	0.00288853	0.0070413	0	0.0921378	0.163879	0.212561	0.531422	0	
Seg 15	359.081	117.131	5.20716	3.40261	1.80455	1.09883e-008	0.653448	0.346552	2.11022e-009		0.949445	0.0405621	0.00290741	0.00708582	0	0.0932524	0.163789	0.212269	0.53069	0	
Seg 16	364.088	117.67	5.23191	3.36876	1.86315	1.30951e-008	0.643887	0.356113	2.50293e-009		0.94951	0.0404529	0.00292075	0.00711672	0	0.0944213	0.163707	0.211958	0.529914	0	
Seg 17	369.269	118.108	5.26242	3.33214	1.93028	1.55937e-008	0.633195	0.366805	2.96322e-009		0.949651	0.0402892	0.00292762	0.00713167	0	0.0956536	0.163631	0.211628	0.529088	0	
Seg 18	374.651	118.429	5.29852	3.29145	2.00707	1.85513e-008	0.621202	0.378798	3.50122e-009		0.949881	0.0400635	0.00292705	0.00712833	0	0.0969595	0.163561	0.211275	0.528205	0	
Seg 19	380.262	118.618	5.3401	3.24529	2.09481	2.20453e-008	0.607722	0.392278	4.12825e-009		0.950209	0.0397682	0.00291815	0.00710447	0	0.0983503	0.163494	0.210897	0.52726	0	
Seg 20	382.794	118.661	5.43176	3.23785	2.19391	2.61645e-008	0.596096	0.403904	4.81694e-009		0.950372	0.0396293	0.00291159	0.0070875	0	0.0989865	0.163511	0.21071	0.526793	0	
Seg 21	385.438	118.66	5.48841	3.21604	2.27237	2.95629e-008	0.585969	0.414031	5.38642e-009		0.950575	0.039459	0.0029022	0.00706353	0	0.0996608	0.163507	0.210519	0.526314	0	
Seg 22	388.207	118.658	5.54746	3.18949	2.35796	3.3363e-008	0.574947	0.425053	6.01411e-009		0.950786	0.0392829	0.00289254	0.00703888	0	0.100366	0.1635	0.210319	0.525815	0	
Seg 23	391.112	118.657	5.60888	3.15755	2.45133	3.76059e-008	0.562955	0.437045	6.70472e-009		0.951004	0.0391003	0.00288261	0.00701352	0	0.101106	0.16349	0.210111	0.525293	0	


