 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	comp5	comp6	comp7	comp8	
day	psi	F	**	**	**	**	**	**	**	**	**	
   615.451	   3254.06	       530	4.97456e+006	7.9758e+006	2.713e+008	3.5726e+007	2.42958e+007	3.97375e+007	1.9485e+007	6.11397e+006	1.3301e+006	
   635.451	   3254.44	       530	4.97487e+006	7.9763e+006	2.71317e+008	3.57282e+007	2.42973e+007	3.97395e+007	1.94855e+007	6.111e+006	1.3294e+006	
   655.451	   3254.79	       530	4.97517e+006	7.97678e+006	2.71333e+008	3.57304e+007	2.42987e+007	3.97414e+007	1.9486e+007	6.10801e+006	1.3287e+006	
   675.451	   3255.12	       530	4.97545e+006	7.97724e+006	2.71349e+008	3.57324e+007	2.43001e+007	3.97431e+007	1.94865e+007	6.10502e+006	1.328e+006	
   695.451	   3255.42	       530	4.97573e+006	7.97768e+006	2.71364e+008	3.57344e+007	2.43014e+007	3.97448e+007	1.94869e+007	6.10202e+006	1.3273e+006	
   715.451	    3255.7	       530	4.97599e+006	7.9781e+006	2.71378e+008	3.57362e+007	2.43026e+007	3.97464e+007	1.94873e+007	6.09901e+006	1.3266e+006	
   735.451	   3255.95	       530	4.97624e+006	7.97851e+006	2.71392e+008	3.57381e+007	2.43038e+007	3.97479e+007	1.94876e+007	6.096e+006	1.3259e+006	
   755.451	   3256.19	       530	4.97649e+006	7.9789e+006	2.71406e+008	3.57398e+007	2.43049e+007	3.97493e+007	1.94879e+007	6.09299e+006	1.32519e+006	
   775.451	   3256.41	       530	4.97672e+006	7.97928e+006	2.71419e+008	3.57415e+007	2.43061e+007	3.97507e+007	1.94882e+007	6.08996e+006	1.32448e+006	
   795.451	   3256.61	       530	4.97695e+006	7.97965e+006	2.71431e+008	3.57431e+007	2.43071e+007	3.9752e+007	1.94884e+007	6.08693e+006	1.32378e+006	
   815.451	    3256.8	       530	4.97717e+006	7.98001e+006	2.71443e+008	3.57447e+007	2.43082e+007	3.97532e+007	1.94886e+007	6.0839e+006	1.32307e+006	
   835.451	   3256.97	       530	4.97739e+006	7.98035e+006	2.71455e+008	3.57462e+007	2.43092e+007	3.97544e+007	1.94888e+007	6.08087e+006	1.32236e+006	
   855.451	   3257.13	       530	4.9776e+006	7.98069e+006	2.71466e+008	3.57477e+007	2.43102e+007	3.97556e+007	1.9489e+007	6.07783e+006	1.32165e+006	
   875.451	   3257.28	       530	4.9778e+006	7.98102e+006	2.71478e+008	3.57492e+007	2.43111e+007	3.97567e+007	1.94891e+007	6.07478e+006	1.32094e+006	
   895.451	   3257.42	       530	4.978e+006	7.98134e+006	2.71488e+008	3.57506e+007	2.4312e+007	3.97578e+007	1.94892e+007	6.07173e+006	1.32023e+006	
   915.451	   3257.55	       530	4.97819e+006	7.98165e+006	2.71499e+008	3.5752e+007	2.4313e+007	3.97588e+007	1.94893e+007	6.06868e+006	1.31951e+006	
   935.451	   3257.66	       530	4.97838e+006	7.98196e+006	2.71509e+008	3.57533e+007	2.43138e+007	3.97598e+007	1.94894e+007	6.06563e+006	1.3188e+006	
   955.451	   3257.77	       530	4.97857e+006	7.98225e+006	2.7152e+008	3.57546e+007	2.43147e+007	3.97608e+007	1.94895e+007	6.06258e+006	1.31809e+006	
   975.451	   3257.88	       530	4.97875e+006	7.98255e+006	2.7153e+008	3.57559e+007	2.43155e+007	3.97617e+007	1.94896e+007	6.05952e+006	1.31737e+006	
   995.451	   3257.97	       530	4.97893e+006	7.98283e+006	2.71539e+008	3.57572e+007	2.43164e+007	3.97626e+007	1.94896e+007	6.05646e+006	1.31666e+006	
   1015.45	   3258.06	       530	4.9791e+006	7.98312e+006	2.71549e+008	3.57584e+007	2.43172e+007	3.97635e+007	1.94896e+007	6.05339e+006	1.31595e+006	
   1035.45	   3258.14	       530	4.97927e+006	7.98339e+006	2.71558e+008	3.57597e+007	2.4318e+007	3.97644e+007	1.94897e+007	6.05033e+006	1.31523e+006	
   1055.45	   3258.21	       530	4.97944e+006	7.98367e+006	2.71568e+008	3.57609e+007	2.43188e+007	3.97652e+007	1.94897e+007	6.04726e+006	1.31452e+006	
   1075.45	   3258.28	       530	4.97961e+006	7.98394e+006	2.71577e+008	3.57621e+007	2.43196e+007	3.97661e+007	1.94897e+007	6.0442e+006	1.3138e+006	
   1095.45	   3258.35	       530	4.97978e+006	7.9842e+006	2.71586e+008	3.57632e+007	2.43203e+007	3.97669e+007	1.94897e+007	6.04113e+006	1.31308e+006	
   1115.45	   3258.41	       530	4.97994e+006	7.98447e+006	2.71595e+008	3.57644e+007	2.43211e+007	3.97677e+007	1.94897e+007	6.03806e+006	1.31237e+006	
   1135.45	   3258.47	       530	4.9801e+006	7.98473e+006	2.71604e+008	3.57655e+007	2.43218e+007	3.97684e+007	1.94897e+007	6.03498e+006	1.31165e+006	
   1155.45	   3258.52	       530	4.98026e+006	7.98498e+006	2.71612e+008	3.57667e+007	2.43226e+007	3.97692e+007	1.94896e+007	6.03191e+006	1.31093e+006	
   1175.45	   3258.57	       530	4.98042e+006	7.98524e+006	2.71621e+008	3.57678e+007	2.43233e+007	3.97699e+007	1.94896e+007	6.02884e+006	1.31022e+006	
   1195.45	   3258.61	       530	4.98057e+006	7.98549e+006	2.71629e+008	3.57689e+007	2.4324e+007	3.97707e+007	1.94896e+007	6.02576e+006	1.3095e+006	
   1215.45	   3258.66	       530	4.98073e+006	7.98574e+006	2.71638e+008	3.577e+007	2.43247e+007	3.97714e+007	1.94895e+007	6.02268e+006	1.30878e+006	
   1235.45	    3258.7	       530	4.98088e+006	7.98598e+006	2.71646e+008	3.57711e+007	2.43254e+007	3.97721e+007	1.94895e+007	6.01961e+006	1.30807e+006	
   1255.45	   3258.73	       530	4.98103e+006	7.98623e+006	2.71655e+008	3.57722e+007	2.43261e+007	3.97728e+007	1.94894e+007	6.01653e+006	1.30735e+006	
   1275.45	   3258.77	       530	4.98118e+006	7.98647e+006	2.71663e+008	3.57732e+007	2.43268e+007	3.97735e+007	1.94894e+007	6.01345e+006	1.30663e+006	
   1295.45	    3258.8	       530	4.98133e+006	7.98671e+006	2.71671e+008	3.57743e+007	2.43275e+007	3.97742e+007	1.94893e+007	6.01037e+006	1.30591e+006	
   1315.45	   3258.83	       530	4.98148e+006	7.98695e+006	2.71679e+008	3.57754e+007	2.43282e+007	3.97749e+007	1.94892e+007	6.00729e+006	1.30519e+006	
   1335.45	   3258.86	       530	4.98163e+006	7.98719e+006	2.71687e+008	3.57764e+007	2.43289e+007	3.97756e+007	1.94892e+007	6.0042e+006	1.30447e+006	
   1355.45	   3258.89	       530	4.98177e+006	7.98743e+006	2.71695e+008	3.57775e+007	2.43296e+007	3.97762e+007	1.94891e+007	6.00112e+006	1.30376e+006	
   1375.45	   3258.91	       530	4.98192e+006	7.98766e+006	2.71703e+008	3.57785e+007	2.43302e+007	3.97769e+007	1.9489e+007	5.99804e+006	1.30304e+006	
   1395.45	   3258.94	       530	4.98206e+006	7.9879e+006	2.71711e+008	3.57795e+007	2.43309e+007	3.97775e+007	1.94889e+007	5.99496e+006	1.30232e+006	
   1415.45	   3258.96	       530	4.98221e+006	7.98813e+006	2.71719e+008	3.57806e+007	2.43316e+007	3.97782e+007	1.94889e+007	5.99187e+006	1.3016e+006	
   1435.45	   3258.98	       530	4.98235e+006	7.98837e+006	2.71727e+008	3.57816e+007	2.43322e+007	3.97788e+007	1.94888e+007	5.98879e+006	1.30088e+006	
