Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
1         	8437.97   	40        	0         	-600.045  	
3.7371    	8439.33   	40        	0         	-600.045  	
11.5692   	8440.17   	40        	0         	-600.045  	
21.5692   	8440.52   	40        	0         	-600.045  	
31.5692   	8440.68   	40        	0         	-600.045  	
41.5692   	8440.77   	40        	0         	-600.045  	
50        	8440.83   	40        	0         	-600.045  	
