  PORO  
 #ALL     
   0.21463   0.21853   0.22309   0.22785   0.23369   0.24101   0.24820   0.25162
   0.25328   0.25279   0.25088   0.24936   0.24883   0.24938   0.25119   0.25299
   0.25416   0.25451   0.25432   0.25335   0.25107   0.24873   0.24690   0.24468
   0.24269   0.24062   0.23787   0.23343   0.22845   0.22481   0.22200   0.21623
   0.21050   0.20660   0.20400   0.20172   0.19945   0.19661   0.19385   0.19078
   0.21447   0.21830   0.22315   0.22819   0.23411   0.24118   0.24868   0.25266
   0.25440   0.25388   0.25221   0.25044   0.24974   0.25015   0.25160   0.25275
   0.25398   0.25398   0.25360   0.25288   0.25076   0.24846   0.24677   0.24507
   0.24311   0.24120   0.23891   0.23499   0.23049   0.22552   0.22194   0.21753
   0.21151   0.20754   0.20454   0.20199   0.19946   0.19672   0.19390   0.19083
   0.21435   0.21790   0.22283   0.22792   0.23391   0.24134   0.24898   0.25307
   0.25494   0.25473   0.25340   0.25209   0.25126   0.25110   0.25182   0.25254
   0.25321   0.25332   0.25316   0.25245   0.25065   0.24844   0.24681   0.24536
   0.24358   0.24171   0.23967   0.23665   0.23224   0.22826   0.22336   0.21955
   0.21435   0.20938   0.20554   0.20272   0.19981   0.19676   0.19392   0.19075
   0.21411   0.21762   0.22252   0.22770   0.23357   0.24086   0.24853   0.25268
   0.25483   0.25484   0.25431   0.25314   0.25262   0.25196   0.25216   0.25256
   0.25269   0.25284   0.25256   0.25219   0.25082   0.24856   0.24706   0.24553
   0.24382   0.24209   0.24017   0.23769   0.23411   0.22986   0.22586   0.22200
   0.21767   0.21195   0.20732   0.20372   0.20071   0.19725   0.19417   0.19061
   0.21398   0.21738   0.22237   0.22759   0.23319   0.23971   0.24717   0.25165
   0.25446   0.25482   0.25449   0.25382   0.25325   0.25274   0.25210   0.25237
   0.25223   0.25212   0.25193   0.25171   0.25087   0.24861   0.24671   0.24547
   0.24394   0.24228   0.24041   0.23850   0.23545   0.23196   0.22808   0.22430
   0.21993   0.21437   0.20900   0.20474   0.20170   0.19809   0.19442   0.19122
   0.21399   0.21761   0.22262   0.22762   0.23290   0.23878   0.24517   0.25057
   0.25365   0.25454   0.25447   0.25411   0.25361   0.25306   0.25208   0.25159
   0.25135   0.25139   0.25132   0.25115   0.25080   0.24893   0.24636   0.24511
   0.24401   0.24247   0.24065   0.23872   0.23617   0.23306   0.22956   0.22563
   0.22115   0.21596   0.21049   0.20604   0.20264   0.19890   0.19467   0.19137
