Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
6274.78   1000        9738.4049   515.722     0.000193831
6334.78   1000        9268.1072   495.762     0.000186854
6394.78   1000        8748.3493   473.535     0.000178975
6454.78   1000        8201.336    450.874     0.000170622
6514.78   1000        7698.6781   434.366     0.00016343
6574.78   1000        7184.2785   423.421     0.000156789
6634.78   1000        6594.828    406.234     0.000147682
6694.78   1000        5964.6066   388.093     0.000137731
6754.78   1000        5432.9264   382.962     0.000130248
6814.78   1000        4949.5789   401.509     0.000125873
6874.78   1000        4543.3507   446.139     0.000125366
6934.78   1000        3657.414    543.754     0.000124266
6994.78   1000        2911.6396   751.734     0.000125952
7054.78   1000        2369.1765   1040.2      0.000134346
7114.78   1000        1951.6298   1396.44     0.000149722
7174.78   1000        1849.3857   1743.75     0.000163303
7234.78   1000        1701.1691   2149.61     0.000177234
7294.78   1000        1544.9987   2576.62     0.000191565
7354.78   1000        1455.5751   2845.28     0.000204935
7414.78   1000        1425.5394   3065.99     0.000217085
7474.78   1000        1470.8766   3248.27     0.000227349
7534.78   1000        1549.0934   3393.38     0.000235574
7594.78   1000        1619.6713   3522.68     0.000242786
7654.78   1000        1685.929    3642.69     0.000249382
7714.78   1000        1749.661    3756.93     0.000255574
7774.78   1000        1812.8395   3869.04     0.000261566
7834.78   1000        1875.0669   3978.41     0.000267333
7894.78   1000        1936.881    4086.03     0.000272932
7954.78   1000        1998.6267   4192.53     0.000278404
8014.78   1000        2060.3749   4297.96     0.000283783
8074.78   1000        2122.8961   4403.77     0.000289105
8134.78   1000        2186.3055   4510.14     0.00029438
8194.78   1000        2250.9286   4617.8      0.000299594
8254.78   1000        2316.1525   4725.34     0.000304773
8314.78   1000        2382.6599   4834.05     0.000309929
8374.78   1000        2450.6414   4944.21     0.000315074
8434.78   1000        2520.0461   5055.71     0.000320199
8494.78   1000        2590.9655   5168.66     0.000325308
8554.78   1000        2663.5797   5283.31     0.000330408
8614.78   1000        2738.0954   5399.94     0.000335508
8674.78   1000        2814.5375   5518.54     0.000340603
8734.78   1000        2892.9741   5639.17     0.000345692
8794.78   1000        2973.4165   5761.79     0.000350769
8854.78   1000        3055.8345   5886.31     0.000355826
