 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
339.7056	3203.3	1	0	2572.83	0.5292422	0.4707578	
347.4439	3202.471	1	0	2572.178	0.5292957	0.4707043	
352.4847	3201.952	1	0	2571.748	0.5293271	0.4706729	
355.7875	3201.601	1	0	2571.465	0.5293464	0.4706536	
364.8307	3200.678	1	0	2570.688	0.5293927	0.4706073	
370.519	3200.128	1	0	2570.196	0.5294203	0.4705797	
374.1972	3199.772	1	0	2569.878	0.5294375	0.4705625	
376.58	3199.547	1	0	2569.672	0.5294485	0.4705515	
378.1269	3199.401	1	0	2569.539	0.5294556	0.4705444	
382.5431	3198.977	1	0	2569.164	0.5294759	0.4705241	
385.7401	3198.655	1	0	2568.898	0.5294911	0.4705089	
394.476	3197.785	1	0	2568.188	0.5295372	0.4704628	
399.8289	3197.266	1	0	2567.754	0.5295668	0.4704332	
403.1856	3196.954	1	0	2567.482	0.5295856	0.4704144	
405.3902	3196.746	1	0	2567.304	0.529598	0.470402	
411.6357	3196.101	1	0	2566.82	0.5296346	0.4703654	
427.7516	3194.454	1	0	2565.689	0.5297442	0.4702558	
438.4821	3193.309	1	0	2564.982	0.5298227	0.4701773	
458.4821	3191.149	1	0	2563.787	0.5299709	0.4700291	
478.4821	3189.163	1	0	2562.656	0.5301071	0.4698929	
489.395	3188.085	1	0	2562.067	0.5301788	0.4698212	
509.395	3186.225	1	0	2561.05	0.5303028	0.4696972	
525.1534	3184.848	1	0	2560.277	0.5303952	0.4696048	
536.4931	3183.857	1	0	2559.736	0.5304591	0.4695409	
556.4931	3182.272	1	0	2558.801	0.5305608	0.4694392	
570.8421	3181.131	1	0	2558.151	0.53063	0.46937	
590.8421	3179.582	1	0	2557.298	0.5307228	0.4692772	
610.8421	3178.102	1	0	2556.489	0.5308113	0.4691887	
630.8421	3176.696	1	0	2555.719	0.5308935	0.4691065	
650.8421	3175.355	1	0	2554.985	0.5309684	0.4690316	
670.8421	3174.069	1	0	2554.285	0.5310356	0.4689644	
690.8421	3172.862	1	0	2553.616	0.5310948	0.4689052	
710.8421	3171.717	1	0	2552.979	0.5311463	0.4688537	
730.8421	3170.617	1	0	2552.374	0.5311906	0.4688094	
750.8421	3169.539	1	0	2551.809	0.5312295	0.4687705	
770.8421	3168.453	1	0	2551.298	0.5312662	0.4687338	
790.8421	3167.43	1	0	2550.821	0.5312992	0.4687008	
810.8421	3166.417	1	0	2550.388	0.5313309	0.4686691	
830.8421	3165.46	1	0	2549.993	0.5313638	0.4686362	
850.8421	3164.541	1	0	2549.628	0.5313984	0.4686016	
870.8421	3163.656	1	0	2549.301	0.5314371	0.4685629	
890.8421	3162.861	1	0	2548.971	0.5314752	0.4685248	
910.8421	3162.058	1	0	2548.676	0.5315174	0.4684826	
930.8421	3161.331	1	0	2548.394	0.5315636	0.4684364	
950.8421	3160.662	1	0	2548.116	0.5316114	0.4683886	
970.8421	3159.993	1	0	2547.867	0.5316643	0.4683357	
980.8421	3159.67	1	0	2547.745	0.5316918	0.4683082	
982.8055	3159.607	1	0	2547.722	0.5316972	0.4683028	
983.085	3159.598	1	0	2547.718	0.531698	0.468302	
