KVALUES
Results of phase equilibrium constant Ki at temperature = 530

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	K[7]	K[8]	K[9]	
      66    13.79229    103.8611    47.57566    6.265807    1.825559   0.2834459   0.1132504  0.0006459107  8.3061e-008  
      67    13.59747    102.3644    46.86774    6.175783    1.799763   0.2796001   0.1117744  0.0006390575  8.251954e-008  
      68    13.40834     100.911    46.18055    6.088415    1.774731   0.2758686   0.1103422  0.0006324115  8.199777e-008  
      69    13.22466    99.49892    45.51321    6.003589    1.750431   0.2722465   0.1089518  0.0006259636  8.149482e-008  
      70    13.04619    98.12646    44.86486    5.921194    1.726831   0.2687289   0.1076015  0.0006197052  8.100987e-008  
      71    12.87272    96.79188    44.23469    5.841129    1.703901   0.2653116   0.1062895  0.0006136283  8.054212e-008  
      72    12.70402    95.49361    43.62195    5.763296    1.681613   0.2619903   0.1050144  0.0006077251  8.009086e-008  
      73     12.5399    94.23012    43.02592    5.687603    1.659942   0.2587612   0.1037745  0.0006019885  7.965538e-008  
      74    12.38018    93.00001    42.44593    5.613963    1.638862   0.2556204   0.1025684  0.0005964116  7.923504e-008  
      75    12.22467    91.80192    41.88134    5.542295    1.618349   0.2525644   0.1013948  0.0005909881  7.882922e-008  
      76    12.07321    90.63459    41.33153    5.472519    1.598381     0.24959   0.1002524  0.0005857118  7.843736e-008  
      77    11.92566    89.49699    40.79591     5.40456    1.578935   0.2466935  0.09913991  0.0005805768  7.805891e-008  
      78    11.78184    88.38763    40.27398    5.338352    1.559995   0.2438726   0.0980563  0.000575578  7.769332e-008  
      79     11.6416    87.30559    39.76519    5.273828    1.541539   0.2411242  0.09700041  0.00057071  7.734013e-008  
      80    11.50483    86.24985    39.26907    5.210923     1.52355   0.2384455  0.09597121  0.0005659679  7.699888e-008  
      81     11.3714    85.21945    38.78513    5.149577    1.506009   0.2358339   0.0949677  0.0005613471  7.666912e-008  
      82    11.24117    84.21344    38.31293    5.089733    1.488902    0.233287  0.09398893  0.0005568432  7.635045e-008  
      83    11.11403    83.23095    37.85205    5.031337    1.472211   0.2308024  0.09303403  0.0005524518  7.604248e-008  
      84    10.98988    82.27115    37.40209    4.974336    1.455922   0.2283779  0.09210212  0.000548169  7.574483e-008  
      85     10.8686    81.33323    36.96266    4.918682    1.440021   0.2260113   0.0911924  0.000543991  7.545715e-008  
      86     10.7501    80.41643     36.5334    4.864328    1.424494   0.2237007   0.0903041  0.0005399141  7.517911e-008  
      87    10.63428    79.52004    36.11395    4.811228    1.409328   0.2214442  0.08943647  0.000535935  7.49104e-008  
      88    10.52104    78.64336    35.70398    4.759339    1.394512   0.2192397  0.08858882  0.0005320502  7.46507e-008  
      89    10.41031    77.78573    35.30318    4.708621    1.380032   0.2170857  0.08776045  0.0005282567  7.439974e-008  
      90      10.302    76.94652    34.91124    4.659035    1.365878   0.2149803  0.08695074  0.0005245514  7.415724e-008  
      91    10.19602    76.12514    34.52787    4.610543    1.352039   0.2129221  0.08615907  0.0005209315  7.392294e-008  
      92    10.09231      75.321    34.15279    4.563109    1.338505   0.2109094  0.08538484  0.0005173942  7.36966e-008  
