KVALUES
Results of phase equilibrium constant Ki at temperature = 530

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	K[7]	K[8]	K[9]	
     415    2.583789    16.31638    7.559874    1.230457   0.4049278  0.07588952  0.03435246  0.0003756485  1.473222e-007  
     416    2.578552    16.27452    7.541853    1.228257   0.4043563  0.07582267  0.03433285  0.0003760859  1.479353e-007  
     417    2.573341    16.23287     7.52392    1.226068    0.403788  0.07575633  0.03431346  0.0003765261  1.485517e-007  
     418    2.568154    16.19141    7.506074     1.22389   0.4032229  0.07569049  0.03429428  0.0003769689  1.491716e-007  
     419    2.562993    16.15015    7.488314    1.221723   0.4026609  0.07562515   0.0342753  0.0003774144  1.497948e-007  
     420    2.557856    16.10908    7.470639    1.219567   0.4021021  0.07556031  0.03425654  0.0003778626  1.504215e-007  
     421    2.552743     16.0682     7.45305    1.217422   0.4015463  0.07549596  0.03423798  0.0003783134  1.510517e-007  
     422    2.547656    16.02752    7.435545    1.215288   0.4009937   0.0754321  0.03421963  0.0003787669  1.516853e-007  
     423    2.542592    15.98703    7.418123    1.213164   0.4004441  0.07536874  0.03420148  0.000379223  1.523224e-007  
     424    2.537552    15.94673    7.400785    1.211051   0.3998975  0.07530585  0.03418354  0.0003796819  1.52963e-007  
     425    2.532537    15.90662    7.383529    1.208948   0.3993539  0.07524345  0.03416579  0.0003801434  1.536072e-007  
     426    2.527545    15.86669    7.366356    1.206855   0.3988134  0.07518153  0.03414825  0.0003806075  1.542549e-007  
     427    2.522576    15.82695    7.349264    1.204773   0.3982758  0.07512008  0.03413091  0.0003810743  1.549061e-007  
     428    2.517631    15.78739    7.332252    1.202702   0.3977412  0.07505911  0.03411377  0.0003815438  1.555609e-007  
     429     2.51271    15.74802    7.315321     1.20064   0.3972095   0.0749986  0.03409682  0.0003820159  1.562194e-007  
     430    2.507811    15.70882     7.29847    1.198589   0.3966807  0.07493857  0.03408007  0.0003824907  1.568814e-007  
     431    2.502935    15.66981    7.281698    1.196547   0.3961549  0.07487899  0.03406351  0.0003829681  1.575471e-007  
     432    2.498082    15.63098    7.265004    1.194516   0.3956319  0.07481988  0.03404715  0.0003834482  1.582164e-007  
     433    2.493252    15.59232    7.248389    1.192494   0.3951117  0.07476122  0.03403099  0.000383931  1.588894e-007  
     434    2.488444    15.55384    7.231851    1.190483   0.3945944  0.07470302  0.03401501  0.0003844164  1.595661e-007  
     435    2.483658    15.51554     7.21539    1.188481   0.3940799  0.07464528  0.03399923  0.0003849045  1.602465e-007  
     436    2.478895    15.47741    7.199005    1.186489   0.3935683  0.07458798  0.03398363  0.0003853952  1.609306e-007  
     437    2.474153    15.43945    7.182696    1.184506   0.3930594  0.07453113  0.03396822  0.0003858886  1.616185e-007  
     438    2.469434    15.40167    7.166463    1.182534   0.3925532  0.07447472    0.033953  0.0003863846  1.623102e-007  
     439    2.464736    15.36406    7.150305     1.18057   0.3920498  0.07441875  0.03393797  0.0003868833  1.630057e-007  
     440    2.460059    15.32661    7.134221    1.178616   0.3915492  0.07436323  0.03392313  0.0003873846  1.637049e-007  
     441    2.455404    15.28934     7.11821    1.176672   0.3910512  0.07430814  0.03390846  0.0003878886  1.64408e-007  
     442    2.450771    15.25223    7.102273    1.174737   0.3905559  0.07425348  0.03389398  0.0003883953  1.65115e-007  
     443    2.446158    15.21529    7.086409    1.172811   0.3900633  0.07419925  0.03387969  0.0003889046  1.658258e-007  
     444    2.441567    15.17851    7.070618    1.170894   0.3895734  0.07414545  0.03386557  0.0003894166  1.665405e-007  
     445    2.436996     15.1419    7.054898    1.168987   0.3890861  0.07409208  0.03385164  0.0003899312  1.672591e-007  
     446    2.432446    15.10545     7.03925    1.167088   0.3886014  0.07403913  0.03383788  0.0003904485  1.679817e-007  
     447    2.427916    15.06916    7.023672    1.165199   0.3881194   0.0739866  0.03382431  0.0003909684  1.687082e-007  
     448    2.423407    15.03303    7.008165    1.163319   0.3876399  0.07393449  0.03381091  0.000391491  1.694387e-007  
     449    2.418918    14.99707    6.992728    1.161447   0.3871629   0.0738828  0.03379769  0.0003920163  1.701732e-007  
     450     2.41445    14.96126     6.97736    1.159584   0.3866886  0.07383151  0.03378464  0.0003925442  1.709117e-007  
     451    2.410001     14.9256    6.962062     1.15773   0.3862167  0.07378064  0.03377177  0.0003930748  1.716542e-007  
     452    2.405573    14.89011    6.946831    1.155885   0.3857474  0.07373018  0.03375907  0.000393608  1.724008e-007  
     453    2.401164    14.85477    6.931669    1.154049   0.3852806  0.07368012  0.03374655  0.0003941439  1.731515e-007  
     454    2.396774    14.81958    6.916575    1.152221   0.3848163  0.07363047  0.03373419  0.0003946825  1.739063e-007  
     455    2.392405    14.78455    6.901548    1.150402   0.3843545  0.07358122  0.03372201  0.0003952237  1.746652e-007  
     456    2.388054    14.74967    6.886588    1.148591   0.3838951  0.07353237     0.03371  0.0003957676  1.754283e-007  
     457    2.383723    14.71495    6.871693    1.146788   0.3834381  0.07348391  0.03369816  0.0003963141  1.761955e-007  
     458    2.379411    14.68037    6.856865    1.144994   0.3829836  0.07343585  0.03368649  0.0003968634  1.76967e-007  
     459    2.375118    14.64594    6.842102    1.143209   0.3825315  0.07338818  0.03367498  0.0003974153  1.777426e-007  
     460    2.370844    14.61166    6.827405    1.141432   0.3820818   0.0733409  0.03366364  0.0003979698  1.785225e-007  
     461    2.366589    14.57753    6.812771    1.139662   0.3816345  0.07329401  0.03365247  0.000398527  1.793066e-007  
     462    2.362352    14.54354    6.798202    1.137901   0.3811895   0.0732475  0.03364146  0.0003990869  1.800951e-007  
     463    2.358134     14.5097    6.783697    1.136149   0.3807469  0.07320138  0.03363062  0.0003996495  1.808878e-007  
     464    2.353934    14.47601    6.769255    1.134404   0.3803066  0.07315564  0.03361994  0.0004002148  1.816848e-007  
     465    2.349753    14.44246    6.754876    1.132667   0.3798686  0.07311028  0.03360942  0.0004007827  1.824863e-007  
     466    2.345589    14.40905    6.740559    1.130938    0.379433  0.07306529  0.03359907  0.0004013533  1.832921e-007  
     467    2.341444    14.37578    6.726305    1.129218   0.3789996  0.07302068  0.03358888  0.0004019266  1.841022e-007  
     468    2.337317    14.34266    6.712112    1.127505   0.3785685  0.07297644  0.03357884  0.0004025026  1.849169e-007  
     469    2.333207    14.30967    6.697981      1.1258   0.3781397  0.07293257  0.03356897  0.0004030812  1.857359e-007  
     470    2.329116    14.27683     6.68391    1.124102   0.3777132  0.07288908  0.03355925  0.0004036626  1.865595e-007  
     471    2.325042    14.24412      6.6699    1.122413   0.3772888  0.07284594   0.0335497  0.0004042466  1.873875e-007  
     472    2.320985    14.21155     6.65595    1.120731   0.3768667  0.07280318   0.0335403  0.0004048333  1.8822e-007  
     473    2.316946    14.17912     6.64206    1.119056   0.3764468  0.07276077  0.03353105  0.0004054227  1.890571e-007  
     474    2.312924    14.14682    6.628229     1.11739   0.3760291  0.07271873  0.03352197  0.0004060148  1.898988e-007  
     475    2.308919    14.11466    6.614457     1.11573   0.3756136  0.07267704  0.03351303  0.0004066096  1.90745e-007  
     476    2.304931    14.08263    6.600744    1.114079   0.3752002  0.07263572  0.03350426  0.0004072071  1.915959e-007  
     477     2.30096    14.05073    6.587089    1.112434    0.374789  0.07259474  0.03349563  0.0004078073  1.924514e-007  
     478    2.297006    14.01897    6.573492    1.110797     0.37438  0.07255412  0.03348716  0.0004084102  1.933116e-007  
     479    2.293069    13.98734    6.559953    1.109168   0.3739731  0.07251385  0.03347884  0.0004090158  1.941765e-007  
     480    2.289148    13.95584     6.54647    1.107545   0.3735683  0.07247393  0.03347067  0.0004096241  1.950461e-007  
     481    2.285244    13.92447    6.533045     1.10593   0.3731655  0.07243436  0.03346265  0.0004102351  1.959204e-007  
     482    2.281357    13.89323    6.519676    1.104323   0.3727649  0.07239513  0.03345478  0.0004108488  1.967995e-007  
     483    2.277485    13.86212    6.506363    1.102722   0.3723664  0.07235625  0.03344707  0.0004114652  1.976835e-007  
     484     2.27363    13.83113    6.493105    1.101128   0.3719699  0.07231771   0.0334395  0.0004120844  1.985722e-007  
     485    2.269791    13.80027    6.479903    1.099542   0.3715755  0.07227951  0.03343207  0.0004127063  1.994658e-007  
     486    2.265969    13.76954    6.466756    1.097963   0.3711832  0.07224164   0.0334248  0.0004133309  2.003642e-007  
     487    2.262162    13.73893    6.453664     1.09639   0.3707928  0.07220412  0.03341767  0.0004139582  2.012676e-007  
     488     2.25837    13.70844     6.44062    1.094824   0.3704044  0.07216692  0.03341069  0.0004145881  2.021758e-007  
     489    2.254594    13.67808    6.427636    1.093266   0.3700181  0.07213006  0.03340385  0.0004152209  2.03089e-007  
     490    2.250835    13.64784    6.414706    1.091714   0.3696337  0.07209354  0.03339716  0.0004158564  2.040072e-007  
     491     2.24709    13.61773    6.401829    1.090169   0.3692514  0.07205734  0.03339061  0.0004164946  2.049305e-007  
     492    2.243362    13.58774    6.389005    1.088631   0.3688711  0.07202147   0.0333842  0.0004171356  2.058587e-007  
     493    2.239648    13.55787    6.376234      1.0871   0.3684927  0.07198593  0.03337794  0.0004177794  2.067921e-007  
     494     2.23595    13.52812    6.363516    1.085575   0.3681162  0.07195071  0.03337182  0.0004184258  2.077305e-007  
     495    2.232268    13.49848    6.350849    1.084057   0.3677417  0.07191581  0.03336584  0.0004190751  2.086741e-007  
     496      2.2286    13.46897    6.338234    1.082546   0.3673691  0.07188124     0.03336  0.000419727  2.096228e-007  
     497    2.224947    13.43957    6.325671    1.081041   0.3669984  0.07184698   0.0333543  0.0004203818  2.105767e-007  
     498    2.221309     13.4103    6.313158    1.079543   0.3666297  0.07181305  0.03334874  0.0004210393  2.115357e-007  
     499    2.217686    13.38113    6.300697    1.078051   0.3662628  0.07177943  0.03334332  0.0004216995  2.125001e-007  
     500    2.214078    13.35209    6.288286    1.076565   0.3658978  0.07174612  0.03333804  0.0004223625  2.134697e-007  
     501    2.210484    13.32316    6.275925    1.075087   0.3655347  0.07171313   0.0333329  0.0004230283  2.144445e-007  
     502    2.206905    13.29434    6.263614    1.073614   0.3651734  0.07168045  0.03332789  0.0004236969  2.154247e-007  
     503    2.203341    13.26564    6.251353    1.072148    0.364814  0.07164808  0.03332302  0.0004243682  2.164103e-007  
     504     2.19979    13.23705    6.239141    1.070688   0.3644565  0.07161602  0.03331829  0.0004250423  2.174012e-007  
     505    2.196255    13.20857    6.226978    1.069235   0.3641007  0.07158427  0.03331369  0.0004257192  2.183975e-007  
     506    2.192733     13.1802    6.214864    1.067787   0.3637468  0.07155282  0.03330923  0.0004263989  2.193993e-007  
     507    2.189225    13.15195    6.202798    1.066346   0.3633947  0.07152168   0.0333049  0.0004270813  2.204065e-007  
     508    2.185732     13.1238     6.19078    1.064911   0.3630444  0.07149084  0.03330071  0.0004277666  2.214193e-007  
     509    2.182252    13.09577    6.178811    1.063483   0.3626959   0.0714603  0.03329665  0.0004284547  2.224376e-007  
     510    2.178787    13.06784    6.166888     1.06206   0.3623491  0.07143006  0.03329272  0.0004291455  2.234614e-007  
     511    2.175335    13.04003    6.155013    1.060643   0.3620042  0.07140012  0.03328892  0.0004298392  2.244908e-007  
     512    2.171897    13.01232    6.143185    1.059233   0.3616609  0.07137048  0.03328526  0.0004305357  2.255259e-007  
     513    2.168473    12.98471    6.131404    1.057828   0.3613195  0.07134113  0.03328172  0.000431235  2.265666e-007  
     514    2.165062    12.95722    6.119669    1.056429   0.3609798  0.07131208  0.03327832  0.0004319371  2.276129e-007  
     515    2.161665    12.92983    6.107981    1.055037   0.3606418  0.07128332  0.03327505  0.000432642  2.28665e-007  
     516    2.158281    12.90255    6.096338     1.05365   0.3603055  0.07125485  0.03327191  0.0004333498  2.297229e-007  
     517     2.15491    12.87537    6.084741    1.052269   0.3599709  0.07122667  0.03326889  0.0004340603  2.307865e-007  
     518    2.151553    12.84829     6.07319    1.050894   0.3596381  0.07119878  0.03326601  0.0004347738  2.318559e-007  
     519    2.148209    12.82132    6.061683    1.049524   0.3593069  0.07117118  0.03326325  0.00043549  2.329312e-007  
     520    2.144878    12.79445    6.050221     1.04816   0.3589774  0.07114386  0.03326062  0.0004362091  2.340124e-007  
     521     2.14156    12.76768    6.038804    1.046803   0.3586496  0.07111683  0.03325812  0.0004369311  2.350994e-007  
     522    2.138255    12.74102    6.027432     1.04545   0.3583234  0.07109008  0.03325574  0.0004376559  2.361924e-007  
     523    2.134963    12.71446    6.016103    1.044104   0.3579989  0.07106362  0.03325349  0.0004383835  2.372914e-007  
     524    2.131684    12.68799    6.004818    1.042763   0.3576761  0.07103743  0.03325137  0.000439114  2.383964e-007  
     525    2.128416    12.66161    5.993568    1.041427   0.3573547  0.07101153  0.03324937  0.0004398474  2.395073e-007  
     526    2.125163    12.63536    5.982374    1.040097   0.3570352   0.0709859   0.0332475  0.0004405836  2.406244e-007  
     527    2.121921    12.60919    5.971217    1.038773   0.3567172  0.07096055  0.03324575  0.0004413227  2.417476e-007  
     528    2.118692    12.58312    5.960105    1.037454   0.3564009  0.07093548  0.03324412  0.0004420647  2.42877e-007  
     529    2.115477    12.55716    5.949039    1.036141   0.3560862  0.07091067  0.03324262  0.0004428096  2.440125e-007  
     530    2.112273    12.53129    5.938012    1.034833    0.355773  0.07088615  0.03324124  0.0004435574  2.451543e-007  
     531    2.109081    12.50551    5.927024     1.03353   0.3554614  0.07086189  0.03323998  0.0004443081  2.463022e-007  
     532    2.105902    12.47984    5.916084    1.032234   0.3551515  0.07083791  0.03323884  0.0004450616  2.474565e-007  
     533    2.102735    12.45426    5.905182    1.030942   0.3548431  0.07081419  0.03323783  0.0004458181  2.486171e-007  
     534     2.09958    12.42877    5.894322    1.029655   0.3545362  0.07079075  0.03323694  0.0004465775  2.49784e-007  
     535    2.096437    12.40337    5.883499    1.028374   0.3542308  0.07076757  0.03323617  0.0004473397  2.509573e-007  
     536    2.093306    12.37808    5.872725    1.027099   0.3539271  0.07074466  0.03323551  0.0004481049  2.52137e-007  
     537    2.090187    12.35287    5.861983    1.025828   0.3536248  0.07072201  0.03323498  0.0004488731  2.533232e-007  
     538     2.08708    12.32776    5.851288    1.024562   0.3533242  0.07069963  0.03323457  0.0004496441  2.545159e-007  
     539    2.083985    12.30274    5.840634    1.023302    0.353025   0.0706775  0.03323427  0.0004504181  2.557151e-007  
     540    2.080901    12.27782    5.830017    1.022047   0.3527274  0.07065564   0.0332341  0.000451195  2.569209e-007  
     541    2.077829    12.25298     5.81944    1.020797   0.3524312  0.07063404  0.03323404  0.0004519749  2.581332e-007  
     542    2.074769    12.22824    5.808902    1.019552   0.3521365   0.0706127   0.0332341  0.0004527577  2.593523e-007  
     543     2.07172    12.20358    5.798404    1.018312   0.3518433  0.07059162  0.03323428  0.0004535435  2.605779e-007  
     544    2.068682    12.17901    5.787942    1.017077   0.3515516   0.0705708  0.03323457  0.0004543322  2.618103e-007  
     545    2.065657    12.15454    5.777526    1.015848   0.3512615  0.07055023  0.03323498  0.0004551239  2.630495e-007  
     546    2.062642    12.13016    5.767144    1.014623   0.3509727  0.07052991  0.03323551  0.0004559185  2.642954e-007  
     547    2.059638    12.10585    5.756798    1.013403   0.3506853  0.07050986  0.03323615  0.0004567162  2.655482e-007  
     548    2.056647    12.08165    5.746497    1.012188   0.3503996  0.07049005  0.03323691  0.0004575168  2.668079e-007  
     549    2.053666    12.05753     5.73623    1.010978   0.3501151  0.07047049  0.03323778  0.0004583204  2.680744e-007  
     550    2.050696    12.03349    5.726002    1.009773   0.3498322  0.07045118  0.03323877  0.000459127  2.693479e-007  
     551    2.047737    12.00954     5.71581    1.008572   0.3495506  0.07043213  0.03323987  0.0004599366  2.706284e-007  
     552     2.04479    11.98568    5.705657    1.007377   0.3492705  0.07041332  0.03324108  0.0004607492  2.719159e-007  
     553    2.041853     11.9619     5.69554    1.006186   0.3489918  0.07039476  0.03324241  0.0004615648  2.732104e-007  
     554    2.038927    11.93821    5.685461       1.005   0.3487145  0.07037645  0.03324385  0.0004623834  2.745121e-007  
     555    2.036011     11.9146    5.675416    1.003819   0.3484386  0.07035838  0.03324541  0.000463205  2.758208e-007  
     556    2.033107    11.89108    5.665412    1.002643   0.3481641  0.07034056  0.03324707  0.0004640297  2.771368e-007  
     557    2.030213    11.86765    5.655443    1.001471    0.347891  0.07032298  0.03324885  0.0004648574  2.7846e-007  
     558     2.02733    11.84429    5.645509    1.000304   0.3476192  0.07030564  0.03325074  0.0004656881  2.797904e-007  
     559    2.024458    11.82102    5.635612   0.9991413   0.3473489  0.07028855  0.03325274  0.0004665219  2.811282e-007  
     560    2.021595    11.79782    5.625746    0.997983   0.3470798  0.07027169  0.03325486  0.0004673588  2.824733e-007  
     561    2.018744    11.77472    5.615924   0.9968301   0.3468122  0.07025508  0.03325708  0.0004681986  2.838258e-007  
     562    2.015903    11.75169    5.606135   0.9956815    0.346546   0.0702387  0.03325941  0.0004690416  2.851857e-007  
     563    2.013072    11.72875     5.59638   0.9945374    0.346281  0.07022256  0.03326185  0.0004698876  2.865531e-007  
     564    2.010251    11.70588    5.586657   0.9933976   0.3460173  0.07020666   0.0332644  0.0004707367  2.879279e-007  
     565    2.007441     11.6831    5.576974   0.9922626   0.3457551  0.07019099  0.03326706  0.0004715889  2.893104e-007  
     566    2.004641     11.6604    5.567324    0.991132   0.3454942  0.07017556  0.03326983  0.0004724441  2.907004e-007  
     567    2.001851    11.63777    5.557708   0.9900058   0.3452345  0.07016036  0.03327271  0.0004733025  2.920981e-007  
     568    1.999071    11.61522    5.548124   0.9888839   0.3449762   0.0701454   0.0332757  0.000474164  2.935035e-007  
     569    1.996302    11.59276    5.538578   0.9877667   0.3447192  0.07013066  0.03327879  0.0004750285  2.949166e-007  
     570    1.993542    11.57037    5.529065   0.9866538   0.3444635  0.07011616  0.03328199  0.0004758962  2.963374e-007  
     571    1.990792    11.54806    5.519586   0.9855452   0.3442091  0.07010189   0.0332853  0.000476767  2.977661e-007  
     572    1.988052    11.52583     5.51014    0.984441   0.3439559  0.07008785  0.03328872  0.0004776409  2.992026e-007  
     573    1.985322    11.50367    5.500725   0.9833409    0.343704  0.07007404  0.03329224  0.000478518  3.00647e-007  
     574    1.982602    11.48159    5.491346   0.9822453   0.3434535  0.07006045  0.03329587  0.0004793982  3.020994e-007  
     575    1.979891    11.45959       5.482    0.981154   0.3432042  0.07004709   0.0332996  0.0004802815  3.035597e-007  
     576     1.97719    11.43766    5.472687   0.9800669   0.3429561  0.07003396  0.03330344  0.000481168  3.050281e-007  
     577    1.974499    11.41581    5.463407    0.978984   0.3427093  0.07002105  0.03330739  0.0004820576  3.065046e-007  
     578    1.971817    11.39402    5.454154    0.977905   0.3424637  0.07000837  0.03331144  0.0004829504  3.079892e-007  
     579    1.969145    11.37232    5.444941   0.9768307   0.3422195  0.06999591  0.03331559  0.0004838464  3.094819e-007  
     580    1.966482     11.3507    5.435758   0.9757604   0.3419764  0.06998367  0.03331985  0.0004847456  3.109829e-007  
     581    1.963829    11.32914    5.426607   0.9746943   0.3417346  0.06997166  0.03332421  0.0004856479  3.124922e-007  
     582    1.961185    11.30766    5.417487   0.9736323    0.341494  0.06995986  0.03332868  0.0004865535  3.140098e-007  
     583     1.95855    11.28626      5.4084   0.9725743   0.3412546  0.06994829  0.03333325  0.0004874622  3.155357e-007  
     584    1.955925    11.26492    5.399343   0.9715205   0.3410164  0.06993693  0.03333793  0.0004883742  3.1707e-007  
     585    1.953309    11.24365    5.390315   0.9704704   0.3407794   0.0699258  0.03334271  0.0004892893  3.186128e-007  
     586    1.950702    11.22246    5.381323   0.9694248   0.3405437  0.06991488  0.03334758  0.0004902077  3.201641e-007  
     587    1.948104    11.20135     5.37236   0.9683831   0.3403091  0.06990418  0.03335257  0.0004911294  3.21724e-007  
     588    1.945516     11.1803    5.363429   0.9673453   0.3400758   0.0698937  0.03335765  0.0004920542  3.232924e-007  
     589    1.942936    11.15932    5.354528   0.9663116   0.3398436  0.06988343  0.03336284  0.0004929823  3.248695e-007  
     590    1.940366    11.13842    5.345658   0.9652818   0.3396126  0.06987337  0.03336812  0.0004939136  3.264553e-007  
     591    1.937804    11.11758    5.336818    0.964256   0.3393828  0.06986353  0.03337351  0.0004948482  3.280499e-007  
     592    1.935252    11.09682    5.328008   0.9632341   0.3391541   0.0698539    0.033379  0.0004957861  3.296532e-007  
     593    1.932708    11.07612    5.319229   0.9622161   0.3389267  0.06984449  0.03338459  0.0004967272  3.312654e-007  
     594    1.930173    11.05549    5.310476   0.9612017   0.3387003  0.06983528  0.03339029  0.0004976717  3.328865e-007  
     595    1.927647    11.03493    5.301757   0.9601914   0.3384751  0.06982629  0.03339608  0.0004986194  3.345165e-007  
     596    1.925129    11.01444    5.293067    0.959185   0.3382511  0.06981751  0.03340197  0.0004995704  3.361555e-007  
     597    1.922621    10.99402    5.284407   0.9581824   0.3380282  0.06980893  0.03340796  0.0005005247  3.378036e-007  
     598    1.920121    10.97366    5.275776   0.9571836   0.3378065  0.06980057  0.03341405  0.0005014823  3.394608e-007  
     599    1.917629    10.95338    5.267174   0.9561886   0.3375859  0.06979241  0.03342024  0.0005024432  3.411272e-007  
     600    1.915146    10.93316    5.258601   0.9551974   0.3373664  0.06978446  0.03342653  0.0005034075  3.428027e-007  
     601    1.912672    10.91301    5.250057   0.9542099    0.337148  0.06977672  0.03343292  0.000504375  3.444875e-007  
     602    1.910206    10.89292    5.241542   0.9532262   0.3369308  0.06976918  0.03343941  0.000505346  3.461816e-007  
     603    1.907749     10.8729    5.233056   0.9522461   0.3367147  0.06976185  0.03344599  0.0005063202  3.478851e-007  
     604      1.9053    10.85295    5.224598   0.9512698   0.3364997  0.06975472  0.03345267  0.0005072979  3.49598e-007  
     605    1.902859    10.83305    5.216164   0.9502968   0.3362856   0.0697478  0.03345946  0.0005082789  3.513204e-007  
     606    1.900427    10.81323    5.207763   0.9493279   0.3360728  0.06974108  0.03346633  0.0005092632  3.530523e-007  
     607    1.898003    10.79347     5.19939   0.9483625   0.3358611  0.06973456  0.03347331  0.000510251  3.547938e-007  
     608    1.895587    10.77377    5.191045   0.9474008   0.3356505  0.06972824  0.03348038  0.0005112421  3.565449e-007  
     609     1.89318    10.75414    5.182727   0.9464427   0.3354409  0.06972213  0.03348755  0.0005122366  3.583057e-007  
     610     1.89078    10.73458    5.174437   0.9454882   0.3352324  0.06971621  0.03349482  0.0005132345  3.600762e-007  
     611    1.888389    10.71507    5.166174   0.9445372    0.335025   0.0697105  0.03350218  0.0005142359  3.618566e-007  
     612    1.886006    10.69563    5.157939   0.9435898   0.3348187  0.06970498  0.03350964  0.0005152406  3.636468e-007  
     613    1.883631    10.67626    5.149731    0.942646   0.3346134  0.06969966  0.03351719  0.0005162488  3.654469e-007  
     614    1.881264    10.65694     5.14155   0.9417056   0.3344092  0.06969454  0.03352484  0.0005172605  3.67257e-007  
     615    1.878905    10.63769    5.133397   0.9407688    0.334206  0.06968962  0.03353259  0.0005182755  3.690772e-007  
     616    1.876553     10.6185     5.12527   0.9398355   0.3340039  0.06968489  0.03354043  0.000519294  3.709074e-007  
     617     1.87421    10.59937    5.117169   0.9389056   0.3338029  0.06968036  0.03354837  0.000520316  3.727477e-007  
     618    1.871875    10.58031    5.109096   0.9379792   0.3336028  0.06967603   0.0335564  0.0005213415  3.745983e-007  
     619    1.869547     10.5613    5.101049   0.9370563   0.3334039  0.06967189  0.03356452  0.0005223704  3.764591e-007  
     620    1.867226    10.54235    5.093023   0.9361363   0.3332058  0.06966794  0.03357275  0.0005234028  3.783302e-007  
     621    1.864914    10.52346    5.085028   0.9352202   0.3330089  0.06966419  0.03358106  0.0005244387  3.802117e-007  
     622     1.86261    10.50464     5.07706   0.9343075    0.332813  0.06966063  0.03358947  0.0005254782  3.821037e-007  
     623    1.860313    10.48588    5.069117   0.9333981   0.3326181  0.06965726  0.03359797  0.0005265211  3.840061e-007  
     624    1.858024    10.46717      5.0612   0.9324921   0.3324242  0.06965409  0.03360657  0.0005275675  3.859191e-007  
     625    1.855743    10.44853    5.053309   0.9315895   0.3322313   0.0696511  0.03361526  0.0005286175  3.878427e-007  
     626    1.853469    10.42994    5.045443   0.9306901   0.3320395  0.06964831  0.03362404  0.000529671  3.89777e-007  
     627    1.851202    10.41142    5.037603   0.9297941   0.3318486   0.0696457  0.03363291  0.0005307281  3.917221e-007  
     628    1.848943    10.39295    5.029788   0.9289014   0.3316587  0.06964328  0.03364188  0.0005317887  3.936779e-007  
     629    1.846692    10.37454    5.021998   0.9280119   0.3314699  0.06964106  0.03365094  0.0005328529  3.956446e-007  
     630    1.844448    10.35618    5.014233   0.9271258    0.331282  0.06963902   0.0336601  0.0005339207  3.976223e-007  
     631    1.842211    10.33789    5.006494   0.9262428   0.3310951  0.06963717  0.03366934  0.000534992  3.996109e-007  
     632    1.839982    10.31965    4.998779   0.9253631   0.3309092   0.0696355  0.03367868  0.0005360669  4.016106e-007  
     633     1.83776    10.30147    4.991088   0.9244867   0.3307242  0.06963402  0.03368811  0.0005371455  4.036214e-007  
     634    1.835545    10.28335    4.983423   0.9236134   0.3305402  0.06963273  0.03369764  0.0005382276  4.056433e-007  
     635    1.833337    10.26528    4.975782   0.9227434   0.3303572  0.06963162  0.03370725  0.0005393134  4.076766e-007  
     636    1.831137    10.24727    4.968165   0.9218765   0.3301752   0.0696307  0.03371695  0.0005404028  4.097211e-007  
     637    1.828944    10.22932    4.960572   0.9210128   0.3299941  0.06962996  0.03372675  0.0005414958  4.11777e-007  
     638    1.826758    10.21142    4.953004   0.9201522    0.329814  0.06962941  0.03373664  0.0005425925  4.138443e-007  
     639    1.824579    10.19358     4.94546   0.9192947   0.3296348  0.06962904  0.03374661  0.0005436928  4.159232e-007  
     640    1.822407    10.17579    4.937939   0.9184404   0.3294566  0.06962885  0.03375668  0.0005447968  4.180136e-007  
     641    1.820243    10.15806    4.930442   0.9175892   0.3292793  0.06962885  0.03376684  0.0005459044  4.201156e-007  
     642    1.818085    10.14038    4.922969   0.9167411   0.3291029  0.06962902  0.03377709  0.0005470158  4.222294e-007  
     643    1.815934    10.12276    4.915519    0.915896   0.3289275  0.06962938  0.03378743  0.0005481308  4.243549e-007  
     644     1.81379    10.10519    4.908093    0.915054    0.328753  0.06962991  0.03379786  0.0005492496  4.264923e-007  
     645    1.811654    10.08767     4.90069   0.9142151   0.3285794  0.06963063  0.03380838  0.000550372  4.286416e-007  
     646    1.809524    10.07021    4.893311   0.9133792   0.3284068  0.06963153  0.03381899  0.0005514982  4.308029e-007  
     647      1.8074    10.05281    4.885954   0.9125463   0.3282351  0.06963261  0.03382969  0.0005526281  4.329762e-007  
     648    1.805283    10.03544    4.878616    0.911716   0.3280642  0.06963386  0.03384048  0.0005537618  4.351615e-007  
     649    1.803174    10.01814    4.871306   0.9108891   0.3278943   0.0696353  0.03385136  0.0005548992  4.373591e-007  
     650    1.801071    10.00089    4.864018   0.9100653   0.3277253  0.06963691  0.03386233  0.0005560404  4.39569e-007  
     651    1.798975    9.983696    4.856753   0.9092443   0.3275572  0.06963869  0.03387338  0.0005571853  4.417912e-007  
     652    1.796886    9.966553    4.849511   0.9084264   0.3273901  0.06964066  0.03388452  0.000558334  4.440258e-007  
     653    1.794803    9.949461    4.842291   0.9076113   0.3272238   0.0696428  0.03389576  0.0005594865  4.462729e-007  
     654    1.792727    9.932422    4.835094   0.9067992   0.3270584  0.06964511  0.03390708  0.0005606428  4.485325e-007  
     655    1.790658    9.915434    4.827918   0.9059901   0.3268939   0.0696476  0.03391849  0.0005618029  4.508047e-007  
     656    1.788595    9.898497    4.820765   0.9051838   0.3267303  0.06965027  0.03392998  0.0005629669  4.530896e-007  
     657    1.786539    9.881612    4.813634   0.9043804   0.3265676  0.06965311  0.03394157  0.0005641346  4.553873e-007  
