KVALUES
Results of phase equilibrium constant Ki at temperature = 563.4

P(psia)  K[1]	K[2]	
    2040    41.50536    0.032023  
    2050    41.46726  0.03218127  
    2060    41.42938  0.03233859  
    2070    41.39171  0.03249499  
    2080    41.35424  0.03265046  
    2090    41.31699  0.03280504  
    2100    41.27994  0.03295874  
    2110    41.24309  0.03311157  
    2120    41.20643  0.03326354  
    2130    41.16998  0.03341468  
    2140    41.13371  0.03356499  
    2150    41.09764  0.03371449  
    2160    41.06175  0.03386319  
    2170    41.02605  0.03401111  
    2180    40.99053  0.03415825  
    2190    40.95519  0.03430463  
    2200    40.92007  0.03445023  
    2210    40.88509  0.03459512  
    2220    40.85028  0.03473929  
    2230    40.81564  0.03488274  
    2240    40.78116  0.03502548  
    2250    40.74686  0.03516753  
    2260    40.71272   0.0353089  
    2270    40.67875  0.03544959  
    2280    40.64493  0.03558961  
    2290    40.61128  0.03572898  
    2300    40.57778   0.0358677  
    2310    40.54444  0.03600578  
    2320    40.51125  0.03614323  
    2330    40.47821  0.03628006  
    2340    40.44533  0.03641628  
    2350    40.41259  0.03655189  
    2360       40.38   0.0366869  
    2370    40.34755  0.03682133  
    2380    40.31525  0.03695517  
    2390    40.28309  0.03708844  
    2400    40.25108  0.03722114  
    2410     40.2192  0.03735328  
    2420    40.18746  0.03748487  
    2430    40.15585  0.03761591  
    2440    40.12438  0.03774641  
    2450    40.09305  0.03787637  
    2460    40.06184  0.03800581  
    2470    40.03077  0.03813473  
    2480    39.99983  0.03826313  
    2490    39.96901  0.03839103  
    2500    39.93832  0.03851842  
    2510    39.90776  0.03864531  
    2520    39.87732  0.03877171  
    2530    39.84701  0.03889762  
    2540    39.81682  0.03902306  
    2550    39.78674  0.03914801  
    2560    39.75679   0.0392725  
    2570    39.72696  0.03939652  
    2580    39.69724  0.03952008  
    2590    39.66765  0.03964318  
    2600    39.63816  0.03976584  
    2610    39.60879  0.03988804  
    2620    39.57954  0.04000981  
    2630    39.55039  0.04013114  
    2640    39.52136  0.04025203  
    2650    39.49244   0.0403725  
    2660    39.46363  0.04049254  
    2670    39.43492  0.04061217  
    2680    39.40633  0.04073137  
    2690    39.37784  0.04085017  
    2700    39.34945  0.04096856  
    2710    39.32117  0.04108654  
    2720      39.293  0.04120413  
    2730    39.26492  0.04132132  
    2740    39.23695  0.04143812  
    2750    39.20908  0.04155453  
    2760    39.18131  0.04167055  
    2770    39.15364  0.04178619  
    2780    39.12607  0.04190146  
    2790     39.0986  0.04201635  
    2800    39.07122  0.04213087  
    2810    39.04394  0.04224502  
    2820    39.01676  0.04235881  
    2830    38.98967  0.04247224  
    2840    38.96267  0.04258531  
    2850    38.93577  0.04269802  
    2860    38.90896  0.04281038  
    2870    38.88224   0.0429224  
    2880    38.85561  0.04303407  
    2890    38.82908  0.04314539  
    2900    38.80263  0.04325638  
    2910    38.77627  0.04336703  
    2920    38.75001  0.04347734  
    2930    38.72382  0.04358732  
    2940    38.69773  0.04369698  
    2950    38.67172  0.04380631  
    2960     38.6458  0.04391531  
    2970    38.61996    0.044024  
    2980    38.59421  0.04413236  
    2990    38.56854  0.04424042  
    3000    38.54296  0.04434815  
    3010    38.51746  0.04445558  
    3020    38.49204   0.0445627  
    3030     38.4667  0.04466951  
    3040    38.44144  0.04477602  
    3050    38.41626  0.04488223  
    3060    38.39117  0.04498814  
    3070    38.36615  0.04509376  
    3080    38.34121  0.04519908  
    3090    38.31635  0.04530411  
    3100    38.29156  0.04540884  
    3110    38.26686  0.04551329  
    3120    38.24223  0.04561746  
    3130    38.21767  0.04572134  
    3140    38.19319  0.04582494  
    3150    38.16879  0.04592826  
    3160    38.14446   0.0460313  
    3170    38.12021  0.04613407  
    3180    38.09603  0.04623657  
    3190    38.07192  0.04633879  
    3200    38.04788  0.04644074  
    3210    38.02392  0.04654243  
    3220    38.00003  0.04664385  
    3230    37.97621  0.04674501  
    3240    37.95246   0.0468459  
    3250    37.92878  0.04694654  
    3260    37.90517  0.04704691  
    3270    37.88162  0.04714703  
    3280    37.85815  0.04724689  
    3290    37.83475  0.04734651  
    3300    37.81141  0.04744587  
    3310    37.78815  0.04754497  
    3320    37.76495  0.04764384  
    3330    37.74181  0.04774245  
    3340    37.71875  0.04784082  
    3350    37.69574  0.04793895  
    3360    37.67281  0.04803683  
    3370    37.64994  0.04813448  
    3380    37.62713  0.04823188  
    3390    37.60439  0.04832905  
    3400    37.58171  0.04842598  
    3410     37.5591  0.04852268  
    3420    37.53655  0.04861915  
    3430    37.51406  0.04871538  
    3440    37.49164  0.04881139  
    3450    37.46927  0.04890716  
    3460    37.44697  0.04900271  
    3470    37.42473  0.04909804  
    3480    37.40255  0.04919313  
    3490    37.38043  0.04928801  
    3500    37.35838  0.04938267  
    3510    37.33638   0.0494771  
    3520    37.31444  0.04957132  
    3530    37.29256  0.04966532  
    3540    37.27074   0.0497591  
    3550    37.24898  0.04985267  
    3560    37.22728  0.04994602  
    3570    37.20563  0.05003916  
    3580    37.18404  0.05013209  
    3590    37.16251  0.05022481  
    3600    37.14104  0.05031733  
    3610    37.11962  0.05040963  
    3620    37.09826  0.05050173  
    3630    37.07696  0.05059362  
    3640    37.05571  0.05068531  
    3650    37.03452   0.0507768  
    3660    37.01338  0.05086808  
    3670    36.99229  0.05095916  
    3680    36.97127  0.05105005  
    3690    36.95029  0.05114073  
    3700    36.92937  0.05123122  
    3710     36.9085  0.05132151  
    3720    36.88769  0.05141161  
    3730    36.86693  0.05150151  
    3740    36.84622  0.05159122  
    3750    36.82557  0.05168074  
    3760    36.80497  0.05177007  
    3770    36.78442  0.05185921  
    3780    36.76392  0.05194816  
    3790    36.74347  0.05203692  
    3800    36.72307  0.05212549  
    3810    36.70273  0.05221388  
    3820    36.68243  0.05230208  
    3830    36.66219   0.0523901  
    3840      36.642  0.05247794  
    3850    36.62185  0.05256559  
    3860    36.60176  0.05265306  
    3870    36.58171  0.05274036  
    3880    36.56172  0.05282747  
    3890    36.54177  0.05291441  
    3900    36.52187  0.05300116  
    3910    36.50202  0.05308775  
    3920    36.48222  0.05317415  
    3930     36.4625  0.05326034  
    3940    36.44279   0.0533464  
    3950    36.42314  0.05343228  
    3960    36.40352  0.05351799  
    3970    36.38396  0.05360353  
    3980    36.36444   0.0536889  
    3990    36.34497   0.0537741  
    4000    36.32555  0.05385913  
    4010    36.30617    0.053944  
    4020    36.28684  0.05402869  
    4030    36.26755  0.05411322  
    4040    36.24831  0.05419759  
    4050    36.22911  0.05428179  
    4060    36.20996  0.05436583  
    4070    36.19085   0.0544497  
    4080    36.17179  0.05453341  
    4090    36.15277  0.05461696  
    4100     36.1338  0.05470035  
    4110    36.11487  0.05478357  
    4120    36.09598  0.05486664  
    4130    36.07714  0.05494955  
    4140    36.05834  0.05503231  
    4150    36.03959   0.0551149  
    4160    36.02087  0.05519734  
    4170     36.0022  0.05527962  
    4180    35.98357  0.05536175  
    4190    35.96499  0.05544372  
    4200    35.94645  0.05552554  
    4210    35.92794  0.05560721  
    4220    35.90948  0.05568873  
    4230    35.89107  0.05577009  
    4240    35.87269   0.0558513  
    4250    35.85436  0.05593236  
    4260    35.83606  0.05601328  
    4270    35.81781  0.05609404  
    4280    35.79959  0.05617466  
    4290    35.78142  0.05625512  
    4300    35.76329  0.05633545  
    4310     35.7452  0.05641562  
    4320    35.72715  0.05649565  
    4330    35.70913  0.05657554  
    4340    35.69116  0.05665528  
    4350    35.67323  0.05673487  
    4360    35.65534  0.05681433  
    4370    35.63748  0.05689364  
    4380    35.61966  0.05697281  
    4390    35.60189  0.05705183  
    4400    35.58415  0.05713072  
    4410    35.56645  0.05720947  
    4420    35.54879  0.05728808  
    4430    35.53116  0.05736655  
    4440    35.51358  0.05744488  
    4450    35.49603  0.05752307  
    4460    35.47852  0.05760112  
    4470    35.46105  0.05767904  
    4480    35.44361  0.05775683  
    4490    35.42621  0.05783447  
    4500    35.40885  0.05791199  
    4510    35.39152  0.05798936  
    4520    35.37424  0.05806661  
    4530    35.35698  0.05814372  
    4540    35.33977   0.0582207  
    4550    35.32259  0.05829754  
    4560    35.30545  0.05837426  
    4570    35.28834  0.05845084  
