Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 32	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 33	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 34	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 35	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 36	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 37	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	


2.5e-005  	547.711   	99.67     	12.8112   	299.999   	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	547.711	99.67	2.89377	2.55751	0.336254	0	0.883801	0.116199	0		0.966159	0.0280082	0.00199583	0.0038368	0	0.147387	0.175852	0.225585	0.451177	0	
Seg 1	549.056	99.67	2.95634	2.71817	0.238173	0	0.852387	0.147613	0		0.966188	0.0279824	0.00199496	0.00383481	0	0.14773	0.175866	0.225465	0.450939	0	
Seg 2	550.443	99.67	3.0123	2.78249	0.229805	0	0.848355	0.151645	0		0.966218	0.0279554	0.00199409	0.0038328	0	0.148083	0.175877	0.225344	0.450697	0	
Seg 3	551.836	99.67	3.06962	2.83769	0.231932	0	0.849429	0.150571	0		0.966248	0.027928	0.00199323	0.00383082	0	0.148438	0.175885	0.225223	0.450455	0	
Seg 4	553.218	99.67	3.12841	2.89827	0.230136	0	0.85305	0.14695	0		0.966278	0.0279008	0.0019924	0.00382888	0	0.148789	0.175891	0.225103	0.450217	0	
Seg 5	554.56	99.67	3.18877	2.97154	0.217227	0	0.860626	0.139374	0		0.966306	0.0278749	0.00199159	0.00382702	0	0.149131	0.1759	0.224986	0.449983	0	
Seg 6	555.808	99.67	3.25083	3.06881	0.182028	0	0.875719	0.124281	0		0.966331	0.0278525	0.00199084	0.00382527	0	0.149449	0.175917	0.224874	0.449761	0	
Seg 7	556.852	99.67	3.31485	3.21155	0.103307	0	0.905445	0.0945546	0		0.966348	0.0278382	0.00199015	0.0038237	0	0.149715	0.175958	0.224771	0.449556	0	
Seg 8	557.824	99.67	0.0699836	0.233586	-0.163602	0	0.861289	0.138711	0		0.96638	0.0278077	0.00198976	0.00382272	0	0.14996	0.175889	0.224712	0.449438	0	
Seg 9	558.721	99.67	0.139743	0.343253	-0.203511	0	0.875687	0.124313	0		0.966411	0.0277782	0.00198942	0.00382186	0	0.150187	0.175817	0.224661	0.449336	0	
Seg 10	559.75	99.67	0.208312	0.493325	-0.285014	0	0.850714	0.149286	0		0.966446	0.0277438	0.00198905	0.0038209	0	0.150446	0.17573	0.224604	0.44922	0	
