Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
4508.65   1016.39     17688.723   830.2       0.000289425
4568.65   1016.39     16392.703   769.511     0.000274233
4628.65   1016.39     14869.998   695.805     0.000255128
4688.65   1016.39     13091.485   610.78      0.000231508
4718.65   1016.39     12037.316   561.104     0.000216838
4726.12   1016.39     11750.377   547.398     0.000212719
4746.19   1016.39     10910.103   508.338     0.000200544
4790.53   1016.39     9202.8011   444.039     0.000177326
4850.53   1016.39     6903.6888   357.771     0.000144059
4880.53   1016.39     5801.7956   315.637     0.000127038
4895.03   1016.39     5148.2229   298.362     0.000118476
4929.6    1016.39     3770.1609   313.08      0.000110676
4976.32   1016.39     1935.3173   427.211     0.000111236
5036.32   1016.39     298.7372    701.516     0.00014145
5096.32   1016.39     435.52858   1008.22     0.000166262
5156.32   1016.39     581.05406   1318.23     0.000187561
5216.32   1016.39     720.65102   1607.41     0.00020523
5276.32   1016.39     844.09241   1856.96     0.0002194 
5336.32   1016.39     958.1403    2082.78     0.000231567
5396.32   1016.39     1061.6452   2283.3      0.000242282
5456.32   1016.39     1147.4518   2443.01     0.00025234
5516.32   1016.39     1218.5694   2570.29     0.000261538
5576.32   1016.39     1282.4503   2681.19     0.000270158
5636.32   1016.39     1355.1605   2810.41     0.00027794
5696.32   1016.39     1429.0836   2941.97     0.000284968
5756.32   1016.39     1500.8835   3068.85     0.000291396
5816.32   1016.39     1569.5543   3188.85     0.000297375
5876.32   1016.39     1635.0662   3301.8      0.000303023
5936.32   1016.39     1697.7746   3408.37     0.000308425
5996.32   1016.39     1757.5617   3508.25     0.000313649
6056.32   1016.39     1815.5246   3603.67     0.000318721
6116.32   1016.39     1871.939    3695.18     0.000323669
6176.32   1016.39     1927.0674   3783.3      0.000328512
6236.32   1016.39     1981.1183   3868.43     0.000333266
6296.32   1016.39     2034.2413   3950.88     0.000337942
6356.32   1016.39     2086.5796   4030.92     0.000342548
6416.32   1016.39     2138.2452   4108.79     0.000347089
6476.32   1016.39     2189.3614   4184.72     0.000351573
6536.32   1016.39     2240.0306   4258.89     0.000356003
6596.32   1016.39     2290.2521   4331.36     0.000360376
6656.32   1016.39     2340.0448   4402.18     0.000364689
6716.32   1016.39     2389.5941   4471.65     0.000368956
6776.32   1016.39     2438.9591   4539.85     0.00037318
6836.32   1016.39     2488.1957   4606.9      0.000377363
6896.32   1016.39     2537.1187   4672.45     0.000381501
6956.32   1016.39     2585.6331   4736.38     0.000385591
7016.32   1016.39     2634.2975   4799.68     0.000389634
7076.32   1016.39     2683.0514   4862.28     0.000393625
7136.32   1016.39     2732.0624   4924.53     0.000397554
7196.32   1016.39     2782.0693   4987.88     0.000401403
7256.32   1016.39     2834.4191   5054.92     0.000405142
7316.32   1016.39     2892.2378   5131.28     0.000408756
7376.32   1016.39     2948.7877   5204.72     0.000412275
7436.32   1016.39     3004.1029   5275.34     0.000415701
7496.32   1016.39     3058.5911   5343.8      0.000419048
7556.32   1016.39     3112.8715   5411.07     0.000422333
7616.32   1016.39     3166.7813   5476.9      0.00042555
7676.32   1016.39     3220.7218   5541.9      0.00042871
7736.32   1016.39     3274.1711   5605.31     0.000431798
7796.32   1016.39     3328.0001   5668.43     0.000434835
7856.32   1016.39     3382.4825   5731.65     0.000437822
7916.32   1016.39     3438.3256   5796.01     0.000440773
7976.32   1016.39     3496.2308   5862.49     0.000443697
8036.32   1016.39     3555.992    5930.71     0.000446584
8096.32   1016.39     3613.8415   5995.08     0.00044937
8156.32   1016.39     3672.034    6058.9      0.000452094
8216.32   1016.39     3732.2495   6124.57     0.00045478
8276.32   1016.39     3794.1689   6191.57     0.000457416
8336.32   1016.39     3856.6191   6258.19     0.000459978
8396.32   1016.39     3918.4545   6322.79     0.000462446
8456.32   1016.39     3979.9824   6385.82     0.000464823
8516.32   1016.39     4040.5244   6446.35     0.000467096
8576.32   1016.39     4101.0116   6505.69     0.000469275
8636.32   1016.39     4161.0357   6563.3      0.000471351
8696.32   1016.39     4220.1248   6618.13     0.000473292
8756.32   1016.39     4278.3142   6670.17     0.000475094
8816.32   1016.39     4337.9283   6723.19     0.0004768 
8876.32   1016.39     4397.132    6774.72     0.000478391
8936.32   1016.39     4455.1969   6823.79     0.00047986
8996.32   1016.39     4511.9519   6870.23     0.000481203
9056.32   1016.39     4567.1786   6913.79     0.00048242
9116.32   1016.39     4618.3601   6951.24     0.000483498
9176.32   1016.39     4666.859    6984.47     0.000484447
9236.32   1016.39     4714.3524   7015.74     0.000485275
9296.32   1016.39     4760.6418   7044.83     0.000485979
9356.32   1016.39     4805.9842   7072.12     0.000486562
9416.32   1016.39     4850.5179   7097.82     0.00048702
9476.32   1016.39     4895.1384   7123.09     0.000487356
9536.32   1016.39     4940.1912   7148.38     0.000487566
9596.32   1016.39     4983.8232   7171.36     0.000487648
9656.32   1016.39     5028.1448   7194.71     0.0004876 
9716.32   1016.39     5073.6787   7219.07     0.000487417
9776.32   1016.39     5119.4762   7243.25     0.000487099
9836.32   1016.39     5164.6339   7266.13     0.000486642
9896.32   1016.39     5209.9469   7288.72     0.000486045
9956.32   1016.39     5256.4146   7312.23     0.0004853 
10016.3   1016.39     5303.2717   7335.72     0.000484407
10076.3   1016.39     5351.6997   7360.59     0.000483357
10136.3   1016.39     5401.8577   7387.01     0.000482143
10196.3   1016.39     5443.956    7402.86     0.000480803
10256.3   1016.39     5483.7844   7415.22     0.000479307
10316.3   1016.39     5526.8208   7430.61     0.000477615
10376.3   1016.39     5568.0201   7443.04     0.000475753
10436.3   1016.39     5608.9748   7454.42     0.000473703
10496.3   1016.39     5651.4935   7466.86     0.000471443
10556.3   1016.39     5688.927    7472.65     0.000469023
10616.3   1016.39     5728.8878   7480.68     0.000466374
10676.3   1016.39     5771.4372   7490.96     0.000463481
10706.3   1016.39     5793.3801   7496.63     0.000461946
10766.3   1016.39     5840.1108   7509.44     0.000458773
10826.3   1016.39     5891.9477   7526.51     0.000455432
10886.3   1016.39     5945.6456   7545.17     0.000451869
10946.3   1016.39     5999.7871   7563.82     0.000448095
11006.3   1016.39     6054.6658   7582.77     0.000444101
11066.3   1016.39     6110.1622   7601.88     0.000439886
11126.3   1016.39     6164.7592   7619.51     0.000435465
11186.3   1016.39     6216.8052   7633.91     0.000430861
11246.3   1016.39     6268.5294   7647.55     0.000426046
11306.3   1016.39     6320.972    7661.56     0.000421003
11366.3   1016.39     6374.0883   7675.91     0.000415729
11426.3   1016.39     6425.0782   7687.61     0.000410264
11486.3   1016.39     6474.3314   7697.14     0.000404605
11546.3   1016.39     6518.9547   7701.53     0.000398802
11606.3   1016.39     6547.6405   7689.15     0.000393057
11666.3   1016.39     6578.525    7679.18     0.000387092
11726.3   1016.39     6618.4228   7678.6      0.000380783
11786.3   1016.39     6667.9298   7687.8      0.000374096
11846.3   1016.39     6724.2006   7703.64     0.000367061
11906.3   1016.39     6787.4618   7726.17     0.000359653
11966.3   1016.39     6852.0275   7749.23     0.000351921
12026.3   1016.39     6918.4529   7763.28     0.000344612
12086.3   1016.39     7067.0839   7834.09     0.000337698
12146.3   1016.39     7193.5813   7909.45     0.000330361
12206.3   1016.39     7319.1664   7987.49     0.000322635
12266.3   1016.39     7440.0136   8068.34     0.000314517
12326.3   1016.39     7567.8572   8149.57     0.000306155
12386.3   1016.39     7694.8683   8233.44     0.000297374
12446.3   1016.39     7828.5553   8318.28     0.000288281
12506.3   1016.39     7960.2529   8403.08     0.000278992
12566.3   1016.39     8088.3141   8488.16     0.000269443
12626.3   1016.39     8226.6818   8573.99     0.000259566
12686.3   1016.39     8366.2092   8662.28     0.000249233
12701.3   1016.39     8398.9638   8684.93     0.000246571
12722.2   1016.39     8453.7449   8715.54     0.000242882
12736.3   1016.39     8495.5826   8735.42     0.000240433
12756.1   1016.39     8592.9854   8754.69     0.00023766
12767.2   1016.39     8664.6422   8761.32     0.000236443
