Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 5	312.745	99.67	12.6625	12.1375	0.524923	2.37181e-009	0.958545	0.041455	1.8731e-010		0.955564	0.0371703	0.00246191	0.00480356	0	0.0856231	0.17155	0.24762	0.495207	0	
Seg 6	315.267	99.67	12.5814	12.055	0.526417	2.50395e-009	0.958159	0.041841	1.9902e-010		0.955746	0.0370213	0.00245095	0.0047814	0	0.0863068	0.171773	0.247318	0.494602	0	
Seg 7	317.785	99.67	12.5069	11.9787	0.528124	2.64435e-009	0.957773	0.0422267	2.11432e-010		0.955926	0.0368744	0.00244023	0.00475972	0	0.0869888	0.171991	0.247018	0.494003	0	
Seg 8	320.3	99.67	12.4387	11.9086	0.530044	2.7935e-009	0.957387	0.0426126	2.24582e-010		0.956102	0.0367294	0.00242973	0.00473847	0	0.0876698	0.172204	0.24672	0.493407	0	
Seg 9	322.815	99.67	12.3766	11.8444	0.532179	2.95194e-009	0.957001	0.0429989	2.3851e-010		0.956277	0.0365862	0.00241944	0.00471764	0	0.0883503	0.172411	0.246423	0.492815	0	
Seg 10	326.208	99.67	12.2853	11.7506	0.534668	3.12019e-009	0.956479	0.0435209	2.53977e-010		0.956508	0.0363957	0.00240587	0.00469016	0	0.0892678	0.172684	0.246026	0.492022	0	
Seg 11	329.608	99.67	12.2238	11.6854	0.538395	3.37357e-009	0.955955	0.0440449	2.75984e-010		0.956736	0.0362078	0.00239263	0.00466333	0	0.0901865	0.172949	0.245631	0.491233	0	
Seg 12	333.02	99.67	12.1727	11.6301	0.542555	3.64891e-009	0.955428	0.0445715	2.99762e-010		0.956961	0.0360223	0.0023797	0.0046371	0	0.0911076	0.173207	0.245238	0.490447	0	
Seg 13	336.449	99.67	12.1316	11.5844	0.547154	3.94797e-009	0.954898	0.0451017	3.25429e-010		0.957183	0.0358389	0.00236704	0.00461141	0	0.0920324	0.173458	0.244846	0.489664	0	
Seg 14	339.899	99.67	12.1	11.5478	0.552194	4.27264e-009	0.954364	0.0456359	3.53111e-010		0.957402	0.0356573	0.00235463	0.00458624	0	0.0929621	0.173702	0.244454	0.488881	0	
Seg 15	343.375	99.67	12.0775	11.5199	0.557682	4.62492e-009	0.953825	0.0461751	3.82936e-010		0.957619	0.0354773	0.00234247	0.00456152	0	0.093898	0.17394	0.244063	0.488099	0	
Seg 16	346.881	99.67	12.0639	11.5002	0.563624	5.00696e-009	0.95328	0.04672	4.15038e-010		0.957834	0.0352987	0.00233052	0.00453724	0	0.0948413	0.174173	0.243671	0.487315	0	
Seg 17	350.422	99.67	12.0586	11.4886	0.570025	5.42103e-009	0.952729	0.0472712	4.49557e-010		0.958047	0.0351212	0.00231877	0.00451335	0	0.0957932	0.1744	0.243277	0.48653	0	
Seg 18	354.004	99.67	12.0614	11.4846	0.576894	5.86953e-009	0.95217	0.0478296	4.86636e-010		0.958258	0.0349446	0.00230721	0.00448982	0	0.0967549	0.174622	0.242882	0.485741	0	
Seg 19	357.629	99.67	12.0721	11.4878	0.584239	6.35502e-009	0.951604	0.0483959	5.26423e-010		0.958469	0.0347687	0.00229582	0.00446662	0	0.0977277	0.174839	0.242486	0.484948	0	
Seg 20	359.938	99.67	12.1388	11.547	0.591852	6.88024e-009	0.951243	0.048757	5.66796e-010		0.958601	0.0346582	0.00228873	0.00445218	0	0.0983466	0.174973	0.242234	0.484446	0	
Seg 21	362.272	99.67	12.1652	11.5676	0.597585	7.28009e-009	0.950877	0.0491225	5.98436e-010		0.958733	0.0345477	0.00228169	0.00443782	0	0.0989722	0.175106	0.241981	0.483941	0	
Seg 22	364.634	99.67	12.195	11.5914	0.603564	7.70227e-009	0.950507	0.0494928	6.31593e-010		0.958865	0.034437	0.00227469	0.00442354	0	0.0996047	0.175237	0.241727	0.483432	0	
Seg 23	367.026	99.67	12.2281	11.6183	0.609792	8.14784e-009	0.950132	0.049868	6.6632e-010		0.958997	0.0343262	0.00226773	0.00440933	0	0.100245	0.175366	0.24147	0.482919	0	


0.954605 0.0379521 0.0025208 0.00492254 0 0.0821617 0.170342 0.249178 0.498319 0 0.954804 0.0377902 0.00250841 0.00489753 0 0.0828616 0.170597 0.248859 0.497682 0 0.954999 0.0376313 0.00249635 0.00487317 0 0.0835571 0.170845 0.248544 0.497053 0 0.955191 0.0374751 0.00248459 0.00484941 0 0.0842488 0.171086 0.248233 0.496432 0 0.955379 0.0373215 0.00247311 0.00482622 0 0.0849373 0.171321 0.247925 0.495816 0 0.955564 0.0371703 0.00246191 0.00480356 0 0.0856231 0.17155 0.24762 0.495207 0 0.955746 0.0370213 0.00245095 0.0047814 0 0.0863068 0.171773 0.247318 0.494602 0 0.955926 0.0368744 0.00244023 0.00475972 0 0.0869888 0.171991 0.247018 0.494003 0 0.956102 0.0367294 0.00242973 0.00473847 0 0.0876698 0.172204 0.24672 0.493407 0 0.956277 0.0365862 0.00241944 0.00471764 0 0.0883503 0.172411 0.246423 0.492815 0 0.956508 0.0363957 0.00240587 0.00469016 0 0.0892678 0.172684 0.246026 0.492022 0 0.956736 0.0362078 0.00239263 0.00466333 0 0.0901865 0.172949 0.245631 0.491233 0 0.956961 0.0360223 0.0023797 0.0046371 0 0.0911076 0.173207 0.245238 0.490447 0 0.957183 0.0358389 0.00236704 0.00461141 0 0.0920324 0.173458 0.244846 0.489664 0 0.957402 0.0356573 0.00235463 0.00458624 0 0.0929621 0.173702 0.244454 0.488881 0 0.957619 0.0354773 0.00234247 0.00456152 0 0.093898 0.17394 0.244063 0.488099 0 0.957834 0.0352987 0.00233052 0.00453724 0 0.0948413 0.174173 0.243671 0.487315 0 0.958047 0.0351212 0.00231877 0.00451335 0 0.0957932 0.1744 0.243277 0.48653 0 0.958258 0.0349446 0.00230721 0.00448982 0 0.0967549 0.174622 0.242882 0.485741 0 0.958469 0.0347687 0.00229582 0.00446662 0 0.0977277 0.174839 0.242486 0.484948 0 0.958601 0.0346582 0.00228873 0.00445218 0 0.0983466 0.174973 0.242234 0.484446 0 0.958733 0.0345477 0.00228169 0.00443782 0 0.0989722 0.175106 0.241981 0.483941 0 0.958865 0.034437 0.00227469 0.00442354 0 0.0996047 0.175237 0.241727 0.483432 0 0.958997 0.0343262 0.00226773 0.00440933 0 0.100245 0.175366 0.24147 0.482919 0 0.00112965	300       	99.67     	69.6921   	510.858   	6.85933e-005	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	99.67	14.4852	13.9126	0.57259	7.61315e-008	0.960471	0.0395292	5.2558e-009		0.954591	0.0379663	0.00252063	0.00492221	0	0.0821618	0.170405	0.249156	0.498277	0	
Seg 1	303.034	99.67	14.332	13.7588	0.573147	7.64812e-008	0.960009	0.0399909	5.33641e-009		0.954825	0.0377757	0.00250606	0.00489278	0	0.0829868	0.170705	0.248781	0.497527	0	
Seg 2	306.044	99.67	14.1831	13.6094	0.573699	7.68361e-008	0.95955	0.0404495	5.41745e-009		0.955054	0.0375894	0.00249195	0.00486428	0	0.0838047	0.170996	0.248411	0.496788	0	
Seg 3	309.031	99.67	14.0384	13.4642	0.574246	7.7196e-008	0.959095	0.0409054	5.49891e-009		0.955278	0.0374072	0.00247828	0.00483667	0	0.0846156	0.171276	0.248048	0.496061	0	
Seg 4	311.995	99.67	13.8977	13.323	0.574789	7.75607e-008	0.958642	0.0413584	5.58082e-009		0.955496	0.037229	0.00246504	0.00480991	0	0.0854198	0.171546	0.247689	0.495345	0	
Seg 5	314.937	99.67	13.7609	13.1856	0.575327	7.79304e-008	0.958191	0.0418088	5.66318e-009		0.955709	0.0370547	0.0024522	0.00478395	0	0.0862175	0.171808	0.247336	0.494639	0	
Seg 6	317.858	99.67	13.6277	13.0518	0.57586	7.83049e-008	0.957743	0.0422566	5.74602e-009		0.955917	0.0368841	0.00243975	0.00475876	0	0.087009	0.172061	0.246987	0.493943	0	
Seg 7	320.759	99.67	13.498	12.9216	0.57639	7.86843e-008	0.957298	0.0427019	5.82934e-009		0.956121	0.0367171	0.00242767	0.00473431	0	0.0877942	0.172306	0.246644	0.493256	0	
