Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 32	303.38	99.67	13.1044	12.2574	0.846989	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	
Seg 33	303.38	99.67	13.1044	12.2574	0.846989	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	
Seg 34	303.38	99.67	13.1044	12.2574	0.846989	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	
Seg 35	303.38	99.67	13.1044	12.2574	0.846989	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	
Seg 36	303.38	99.67	13.1044	12.2574	0.846989	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	
Seg 37	303.38	99.67	13.1044	12.2574	0.846989	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	


0.0001    	300       	99.67     	110.058   	1089.59   	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	99.67	23.1922	21.9709	1.22123	0	0.947343	0.052657	0		0.954069	0.0385069	0.00251422	0.00490945	0	0.082168	0.172796	0.248356	0.49668	0	
Seg 1	309.235	99.67	22.462	21.2451	1.21683	0	0.938979	0.0610213	0		0.954838	0.0378668	0.00247173	0.00482362	0	0.0846777	0.173424	0.247309	0.494589	0	
Seg 2	318.291	99.67	21.807	20.5888	1.21817	0	0.936393	0.0636073	0		0.955546	0.0372755	0.00243293	0.00474515	0	0.0871334	0.174013	0.246294	0.49256	0	
Seg 3	327.148	99.67	21.221	19.9998	1.2212	0	0.934356	0.0656437	0		0.956205	0.0367235	0.00239759	0.00467357	0	0.0895297	0.174537	0.24532	0.490613	0	
Seg 4	335.831	99.67	20.6952	19.4697	1.22556	0	0.932391	0.0676087	0		0.956821	0.036206	0.00236524	0.00460796	0	0.0918738	0.175003	0.244383	0.48874	0	
Seg 5	344.367	99.67	20.2223	18.9911	1.2312	0	0.930451	0.0695494	0		0.957398	0.0357188	0.00233549	0.00454753	0	0.094173	0.175419	0.243477	0.48693	0	
Seg 6	352.78	99.67	19.7958	18.5577	1.23813	0	0.928524	0.0714756	0		0.957942	0.0352583	0.00230802	0.00449164	0	0.096434	0.175791	0.242599	0.485176	0	
Seg 7	361.091	99.67	19.4107	18.1644	1.24634	0	0.926607	0.073393	0		0.958456	0.0348214	0.00228256	0.00443975	0	0.0986628	0.176123	0.241745	0.483469	0	
Seg 8	363.489	99.67	9.11003	8.56831	0.541714	0	0.920732	0.0792678	0		0.95848	0.0348236	0.00227397	0.00442232	0	0.0993092	0.176836	0.241291	0.482563	0	
Seg 9	365.949	99.67	9.15808	8.60488	0.553201	0	0.918918	0.081082	0		0.958626	0.0346994	0.00226686	0.0044078	0	0.099968	0.176929	0.241041	0.482062	0	
Seg 10	369.57	99.67	9.17865	8.61258	0.566068	0	0.90624	0.0937604	0		0.958837	0.0345196	0.00225663	0.0043869	0	0.100936	0.177064	0.240673	0.481327	0	
Seg 11	373.406	99.67	9.24876	8.65208	0.596681	0	0.900749	0.0992509	0		0.959058	0.0343307	0.00224612	0.00436541	0	0.101961	0.17719	0.240289	0.48056	0	
