Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 20	835.929	160	9.26589	0.41892	8.84697	0	0.045211	0.954789	0		0.887759	0.0236616	0.0860993	0.00248036	0.189615	0.00979372	0.293079	0.507512	
Seg 21	852.306	160	9.13816	0.270887	8.86727	0	0.0296435	0.970357	0		0.8887	0.0234832	0.0853172	0.00250009	0.193169	0.00986626	0.29203	0.504935	
Seg 22	868.467	160	9.01759	0.130225	8.88736	0	0.0144412	0.985559	0		0.889589	0.0233102	0.0845807	0.00252058	0.196661	0.00993556	0.290995	0.502409	
Seg 23	884.429	160	8.9066	0	8.9066	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 24	900.385	160	8.90327	0	8.90327	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 25	916.335	160	8.89996	0	8.89996	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 26	932.28	160	8.89666	0	8.89666	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 27	948.218	160	8.89338	0	8.89338	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 28	964.151	160	8.89012	0	8.89012	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 29	980.078	160	8.88688	0	8.88688	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 30	995.999	160	8.88365	0	8.88365	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	


44.5945   	300       	160       	75.7745   	7258.93   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	23.2631	15.127	8.13614	0	0.650256	0.349744	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.0053222	0.318111	0.611099	
Seg 1	339.084	160	20.5047	12.3021	8.20257	0	0.599966	0.400034	0		0.816465	0.0304375	0.150436	0.0026609	0.0749994	0.00585589	0.318299	0.600845	
Seg 2	374.905	160	18.5426	10.2843	8.25835	0	0.554629	0.445371	0		0.827355	0.0299317	0.14016	0.00255353	0.0836829	0.00630449	0.317782	0.592231	
Seg 3	408.297	160	17.0601	8.75284	8.30723	0	0.51306	0.48694	0		0.835968	0.0294373	0.132116	0.00247863	0.091727	0.00669083	0.31688	0.584703	
Seg 4	439.806	160	15.8915	7.54019	8.35133	0	0.474479	0.525521	0		0.84301	0.0289618	0.125603	0.0024254	0.0992687	0.00702954	0.315754	0.577948	
Seg 5	469.807	160	14.9413	6.54935	8.39193	0	0.438339	0.561661	0		0.848912	0.0285076	0.120193	0.00238751	0.106404	0.00733054	0.314492	0.571774	
Seg 6	498.571	160	14.1499	5.71999	8.42987	0	0.404244	0.595756	0		0.853953	0.0280749	0.115611	0.002361	0.113201	0.00760093	0.313146	0.566051	
Seg 7	526.303	160	13.4781	5.0124	8.46574	0	0.371891	0.628109	0		0.858325	0.0276629	0.111669	0.00234323	0.119714	0.00784593	0.311748	0.560692	
Seg 8	553.159	160	12.8992	4.39927	8.49996	0	0.341049	0.658951	0		0.862165	0.0272703	0.108233	0.00233241	0.125982	0.00806951	0.310318	0.55563	
Seg 9	579.264	160	12.394	3.86112	8.53285	0	0.311532	0.688468	0		0.865571	0.0268958	0.105206	0.00232724	0.132038	0.00827476	0.308869	0.550818	
Seg 10	604.715	160	11.9483	3.38367	8.56463	0	0.283193	0.716807	0		0.868618	0.0265381	0.102517	0.00232676	0.137907	0.00846415	0.307411	0.546218	
Seg 11	629.595	160	11.5516	2.95615	8.59549	0	0.255907	0.744093	0		0.871365	0.0261959	0.100109	0.00233028	0.14361	0.00863965	0.30595	0.541801	
Seg 12	653.971	160	11.1959	2.57028	8.62559	0	0.229574	0.770426	0		0.873855	0.0258682	0.0979391	0.00233724	0.149165	0.00880292	0.304489	0.537543	
Seg 13	677.899	160	10.8746	2.21958	8.65505	0	0.204107	0.795893	0		0.876126	0.0255539	0.0959725	0.00234723	0.154586	0.00895529	0.303032	0.533426	
Seg 14	701.427	160	10.5829	1.89891	8.68396	0	0.179432	0.820568	0		0.878206	0.0252521	0.0941816	0.00235991	0.159887	0.00909791	0.301582	0.529433	
Seg 15	724.595	160	10.3165	1.60409	8.7124	0	0.155488	0.844512	0		0.88012	0.0249618	0.0925436	0.00237501	0.165077	0.00923175	0.300139	0.525552	
Seg 16	747.44	160	10.0722	1.33172	8.74045	0	0.132218	0.867782	0		0.881886	0.0246823	0.0910399	0.00239232	0.170167	0.00935763	0.298705	0.521771	
Seg 17	769.991	160	9.84718	1.07901	8.76816	0	0.109576	0.890424	0		0.883521	0.0244129	0.0896547	0.00241166	0.175163	0.00947628	0.29728	0.518081	
Seg 18	792.276	160	9.6392	0.84361	8.79559	0	0.0875186	0.912481	0		0.885039	0.024153	0.0883751	0.0024329	0.180073	0.00958831	0.295865	0.514474	
Seg 19	814.317	160	9.44633	0.623545	8.82278	0	0.0660092	0.933991	0		0.886452	0.023902	0.0871897	0.00245591	0.184904	0.00969427	0.29446	0.510942	
Seg 20	836.137	160	9.26691	0.417143	8.84977	0	0.0450142	0.954986	0		0.887771	0.0236593	0.0860892	0.0024806	0.18966	0.00979465	0.293066	0.50748	
Seg 21	852.52	160	9.13917	0.269081	8.87009	0	0.0294426	0.970557	0		0.888711	0.0234809	0.0853073	0.00250035	0.193215	0.00986719	0.292017	0.504902	
Seg 22	868.687	160	9.01859	0.128392	8.89019	0	0.0142364	0.985764	0		0.8896	0.0233079	0.0845709	0.00252086	0.196708	0.00993648	0.290981	0.502375	
Seg 23	884.658	160	8.90912	0	8.90912	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 24	900.623	160	8.90579	0	8.90579	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 25	916.583	160	8.90247	0	8.90247	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 26	932.536	160	8.89917	0	8.89917	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 27	948.484	160	8.89589	0	8.89589	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 28	964.426	160	8.89263	0	8.89263	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 29	980.362	160	8.88938	0	8.88938	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 30	996.292	160	8.88615	0	8.88615	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	


45.8097   	300       	160       	75.7953   	7260.99   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	23.2698	15.1313	8.13846	0	0.650256	0.349744	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.0053222	0.318111	0.611099	
Seg 1	339.103	160	20.5094	12.3045	8.20496	0	0.599942	0.400058	0		0.816471	0.0304373	0.15043	0.00266084	0.075004	0.00585613	0.318299	0.600841	
Seg 2	374.94	160	18.5462	10.2855	8.26078	0	0.554585	0.445415	0		0.827365	0.0299313	0.140151	0.00255344	0.0836911	0.0063049	0.317781	0.592223	
Seg 3	408.348	160	17.063	8.75331	8.30969	0	0.512999	0.487001	0		0.83598	0.0294366	0.132105	0.00247854	0.0917384	0.00669136	0.316878	0.584692	
Seg 4	439.869	160	15.894	7.54018	8.35382	0	0.474404	0.525596	0		0.843023	0.0289609	0.125591	0.00242532	0.099283	0.00703016	0.315751	0.577935	
Seg 5	469.882	160	14.9434	6.54899	8.39444	0	0.438252	0.561748	0		0.848925	0.0285066	0.120181	0.00238744	0.106421	0.00733123	0.314489	0.571759	
Seg 6	498.658	160	14.1518	5.71937	8.43241	0	0.404145	0.595855	0		0.853966	0.0280737	0.115599	0.00236094	0.113221	0.00760168	0.313142	0.566035	
Seg 7	526.401	160	13.4799	5.01158	8.4683	0	0.371782	0.628218	0		0.858339	0.0276616	0.111656	0.00234319	0.119736	0.00784671	0.311744	0.560674	
Seg 8	553.267	160	12.9008	4.39829	8.50254	0	0.340931	0.659069	0		0.862178	0.0272688	0.10822	0.00233238	0.126006	0.00807033	0.310313	0.555611	
Seg 9	579.381	160	12.3955	3.86002	8.53544	0	0.311406	0.688594	0		0.865584	0.0268942	0.105194	0.00232722	0.132063	0.0082756	0.308863	0.550798	
Seg 10	604.842	160	11.9497	3.38246	8.56724	0	0.283058	0.716942	0		0.868632	0.0265364	0.102505	0.00232677	0.137934	0.00846501	0.307404	0.546197	
Seg 11	629.731	160	11.553	2.95485	8.59812	0	0.255765	0.744235	0		0.871378	0.0261942	0.100097	0.00233031	0.143639	0.00864053	0.305942	0.541778	
Seg 12	654.115	160	11.1972	2.56891	8.62824	0	0.229425	0.770575	0		0.873869	0.0258664	0.0979274	0.00233729	0.149196	0.00880381	0.304481	0.53752	
Seg 13	678.052	160	10.8759	2.21815	8.65772	0	0.203951	0.796049	0		0.87614	0.0255521	0.0959611	0.0023473	0.154619	0.00895619	0.303023	0.533401	
Seg 14	701.588	160	10.5841	1.89741	8.68664	0	0.179271	0.820729	0		0.87822	0.0252501	0.0941703	0.00236	0.159921	0.00909882	0.301572	0.529407	
Seg 15	724.765	160	10.3176	1.60254	8.71511	0	0.15532	0.84468	0		0.880132	0.0249598	0.0925326	0.00237512	0.165113	0.00923266	0.300129	0.525525	
Seg 16	747.617	160	10.0733	1.33013	8.74317	0	0.132045	0.867955	0		0.881898	0.0246803	0.0910291	0.00239246	0.170204	0.00935855	0.298694	0.521743	
Seg 17	770.176	160	9.84829	1.07738	8.7709	0	0.109398	0.890602	0		0.883533	0.0244108	0.0896442	0.00241182	0.175202	0.00947719	0.297269	0.518052	
Seg 18	792.469	160	9.64029	0.84194	8.79835	0	0.0873355	0.912664	0		0.885051	0.0241509	0.0883648	0.00243308	0.180114	0.00958923	0.295853	0.514444	
Seg 19	814.518	160	9.4474	0.621839	8.82556	0	0.0658212	0.934179	0		0.886464	0.0238998	0.0871797	0.00245612	0.184946	0.00969519	0.294448	0.510911	
Seg 20	836.344	160	9.26797	0.415404	8.85257	0	0.0448215	0.955179	0		0.887783	0.0236571	0.0860794	0.00248083	0.189704	0.00979556	0.293053	0.507448	
Seg 21	852.734	160	9.14021	0.267314	8.8729	0	0.0292459	0.970754	0		0.888723	0.0234786	0.0852976	0.00250061	0.19326	0.00986809	0.292003	0.504869	
Seg 22	868.907	160	9.01962	0.126598	8.89302	0	0.0140359	0.985964	0		0.889612	0.0233056	0.0845614	0.00252114	0.196755	0.00993739	0.290967	0.502341	
Seg 23	884.888	160	8.91164	0	8.91164	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 24	900.862	160	8.9083	0	8.9083	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 25	916.831	160	8.90498	0	8.90498	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 26	932.793	160	8.90168	0	8.90168	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 27	948.75	160	8.8984	0	8.8984	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 28	964.701	160	8.89513	0	8.89513	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 29	980.646	160	8.89188	0	8.89188	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 30	996.586	160	8.88865	0	8.88865	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	


47.1491   	300       	160       	75.8767   	7268.77   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	23.2952	15.1479	8.14736	0	0.650256	0.349744	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.0053222	0.318111	0.611099	
Seg 1	339.176	160	20.5274	12.3133	8.21403	0	0.599849	0.400151	0		0.816496	0.0304363	0.150408	0.00266059	0.0750217	0.00585708	0.318299	0.600823	
Seg 2	375.075	160	18.5599	10.2899	8.27	0	0.554416	0.445584	0		0.827402	0.0299293	0.140115	0.00255309	0.0837237	0.00630651	0.317778	0.592192	
Seg 3	408.536	160	17.074	8.75497	8.31904	0	0.512766	0.487234	0		0.836025	0.0294337	0.132063	0.00247818	0.0917838	0.00669347	0.316872	0.584651	
Seg 4	440.107	160	15.9032	7.53995	8.36327	0	0.474115	0.525885	0		0.843073	0.0289573	0.125545	0.00242497	0.0993399	0.00703263	0.315742	0.577885	
Seg 5	470.166	160	14.9514	6.54742	8.40399	0	0.437913	0.562087	0		0.848977	0.0285023	0.120133	0.00238713	0.106488	0.00733399	0.314476	0.571702	
Seg 6	498.984	160	14.1588	5.71679	8.44204	0	0.403762	0.596238	0		0.85402	0.0280688	0.11555	0.00236069	0.113298	0.00760465	0.313127	0.565971	
Seg 7	526.766	160	13.4862	5.00823	8.47801	0	0.371358	0.628642	0		0.858394	0.0276562	0.111607	0.002343	0.119821	0.00784986	0.311725	0.560604	
Seg 8	553.671	160	12.9067	4.39433	8.51234	0	0.34047	0.65953	0		0.862234	0.027263	0.108171	0.00233226	0.1261	0.0080736	0.310291	0.555536	
Seg 9	579.821	160	12.4009	3.85557	8.54531	0	0.310911	0.689089	0		0.865639	0.026888	0.105145	0.00232718	0.132166	0.00827898	0.308838	0.550717	
Seg 10	605.317	160	11.9548	3.37762	8.57719	0	0.282532	0.717468	0		0.868687	0.0265298	0.102457	0.0023268	0.138044	0.00846846	0.307377	0.546111	
Seg 11	630.24	160	11.5578	2.94967	8.60815	0	0.25521	0.74479	0		0.871432	0.0261873	0.10005	0.00233042	0.143756	0.00864404	0.305912	0.541688	
Seg 12	654.658	160	11.2018	2.56344	8.63834	0	0.228842	0.771158	0		0.873922	0.0258592	0.097881	0.00233749	0.14932	0.00880736	0.304448	0.537425	
Seg 13	678.627	160	10.8803	2.21244	8.66788	0	0.203343	0.796657	0		0.876192	0.0255446	0.0959156	0.00234758	0.154749	0.00895977	0.302988	0.533303	
Seg 14	702.194	160	10.5884	1.89149	8.69687	0	0.178639	0.821361	0		0.878271	0.0252424	0.0941259	0.00236036	0.160058	0.00910241	0.301535	0.529305	
Seg 15	725.402	160	10.3218	1.59644	8.72541	0	0.154666	0.845334	0		0.880183	0.0249519	0.0924891	0.00237557	0.165256	0.00923626	0.300089	0.525419	
Seg 16	748.285	160	10.0774	1.32387	8.75354	0	0.13137	0.86863	0		0.881948	0.0246722	0.0909867	0.002393	0.170353	0.00936214	0.298652	0.521633	
Seg 17	770.874	160	9.85231	1.07097	8.78134	0	0.108702	0.891298	0		0.883582	0.0244026	0.0896028	0.00241246	0.175356	0.00948078	0.297224	0.517938	
Seg 18	793.196	160	9.64425	0.835397	8.80886	0	0.0866212	0.913379	0		0.885099	0.0241425	0.0883244	0.00243381	0.180274	0.0095928	0.295807	0.514327	
Seg 19	815.274	160	9.45131	0.615178	8.83613	0	0.0650892	0.934911	0		0.886511	0.0238913	0.0871404	0.00245694	0.185111	0.00969874	0.2944	0.510791	
Seg 20	837.129	160	9.27184	0.408635	8.8632	0	0.0440727	0.955927	0		0.887829	0.0236485	0.0860411	0.00248176	0.189874	0.00979908	0.293003	0.507324	
Seg 21	853.543	160	9.14403	0.26044	8.88359	0	0.0284819	0.971518	0		0.888768	0.0234699	0.08526	0.00250161	0.193435	0.00987161	0.291952	0.504742	
Seg 22	869.741	160	9.02339	0.119626	8.90377	0	0.0132573	0.986743	0		0.889657	0.0232968	0.0845244	0.00252222	0.196934	0.0099409	0.290913	0.502212	
Seg 23	885.756	160	8.92118	0	8.92118	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 24	901.765	160	8.91784	0	8.91784	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 25	917.768	160	8.91451	0	8.91451	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 26	933.765	160	8.9112	0	8.9112	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 27	949.756	160	8.90791	0	8.90791	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 28	965.742	160	8.90463	0	8.90463	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 29	981.721	160	8.90137	0	8.90137	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 30	997.695	160	8.89813	0	8.89813	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	


48.4555   	300       	160       	75.9407   	7274.85   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	23.3142	15.1602	8.15401	0	0.650256	0.349744	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.0053222	0.318111	0.611099	
Seg 1	339.23	160	20.5407	12.3199	8.22082	0	0.59978	0.40022	0		0.816514	0.0304356	0.15039	0.0026604	0.075035	0.0058578	0.318298	0.600809	
Seg 2	375.175	160	18.5701	10.2932	8.27689	0	0.554289	0.445711	0		0.82743	0.0299278	0.140089	0.00255283	0.0837483	0.00630774	0.317776	0.592168	
Seg 3	408.677	160	17.0822	8.75618	8.32602	0	0.512591	0.487409	0		0.836059	0.0294316	0.132031	0.0024779	0.0918182	0.00669506	0.316868	0.584619	
Seg 4	440.285	160	15.9101	7.53974	8.37033	0	0.473897	0.526103	0		0.84311	0.0289545	0.125511	0.00242471	0.099383	0.00703451	0.315735	0.577848	
Seg 5	470.377	160	14.9573	6.5462	8.41112	0	0.437658	0.562342	0		0.849017	0.028499	0.120097	0.0023869	0.106539	0.00733608	0.314467	0.571658	
Seg 6	499.226	160	14.1641	5.71482	8.44924	0	0.403473	0.596527	0		0.854061	0.0280652	0.115513	0.0023605	0.113356	0.0076069	0.313114	0.565923	
Seg 7	527.039	160	13.491	5.00568	8.48528	0	0.371039	0.628961	0		0.858435	0.0276521	0.11157	0.00234286	0.119886	0.00785224	0.31171	0.560551	
Seg 8	553.972	160	12.911	4.39133	8.51966	0	0.340123	0.659877	0		0.862275	0.0272585	0.108134	0.00233217	0.126171	0.00807608	0.310274	0.555479	
Seg 9	580.149	160	12.4049	3.8522	8.5527	0	0.310539	0.689461	0		0.865681	0.0268832	0.105109	0.00232715	0.132243	0.00828154	0.308819	0.550656	
Seg 10	605.671	160	11.9586	3.37394	8.58463	0	0.282136	0.717864	0		0.868728	0.0265248	0.10242	0.00232683	0.138127	0.00847108	0.307356	0.546047	
Seg 11	630.62	160	11.5614	2.94574	8.61564	0	0.254791	0.745209	0		0.871473	0.026182	0.100014	0.0023305	0.143844	0.0086467	0.305889	0.54162	
Seg 12	655.062	160	11.2052	2.5593	8.64589	0	0.228403	0.771597	0		0.873963	0.0258538	0.0978459	0.00233763	0.149413	0.00881005	0.304423	0.537354	
Seg 13	679.055	160	10.8836	2.20811	8.67548	0	0.202884	0.797116	0		0.876232	0.0255389	0.0958812	0.00234779	0.154848	0.00896248	0.302961	0.533228	
Seg 14	702.647	160	10.5915	1.88701	8.70453	0	0.178162	0.821838	0		0.878311	0.0252366	0.0940922	0.00236064	0.160161	0.00910513	0.301506	0.529228	
Seg 15	725.878	160	10.3249	1.59181	8.73311	0	0.154172	0.845828	0		0.880222	0.0249459	0.0924563	0.00237592	0.165364	0.00923898	0.300059	0.525338	
Seg 16	748.783	160	10.0804	1.31912	8.7613	0	0.13086	0.86914	0		0.881986	0.0246661	0.0909546	0.00239341	0.170465	0.00936487	0.29862	0.52155	
Seg 17	771.395	160	9.85526	1.06611	8.78915	0	0.108177	0.891823	0		0.883619	0.0243964	0.0895716	0.00241294	0.175473	0.0094835	0.297191	0.517852	
Seg 18	793.738	160	9.64716	0.830443	8.81672	0	0.0860816	0.913918	0		0.885135	0.0241362	0.088294	0.00243436	0.180395	0.0095955	0.295772	0.514238	
Seg 19	815.838	160	9.45418	0.610135	8.84404	0	0.064536	0.935464	0		0.886547	0.0238849	0.0871107	0.00245757	0.185236	0.00970142	0.294363	0.510699	
Seg 20	837.715	160	9.27468	0.403511	8.87116	0	0.0435068	0.956493	0		0.887863	0.023642	0.0860123	0.00248246	0.190003	0.00980175	0.292965	0.507231	
Seg 21	854.147	160	9.14683	0.255234	8.8916	0	0.0279041	0.972096	0		0.888803	0.0234633	0.0852316	0.00250238	0.193567	0.00987427	0.291912	0.504646	
Seg 22	870.364	160	9.02615	0.114343	8.91181	0	0.012668	0.987332	0		0.88969	0.0232901	0.0844965	0.00252305	0.19707	0.00994355	0.290873	0.502113	
Seg 23	886.404	160	8.92832	0	8.92832	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 24	902.439	160	8.92496	0	8.92496	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 25	918.468	160	8.92163	0	8.92163	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 26	934.491	160	8.91831	0	8.91831	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 27	950.508	160	8.91501	0	8.91501	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 28	966.519	160	8.91173	0	8.91173	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 29	982.525	160	8.90846	0	8.90846	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 30	998.524	160	8.90521	0	8.90521	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	


49.743    	300       	160       	75.9732   	7277.97   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	23.3242	15.1667	8.15748	0	0.650256	0.349744	0		0.802043	0.0309338	0.164202	0.0028211	0.0654686	0.0053222	0.318111	0.611099	
Seg 1	339.259	160	20.5477	12.3234	8.22437	0	0.599743	0.400257	0		0.816523	0.0304352	0.150381	0.0026603	0.0750419	0.00585817	0.318298	0.600802	
Seg 2	375.228	160	18.5754	10.2949	8.2805	0	0.554223	0.445777	0		0.827445	0.0299271	0.140075	0.0025527	0.0837609	0.00630837	0.317775	0.592156	
Seg 3	408.751	160	17.0865	8.75683	8.32967	0	0.5125	0.4875	0		0.836077	0.0294305	0.132015	0.00247776	0.0918359	0.00669589	0.316865	0.584603	
Seg 4	440.378	160	15.9137	7.53966	8.37403	0	0.473784	0.526216	0		0.84313	0.0289531	0.125493	0.00242457	0.0994051	0.00703547	0.315731	0.577828	
Seg 5	470.488	160	14.9604	6.54558	8.41485	0	0.437526	0.562474	0		0.849037	0.0284974	0.120078	0.00238678	0.106565	0.00733715	0.314462	0.571636	
Seg 6	499.354	160	14.1668	5.71382	8.45301	0	0.403324	0.596676	0		0.854082	0.0280633	0.115494	0.0023604	0.113386	0.00760806	0.313108	0.565898	
Seg 7	527.182	160	13.4935	5.00438	8.48908	0	0.370874	0.629126	0		0.858457	0.02765	0.111551	0.00234279	0.11992	0.00785346	0.311703	0.560524	
Seg 8	554.13	160	12.9133	4.38979	8.52349	0	0.339944	0.660056	0		0.862297	0.0272563	0.108115	0.00233213	0.126208	0.00807735	0.310265	0.555449	
Seg 9	580.322	160	12.407	3.85047	8.55656	0	0.310346	0.689654	0		0.865702	0.0268808	0.10509	0.00232713	0.132283	0.00828285	0.30881	0.550625	
Seg 10	605.858	160	11.9606	3.37205	8.58852	0	0.281931	0.718069	0		0.868749	0.0265222	0.102402	0.00232684	0.138169	0.00847242	0.307345	0.546013	
Seg 11	630.82	160	11.5633	2.94372	8.61956	0	0.254575	0.745425	0		0.871494	0.0261793	0.0999958	0.00233055	0.14389	0.00864807	0.305877	0.541585	
Seg 12	655.275	160	11.207	2.55717	8.64983	0	0.228176	0.771824	0		0.873983	0.025851	0.0978279	0.00233771	0.149461	0.00881143	0.30441	0.537317	
Seg 13	679.281	160	10.8853	2.20589	8.67945	0	0.202648	0.797352	0		0.876252	0.025536	0.0958636	0.0023479	0.154899	0.00896387	0.302948	0.53319	
Seg 14	702.884	160	10.5932	1.8847	8.70853	0	0.177916	0.822084	0		0.878331	0.0252336	0.094075	0.00236078	0.160214	0.00910653	0.301491	0.529188	
Seg 15	726.127	160	10.3266	1.58943	8.73714	0	0.153917	0.846083	0		0.880242	0.0249429	0.0924394	0.0023761	0.165419	0.00924039	0.300043	0.525297	
Seg 16	749.045	160	10.082	1.31668	8.76535	0	0.130596	0.869404	0		0.882005	0.0246629	0.0909381	0.00239362	0.170523	0.00936627	0.298604	0.521507	
Seg 17	771.668	160	9.85684	1.06361	8.79323	0	0.107906	0.892094	0		0.883638	0.0243932	0.0895555	0.00241319	0.175533	0.0094849	0.297174	0.517808	
Seg 18	794.023	160	9.64871	0.827887	8.82082	0	0.0858029	0.914197	0		0.885154	0.0241329	0.0882783	0.00243465	0.180457	0.0095969	0.295754	0.514192	
Seg 19	816.134	160	9.45571	0.607531	8.84818	0	0.0642502	0.93575	0		0.886565	0.0238816	0.0870954	0.00245789	0.185301	0.00970281	0.294344	0.510652	
Seg 20	838.022	160	9.27619	0.400863	8.87533	0	0.0432142	0.956786	0		0.887881	0.0236387	0.0859974	0.00248282	0.19007	0.00980313	0.292945	0.507182	
Seg 21	854.464	160	9.14832	0.252543	8.89578	0	0.0276054	0.972395	0		0.88882	0.0234599	0.085217	0.00250277	0.193636	0.00987565	0.291892	0.504597	
Seg 22	870.69	160	9.02763	0.111612	8.91602	0	0.0123634	0.987637	0		0.889708	0.0232867	0.084482	0.00252347	0.19714	0.00994493	0.290852	0.502063	
Seg 23	886.744	160	8.93205	0	8.93205	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 24	902.793	160	8.92869	0	8.92869	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 25	918.835	160	8.92535	0	8.92535	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 26	934.871	160	8.92203	0	8.92203	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 27	950.902	160	8.91873	0	8.91873	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 28	966.927	160	8.91544	0	8.91544	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
Seg 29	982.946	160	8.91217	0	8.91217	0	0	1	0		0.2	0.01	0.29	0.5	0.2	0.01	0.29	0.5	
