Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 59	1677.36	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 60	1688.84	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 61	1700.32	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 62	1711.8	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 63	1723.28	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 64	1734.77	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 65	1746.25	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 66	1757.73	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 67	1769.21	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 68	1780.69	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 69	1792.17	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 70	1803.65	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 71	1815.13	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 72	1826.61	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 73	1838.09	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 74	1849.57	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 75	1861.05	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 76	1872.53	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 77	1884.01	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 78	1895.49	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 79	1906.98	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 80	1918.46	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598


0.1       	1000      	-         	2497.49   	124.455   	2444.77   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	1000	170.225	6.47883	5.37412	0.060284	1.04442	0.82949	0.00930477	0.161205
Seg 1	1014.59	170.18	6.40187	5.29718	0.0604067	1.04428	0.768715	0.0126471	0.218638
Seg 2	1029.52	170.055	6.32532	5.22099	0.060473	1.04386	0.758631	0.0132173	0.228151
Seg 3	1044.44	169.928	6.25102	5.14703	0.0605401	1.04345	0.755121	0.0134286	0.231451
Seg 4	1059.31	169.802	6.17904	5.07538	0.0606075	1.04305	0.752309	0.013602	0.234089
Seg 5	1074.13	169.676	6.10926	5.00594	0.0606751	1.04265	0.749592	0.0137706	0.236637
Seg 6	1088.9	169.549	6.04159	4.93859	0.060743	1.04226	0.746909	0.0139378	0.239153
Seg 7	1103.63	169.422	5.97592	4.87323	0.0608111	1.04187	0.744254	0.014104	0.241642
Seg 8	1118.31	169.295	5.91214	4.80977	0.0608794	1.04149	0.741624	0.014269	0.244107
Seg 9	1132.96	169.168	5.85018	4.74812	0.060948	1.04111	0.73902	0.0144332	0.246547
Seg 10	1147.57	169.041	5.78995	4.6882	0.0610169	1.04074	0.736441	0.0145963	0.248963
Seg 11	1162.15	168.913	5.73137	4.62991	0.0610861	1.04037	0.733885	0.0147586	0.251356
Seg 12	1176.69	168.786	5.67436	4.5732	0.0611555	1.04	0.731353	0.01492	0.253727
Seg 13	1191.2	168.658	5.61886	4.518	0.0612253	1.03964	0.728843	0.0150805	0.256076
Seg 14	1205.68	168.53	5.56481	4.46423	0.0612954	1.03929	0.726355	0.0152403	0.258404
Seg 15	1220.13	168.402	5.51213	4.41183	0.0613657	1.03893	0.723889	0.0153992	0.260711
Seg 16	1234.55	168.273	5.46078	4.36076	0.0614365	1.03858	0.721444	0.0155574	0.262998
Seg 17	1248.95	168.145	5.41069	4.31095	0.0615075	1.03824	0.71902	0.0157149	0.265265
Seg 18	1263.32	168.016	5.36183	4.26235	0.0615789	1.0379	0.716615	0.0158716	0.267513
Seg 19	1277.67	167.888	5.31414	4.21492	0.0616506	1.03756	0.71423	0.0160277	0.269742
Seg 20	1292	167.759	5.26757	4.16861	0.0617227	1.03723	0.711865	0.0161831	0.271952
Seg 21	1316.62	167.609	5.18989	4.09115	0.0618592	1.03687	0.667472	0.0187215	0.313807
Seg 22	1341.34	167.4	5.11481	4.01645	0.0619897	1.03638	0.658619	0.0192669	0.322114
Seg 23	1365.91	167.19	5.04289	3.94486	0.0621217	1.03591	0.653863	0.0195829	0.326554
Seg 24	1390.32	166.98	4.97398	3.87627	0.0622544	1.03546	0.649588	0.0198728	0.330539
Seg 25	1414.57	166.769	4.90788	3.81047	0.0623878	1.03503	0.645434	0.0201571	0.334409
