Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 8	3674.68	164.939	24.5238	8.07402	7.6124	8.83738	0.319612	0.314861	0.365528
Seg 9	3807.75	164.604	24.0777	7.54868	7.69516	8.83385	0.30413	0.323966	0.371904
Seg 10	3951.7	164.238	23.637	7.02024	7.78673	8.83004	0.287897	0.333696	0.378407
Seg 11	4063.67	166.65	19.9818	5.65252	6.71028	7.61896	0.268432	0.342588	0.38898
Seg 12	4173.32	166.556	19.5194	5.19024	6.71294	7.61626	0.2519	0.35047	0.39763
Seg 13	4280.82	166.464	19.0892	4.76006	6.71556	7.61362	0.235857	0.358126	0.406017
Seg 14	4386.33	166.372	18.6876	4.35841	6.71815	7.61104	0.220257	0.365578	0.414165
Seg 15	4495.3	166.278	18.2926	3.96336	6.72084	7.60838	0.20451	0.373109	0.422381
Seg 16	4581.76	167.367	16.4055	3.29417	6.18158	6.92976	0.188863	0.382425	0.428712
Seg 17	4667.02	167.285	16.1449	3.03348	6.18357	6.92787	0.176961	0.388159	0.43488
Seg 18	4751.16	167.203	15.897	2.7854	6.18555	6.92601	0.165258	0.3938	0.440941
Seg 19	4834.24	167.122	15.6606	2.54894	6.18752	6.92419	0.153742	0.399356	0.446902
Seg 20	4920.66	167.04	15.4233	2.3114	6.18957	6.9223	0.141796	0.405122	0.453081
Seg 21	4969.48	168.791	8.53488	1.11019	3.5508	3.87389	0.118007	0.421806	0.460187
Seg 22	5018.03	168.711	8.46763	1.04279	3.55149	3.87335	0.111922	0.42479	0.463288
Seg 23	5066.54	168.509	8.45662	1.03421	3.54884	3.87357	0.111173	0.42497	0.463857
Seg 24	5115	168.307	8.44576	1.02577	3.5462	3.87379	0.110436	0.425145	0.46442
Seg 25	5165.8	168.098	8.43452	1.01707	3.54341	3.87403	0.109674	0.425321	0.465005
Seg 26	5202.65	168.691	7.03482	0.774278	3.02476	3.23578	0.0988593	0.435383	0.465758
Seg 27	5239.48	168.523	7.02865	0.769533	3.02319	3.23593	0.0983626	0.435496	0.466141
Seg 28	5276.29	168.356	7.02254	0.764847	3.02162	3.23607	0.0978692	0.435608	0.466523
Seg 29	5313.08	168.188	7.01649	0.760218	3.02006	3.23621	0.0973811	0.435717	0.466902
Seg 30	5353.2	168.01	7.00993	0.755239	3.01832	3.23637	0.0968557	0.43583	0.467314
Seg 31	5363.57	168.171	4.76737	0.529432	2.01834	2.2196	0.111044	0.423369	0.465587
Seg 32	5375.18	168.115	4.76626	0.528415	2.01821	2.21963	0.110856	0.423442	0.465701
