Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	X[0]	X[1]	X[2]	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	X[0]	X[1]	X[2]	
Seg 0	725.189	85.4	1.93491	1.93491	0	0	1	0	0		0.387709	0.101382	0.510908	0.387709	0.101382	0.510908	
Seg 1	730.252	85.4	0.317394	0.158975	0.158419	0	0.500876	0.499124	0		0.95414	0.0453251	0.000534726	0.197663	0.120191	0.682146	
Seg 2	738.418	85.4	0.314334	0.155736	0.158598	0	0.156785	0.843215	0		0.954373	0.0450884	0.000538764	0.199638	0.120066	0.680296	
Seg 3	746.617	85.4	0.311335	0.152583	0.158752	0	0.152821	0.847179	0		0.954601	0.0448563	0.000542911	0.201615	0.119938	0.678446	
Seg 4	754.829	85.4	0.308402	0.149495	0.158907	0	0.151049	0.848951	0		0.954823	0.0446294	0.000547161	0.20359	0.119808	0.676602	
Seg 5	763.054	85.4	0.305534	0.146471	0.159063	0	0.149301	0.850699	0		0.955041	0.0444074	0.000551512	0.205561	0.119675	0.674764	
Seg 6	771.291	85.4	0.302728	0.143509	0.159218	0	0.147568	0.852432	0		0.955254	0.0441904	0.000555966	0.207529	0.119539	0.672931	
Seg 7	779.541	85.4	0.299983	0.140608	0.159375	0	0.145849	0.854151	0		0.955461	0.0439782	0.000560523	0.209495	0.119401	0.671104	
Seg 8	787.804	85.4	0.297297	0.137766	0.159531	0	0.144145	0.855855	0		0.955664	0.0437706	0.000565184	0.211457	0.119261	0.669282	
Seg 9	796.079	85.4	0.294669	0.134981	0.159688	0	0.142455	0.857545	0		0.955862	0.0435676	0.000569949	0.213416	0.119118	0.667466	
Seg 10	804.365	85.4	0.292096	0.132251	0.159845	0	0.140779	0.859221	0		0.956056	0.043369	0.000574819	0.215372	0.118974	0.665655	
Seg 11	812.664	85.4	0.289577	0.129575	0.160002	0	0.139116	0.860884	0		0.956245	0.0431748	0.000579795	0.217324	0.118827	0.663849	
Seg 12	820.974	85.4	0.287111	0.126951	0.16016	0	0.137466	0.862534	0		0.95643	0.0429848	0.000584877	0.219274	0.118678	0.662049	
Seg 13	829.296	85.4	0.284697	0.124379	0.160318	0	0.135829	0.864171	0		0.956611	0.042799	0.000590066	0.22122	0.118527	0.660254	
Seg 14	837.629	85.4	0.282332	0.121856	0.160477	0	0.134205	0.865795	0		0.956787	0.0426173	0.000595364	0.223162	0.118374	0.658464	
Seg 15	845.973	85.4	0.280016	0.119381	0.160635	0	0.132592	0.867408	0		0.95696	0.0424395	0.00060077	0.225102	0.118219	0.656679	
Seg 16	854.329	85.4	0.277747	0.116953	0.160794	0	0.130991	0.869009	0		0.957128	0.0422656	0.000606286	0.227037	0.118063	0.654899	
Seg 17	862.695	85.4	0.275524	0.11457	0.160954	0	0.129402	0.870598	0		0.957293	0.0420955	0.000611913	0.22897	0.117905	0.653125	
Seg 18	871.073	85.4	0.273346	0.112232	0.161114	0	0.127823	0.872177	0		0.957453	0.0419291	0.000617652	0.230899	0.117746	0.651356	
Seg 19	879.461	85.4	0.271211	0.109937	0.161274	0	0.126256	0.873744	0		0.95761	0.0417663	0.000623503	0.232824	0.117584	0.649592	
Seg 20	887.86	85.4	0.269119	0.107685	0.161434	0	0.124699	0.875301	0		0.957763	0.0416072	0.000629468	0.234746	0.117422	0.647832	
Seg 21	896.269	85.4	0.267068	0.105473	0.161595	0	0.123152	0.876848	0		0.957913	0.0414514	0.000635547	0.236664	0.117258	0.646078	
Seg 22	904.688	85.4	0.265057	0.103301	0.161756	0	0.121615	0.878385	0		0.958059	0.0412991	0.000641743	0.238579	0.117092	0.644329	
Seg 23	913.118	85.4	0.263086	0.101168	0.161918	0	0.120088	0.879912	0		0.958202	0.0411501	0.000648055	0.240489	0.116925	0.642585	
Seg 24	921.558	85.4	0.261153	0.0990731	0.16208	0	0.118571	0.881429	0		0.958341	0.0410044	0.000654484	0.242397	0.116757	0.640846	
Seg 25	930.008	85.4	0.259257	0.097015	0.162242	0	0.117062	0.882938	0		0.958477	0.0408619	0.000661033	0.2443	0.116588	0.639112	
Seg 26	938.467	85.4	0.257397	0.094993	0.162404	0	0.115563	0.884437	0		0.95861	0.0407225	0.000667702	0.2462	0.116418	0.637382	
Seg 27	946.937	85.4	0.255573	0.093006	0.162568	0	0.114072	0.885928	0		0.958739	0.0405861	0.000674493	0.248096	0.116246	0.635658	
Seg 28	955.416	85.4	0.253784	0.0910533	0.162731	0	0.11259	0.88741	0		0.958866	0.0404528	0.000681406	0.249988	0.116074	0.633938	
Seg 29	963.904	85.4	0.252029	0.0891339	0.162895	0	0.111115	0.888885	0		0.958989	0.0403224	0.000688443	0.251876	0.1159	0.632224	
Seg 30	972.403	85.4	0.250306	0.0872472	0.163059	0	0.109649	0.890351	0		0.95911	0.0401948	0.000695605	0.253761	0.115725	0.630514	
Seg 31	980.91	85.4	0.248616	0.0853922	0.163223	0	0.10819	0.89181	0		0.959227	0.0400701	0.000702893	0.255642	0.11555	0.628809	
Seg 32	989.427	85.4	0.246956	0.0835682	0.163388	0	0.106739	0.893261	0		0.959342	0.0399482	0.00071031	0.257518	0.115373	0.627108	
Seg 33	997.952	85.4	0.245328	0.0817745	0.163554	0	0.105295	0.894705	0		0.959453	0.0398289	0.000717855	0.259391	0.115196	0.625412	
Seg 34	1006.49	85.4	0.24373	0.0800103	0.163719	0	0.103858	0.896142	0		0.959562	0.0397124	0.000725531	0.26126	0.115018	0.623722	
Seg 35	1015.03	85.4	0.24216	0.0782749	0.163885	0	0.102428	0.897572	0		0.959668	0.0395984	0.000733339	0.263125	0.114839	0.622035	
Seg 36	1023.58	85.4	0.24062	0.0765677	0.164052	0	0.101004	0.898996	0		0.959772	0.0394869	0.00074128	0.264987	0.11466	0.620354	
Seg 37	1032.14	85.4	0.239107	0.0748881	0.164219	0	0.0995862	0.900414	0		0.959873	0.039378	0.000749356	0.266844	0.114479	0.618677	
Seg 38	1040.71	85.4	0.237621	0.0732352	0.164386	0	0.0981747	0.901825	0		0.959971	0.0392715	0.000757568	0.268697	0.114298	0.617005	
Seg 39	1049.29	85.4	0.236162	0.0716086	0.164554	0	0.096769	0.903231	0		0.960067	0.0391675	0.000765918	0.270546	0.114117	0.615337	
Seg 40	1057.88	85.4	0.23473	0.0700076	0.164722	0	0.0953688	0.904631	0		0.96016	0.0390658	0.000774408	0.272391	0.113935	0.613674	
Seg 41	1066.48	85.4	0.233322	0.0684317	0.16489	0	0.0939741	0.906026	0		0.960251	0.0389664	0.000783038	0.274233	0.113752	0.612015	
Seg 42	1075.08	85.4	0.23194	0.0668802	0.165059	0	0.0925845	0.907416	0		0.960339	0.0388693	0.00079181	0.27607	0.113569	0.610362	
Seg 43	1083.69	85.4	0.230581	0.0653527	0.165229	0	0.0911998	0.9088	0		0.960425	0.0387744	0.000800727	0.277903	0.113385	0.608712	
Seg 44	1092.31	85.4	0.229247	0.0638485	0.165398	0	0.0898199	0.91018	0		0.960509	0.0386817	0.000809789	0.279732	0.113201	0.607067	
Seg 45	1100.94	85.4	0.227936	0.0623671	0.165569	0	0.0884445	0.911556	0		0.96059	0.0385911	0.000818998	0.281557	0.113016	0.605427	
Seg 46	1109.58	85.4	0.226647	0.0609082	0.165739	0	0.0870733	0.912927	0		0.960669	0.0385027	0.000828357	0.283378	0.112831	0.603791	
Seg 47	1118.22	85.4	0.225381	0.059471	0.16591	0	0.0857062	0.914294	0		0.960746	0.0384163	0.000837866	0.285195	0.112645	0.60216	
Seg 48	1126.88	85.4	0.224137	0.0580552	0.166082	0	0.084343	0.915657	0		0.96082	0.038332	0.000847527	0.287008	0.11246	0.600533	
Seg 49	1135.54	85.4	0.222914	0.0566604	0.166254	0	0.0829834	0.917017	0		0.960893	0.0382496	0.000857343	0.288816	0.112273	0.59891	
Seg 50	1144.2	85.4	0.221712	0.0552859	0.166426	0	0.0816272	0.918373	0		0.960963	0.0381692	0.000867314	0.290621	0.112087	0.597292	


0.387709 0.101382 0.510908 0.387709 0.101382 0.510908 0.95414 0.0453251 0.000534726 0.197663 0.120191 0.682146 0.954373 0.0450884 0.000538764 0.199638 0.120066 0.680296 0.954601 0.0448563 0.000542911 0.201615 0.119938 0.678446 0.954823 0.0446294 0.000547161 0.20359 0.119808 0.676602 0.955041 0.0444074 0.000551512 0.205561 0.119675 0.674764 0.955254 0.0441904 0.000555966 0.207529 0.119539 0.672931 0.955461 0.0439782 0.000560523 0.209495 0.119401 0.671104 0.955664 0.0437706 0.000565184 0.211457 0.119261 0.669282 0.955862 0.0435676 0.000569949 0.213416 0.119118 0.667466 0.956056 0.043369 0.000574819 0.215372 0.118974 0.665655 0.956245 0.0431748 0.000579795 0.217324 0.118827 0.663849 0.95643 0.0429848 0.000584877 0.219274 0.118678 0.662049 0.956611 0.042799 0.000590066 0.22122 0.118527 0.660254 0.956787 0.0426173 0.000595364 0.223162 0.118374 0.658464 0.95696 0.0424395 0.00060077 0.225102 0.118219 0.656679 0.957128 0.0422656 0.000606286 0.227037 0.118063 0.654899 0.957293 0.0420955 0.000611913 0.22897 0.117905 0.653125 0.957453 0.0419291 0.000617652 0.230899 0.117746 0.651356 0.95761 0.0417663 0.000623503 0.232824 0.117584 0.649592 0.957763 0.0416072 0.000629468 0.234746 0.117422 0.647832 0.957913 0.0414514 0.000635547 0.236664 0.117258 0.646078 0.958059 0.0412991 0.000641743 0.238579 0.117092 0.644329 0.958202 0.0411501 0.000648055 0.240489 0.116925 0.642585 0.958341 0.0410044 0.000654484 0.242397 0.116757 0.640846 0.958477 0.0408619 0.000661033 0.2443 0.116588 0.639112 0.95861 0.0407225 0.000667702 0.2462 0.116418 0.637382 0.958739 0.0405861 0.000674493 0.248096 0.116246 0.635658 0.958866 0.0404528 0.000681406 0.249988 0.116074 0.633938 0.958989 0.0403224 0.000688443 0.251876 0.1159 0.632224 0.95911 0.0401948 0.000695605 0.253761 0.115725 0.630514 0.959227 0.0400701 0.000702893 0.255642 0.11555 0.628809 0.959342 0.0399482 0.00071031 0.257518 0.115373 0.627108 0.959453 0.0398289 0.000717855 0.259391 0.115196 0.625412 0.959562 0.0397124 0.000725531 0.26126 0.115018 0.623722 0.959668 0.0395984 0.000733339 0.263125 0.114839 0.622035 0.959772 0.0394869 0.00074128 0.264987 0.11466 0.620354 0.959873 0.039378 0.000749356 0.266844 0.114479 0.618677 0.959971 0.0392715 0.000757568 0.268697 0.114298 0.617005 0.960067 0.0391675 0.000765918 0.270546 0.114117 0.615337 0.96016 0.0390658 0.000774408 0.272391 0.113935 0.613674 0.960251 0.0389664 0.000783038 0.274233 0.113752 0.612015 0.960339 0.0388693 0.00079181 0.27607 0.113569 0.610362 0.960425 0.0387744 0.000800727 0.277903 0.113385 0.608712 0.960509 0.0386817 0.000809789 0.279732 0.113201 0.607067 0.96059 0.0385911 0.000818998 0.281557 0.113016 0.605427 0.960669 0.0385027 0.000828357 0.283378 0.112831 0.603791 0.960746 0.0384163 0.000837866 0.285195 0.112645 0.60216 0.96082 0.038332 0.000847527 0.287008 0.11246 0.600533 0.960893 0.0382496 0.000857343 0.288816 0.112273 0.59891 0.960963 0.0381692 0.000867314 0.290621 0.112087 0.597292 1.28167   	725.189   	85.4      	7.65453   	1353.35   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	X[0]	X[1]	X[2]	
Seg 0	725.189	85.4	1.72035	1.72035	0	0	1	0	0		0.38636	0.101534	0.512106	0.38636	0.101534	0.512106	
Seg 1	730.272	85.4	0.281184	0.140168	0.141016	0	0.498493	0.501507	0		0.954133	0.0453326	0.000534734	0.197668	0.120212	0.682121	
Seg 2	738.524	85.4	0.278449	0.137325	0.141123	0	0.147228	0.852772	0		0.954368	0.0450932	0.000538815	0.199664	0.120085	0.680251	
Seg 3	746.805	85.4	0.275769	0.134504	0.141265	0	0.143528	0.856472	0		0.954598	0.0448586	0.000543007	0.201661	0.119955	0.678384	
Seg 4	755.099	85.4	0.27315	0.131745	0.141405	0	0.141829	0.858171	0		0.954823	0.0446292	0.000547302	0.203655	0.119823	0.676522	
Seg 5	763.405	85.4	0.27059	0.129044	0.141546	0	0.140152	0.859848	0		0.955043	0.044405	0.0005517	0.205646	0.119688	0.674666	
Seg 6	771.723	85.4	0.268086	0.1264	0.141686	0	0.13849	0.86151	0		0.955258	0.0441859	0.000556203	0.207633	0.11955	0.672817	
Seg 7	780.053	85.4	0.265637	0.123811	0.141827	0	0.136843	0.863157	0		0.955468	0.0439716	0.00056081	0.209617	0.11941	0.670973	
Seg 8	788.394	85.4	0.263242	0.121274	0.141968	0	0.13521	0.86479	0		0.955672	0.0437622	0.000565522	0.211598	0.119268	0.669134	
Seg 9	796.746	85.4	0.260899	0.11879	0.142109	0	0.133591	0.866409	0		0.955872	0.0435574	0.00057034	0.213575	0.119123	0.667302	
Seg 10	805.11	85.4	0.258606	0.116356	0.14225	0	0.131986	0.868014	0		0.956068	0.0433571	0.000575265	0.215549	0.118976	0.665475	
Seg 11	813.485	85.4	0.256362	0.11397	0.142391	0	0.130394	0.869606	0		0.956258	0.0431613	0.000580297	0.217519	0.118827	0.663654	
Seg 12	821.871	85.4	0.254165	0.111632	0.142533	0	0.128816	0.871184	0		0.956445	0.0429699	0.000585436	0.219486	0.118676	0.661838	
Seg 13	830.268	85.4	0.252015	0.10934	0.142675	0	0.127249	0.872751	0		0.956627	0.0427827	0.000590685	0.221449	0.118523	0.660028	
Seg 14	838.676	85.4	0.24991	0.107093	0.142817	0	0.125695	0.874305	0		0.956804	0.0425997	0.000596042	0.223408	0.118369	0.658223	
Seg 15	847.094	85.4	0.247849	0.104889	0.14296	0	0.124153	0.875847	0		0.956978	0.0424207	0.00060151	0.225364	0.118212	0.656424	
Seg 16	855.522	85.4	0.24583	0.102728	0.143102	0	0.122623	0.877377	0		0.957147	0.0422457	0.00060709	0.227316	0.118054	0.65463	
Seg 17	863.961	85.4	0.243852	0.100607	0.143245	0	0.121104	0.878896	0		0.957313	0.0420745	0.000612781	0.229264	0.117894	0.652842	
Seg 18	872.409	85.4	0.241915	0.0985271	0.143388	0	0.119596	0.880404	0		0.957474	0.0419071	0.000618585	0.231209	0.117732	0.651059	
Seg 19	880.868	85.4	0.240017	0.0964859	0.143532	0	0.118098	0.881902	0		0.957632	0.0417435	0.000624504	0.233149	0.117569	0.649282	
Seg 20	889.337	85.4	0.238158	0.0944826	0.143675	0	0.116611	0.883389	0		0.957786	0.0415835	0.000630537	0.235086	0.117404	0.64751	
Seg 21	897.815	85.4	0.236335	0.0925162	0.143819	0	0.115135	0.884865	0		0.957936	0.041427	0.000636687	0.237019	0.117238	0.645743	
Seg 22	906.303	85.4	0.234549	0.0905858	0.143963	0	0.113668	0.886332	0		0.958083	0.0412739	0.000642953	0.238948	0.117071	0.643981	
Seg 23	914.8	85.4	0.232798	0.0886904	0.144108	0	0.112211	0.887789	0		0.958226	0.0411243	0.000649338	0.240873	0.116902	0.642225	
Seg 24	923.307	85.4	0.231081	0.0868291	0.144252	0	0.110763	0.889237	0		0.958366	0.040978	0.000655842	0.242794	0.116732	0.640473	
Seg 25	931.823	85.4	0.229398	0.0850011	0.144397	0	0.109324	0.890676	0		0.958503	0.0408349	0.000662467	0.244712	0.116561	0.638727	
Seg 26	940.348	85.4	0.227748	0.0832054	0.144543	0	0.107894	0.892106	0		0.958636	0.040695	0.000669213	0.246625	0.116389	0.636987	
Seg 27	948.883	85.4	0.226129	0.0814413	0.144688	0	0.106473	0.893527	0		0.958766	0.0405582	0.000676082	0.248534	0.116215	0.635251	
Seg 28	957.426	85.4	0.224542	0.079708	0.144834	0	0.10506	0.89494	0		0.958892	0.0404245	0.000683075	0.250439	0.116041	0.63352	
Seg 29	965.978	85.4	0.222985	0.0780047	0.14498	0	0.103655	0.896345	0		0.959016	0.0402937	0.000690193	0.25234	0.115866	0.631794	
Seg 30	974.539	85.4	0.221457	0.0763306	0.145127	0	0.102257	0.897743	0		0.959137	0.0401659	0.000697437	0.254237	0.115689	0.630074	
Seg 31	983.108	85.4	0.219958	0.074685	0.145273	0	0.100868	0.899132	0		0.959254	0.0400409	0.00070481	0.25613	0.115512	0.628358	
Seg 32	991.686	85.4	0.218488	0.0730673	0.14542	0	0.0994856	0.900514	0		0.959369	0.0399187	0.000712312	0.258019	0.115334	0.626647	
Seg 33	1000.27	85.4	0.217045	0.0714767	0.145568	0	0.0981104	0.90189	0		0.959481	0.0397993	0.000719944	0.259904	0.115155	0.624942	
Seg 34	1008.87	85.4	0.215628	0.0699126	0.145716	0	0.0967422	0.903258	0		0.95959	0.0396826	0.000727709	0.261784	0.114975	0.623241	
Seg 35	1017.47	85.4	0.214238	0.0683744	0.145864	0	0.0953805	0.90462	0		0.959696	0.0395685	0.000735606	0.26366	0.114794	0.621545	
Seg 36	1026.08	85.4	0.212873	0.0668613	0.146012	0	0.0940252	0.905975	0		0.959799	0.039457	0.000743639	0.265533	0.114613	0.619854	
Seg 37	1034.7	85.4	0.211533	0.065373	0.146161	0	0.0926762	0.907324	0		0.9599	0.039348	0.000751807	0.2674	0.114431	0.618168	
Seg 38	1043.33	85.4	0.210218	0.0639086	0.146309	0	0.0913331	0.908667	0		0.959998	0.0392415	0.000760114	0.269264	0.114249	0.616487	
Seg 39	1051.96	85.4	0.208927	0.0624678	0.146459	0	0.0899957	0.910004	0		0.960094	0.0391374	0.000768559	0.271124	0.114066	0.614811	
Seg 40	1060.61	85.4	0.207658	0.0610499	0.146608	0	0.0886639	0.911336	0		0.960187	0.0390357	0.000777146	0.272979	0.113882	0.613139	
Seg 41	1069.26	85.4	0.206413	0.0596543	0.146758	0	0.0873374	0.912663	0		0.960278	0.0389364	0.000785874	0.27483	0.113698	0.611472	
Seg 42	1077.91	85.4	0.20519	0.0582807	0.146909	0	0.0860159	0.913984	0		0.960366	0.0388394	0.000794747	0.276677	0.113513	0.60981	
Seg 43	1086.58	85.4	0.203988	0.0569285	0.14706	0	0.0846993	0.915301	0		0.960452	0.0387446	0.000803765	0.27852	0.113328	0.608153	
Seg 44	1095.25	85.4	0.202808	0.0555971	0.147211	0	0.0833874	0.916613	0		0.960535	0.038652	0.00081293	0.280358	0.113142	0.6065	
Seg 45	1103.93	85.4	0.201648	0.0542862	0.147362	0	0.0820799	0.91792	0		0.960616	0.0385616	0.000822244	0.282192	0.112956	0.604852	
Seg 46	1112.62	85.4	0.200509	0.0529952	0.147514	0	0.0807766	0.919223	0		0.960695	0.0384733	0.000831708	0.284022	0.112769	0.603209	
Seg 47	1121.32	85.4	0.19939	0.0517237	0.147666	0	0.0794773	0.920523	0		0.960772	0.0383871	0.000841325	0.285848	0.112583	0.60157	
Seg 48	1130.02	85.4	0.19829	0.0504713	0.147818	0	0.0781819	0.921818	0		0.960846	0.038303	0.000851095	0.287669	0.112395	0.599936	
Seg 49	1138.73	85.4	0.197209	0.0492375	0.147971	0	0.07689	0.92311	0		0.960918	0.0382209	0.000861021	0.289486	0.112208	0.598306	
Seg 50	1147.45	85.4	0.196147	0.048022	0.148125	0	0.0756014	0.924399	0		0.960988	0.0381407	0.000871104	0.291298	0.11202	0.596681	


0.38636 0.101534 0.512106 0.38636 0.101534 0.512106 0.954133 0.0453326 0.000534734 0.197668 0.120212 0.682121 0.954368 0.0450932 0.000538815 0.199664 0.120085 0.680251 0.954598 0.0448586 0.000543007 0.201661 0.119955 0.678384 0.954823 0.0446292 0.000547302 0.203655 0.119823 0.676522 0.955043 0.044405 0.0005517 0.205646 0.119688 0.674666 0.955258 0.0441859 0.000556203 0.207633 0.11955 0.672817 0.955468 0.0439716 0.00056081 0.209617 0.11941 0.670973 0.955672 0.0437622 0.000565522 0.211598 0.119268 0.669134 0.955872 0.0435574 0.00057034 0.213575 0.119123 0.667302 0.956068 0.0433571 0.000575265 0.215549 0.118976 0.665475 0.956258 0.0431613 0.000580297 0.217519 0.118827 0.663654 0.956445 0.0429699 0.000585436 0.219486 0.118676 0.661838 0.956627 0.0427827 0.000590685 0.221449 0.118523 0.660028 0.956804 0.0425997 0.000596042 0.223408 0.118369 0.658223 0.956978 0.0424207 0.00060151 0.225364 0.118212 0.656424 0.957147 0.0422457 0.00060709 0.227316 0.118054 0.65463 0.957313 0.0420745 0.000612781 0.229264 0.117894 0.652842 0.957474 0.0419071 0.000618585 0.231209 0.117732 0.651059 0.957632 0.0417435 0.000624504 0.233149 0.117569 0.649282 0.957786 0.0415835 0.000630537 0.235086 0.117404 0.64751 0.957936 0.041427 0.000636687 0.237019 0.117238 0.645743 0.958083 0.0412739 0.000642953 0.238948 0.117071 0.643981 0.958226 0.0411243 0.000649338 0.240873 0.116902 0.642225 0.958366 0.040978 0.000655842 0.242794 0.116732 0.640473 0.958503 0.0408349 0.000662467 0.244712 0.116561 0.638727 0.958636 0.040695 0.000669213 0.246625 0.116389 0.636987 0.958766 0.0405582 0.000676082 0.248534 0.116215 0.635251 0.958892 0.0404245 0.000683075 0.250439 0.116041 0.63352 0.959016 0.0402937 0.000690193 0.25234 0.115866 0.631794 0.959137 0.0401659 0.000697437 0.254237 0.115689 0.630074 0.959254 0.0400409 0.00070481 0.25613 0.115512 0.628358 0.959369 0.0399187 0.000712312 0.258019 0.115334 0.626647 0.959481 0.0397993 0.000719944 0.259904 0.115155 0.624942 0.95959 0.0396826 0.000727709 0.261784 0.114975 0.623241 0.959696 0.0395685 0.000735606 0.26366 0.114794 0.621545 0.959799 0.039457 0.000743639 0.265533 0.114613 0.619854 0.9599 0.039348 0.000751807 0.2674 0.114431 0.618168 0.959998 0.0392415 0.000760114 0.269264 0.114249 0.616487 0.960094 0.0391374 0.000768559 0.271124 0.114066 0.614811 0.960187 0.0390357 0.000777146 0.272979 0.113882 0.613139 0.960278 0.0389364 0.000785874 0.27483 0.113698 0.611472 0.960366 0.0388394 0.000794747 0.276677 0.113513 0.60981 0.960452 0.0387446 0.000803765 0.27852 0.113328 0.608153 0.960535 0.038652 0.00081293 0.280358 0.113142 0.6065 0.960616 0.0385616 0.000822244 0.282192 0.112956 0.604852 0.960695 0.0384733 0.000831708 0.284022 0.112769 0.603209 0.960772 0.0383871 0.000841325 0.285848 0.112583 0.60157 0.960846 0.038303 0.000851095 0.287669 0.112395 0.599936 0.960918 0.0382209 0.000861021 0.289486 0.112208 0.598306 0.960988 0.0381407 0.000871104 0.291298 0.11202 0.596681 2.82524   	725.189   	85.4      	6.79468   	1213.91   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	X[0]	X[1]	X[2]	
Seg 0	725.189	85.4	1.54112	1.54112	0	0	1	0	0		0.384877	0.101701	0.513422	0.384877	0.101701	0.513422	
Seg 1	730.296	85.4	0.250896	0.12441	0.126487	0	0.495862	0.504138	0		0.954124	0.0453411	0.000534743	0.197673	0.120235	0.682092	
Seg 2	738.625	85.4	0.248437	0.121855	0.126582	0	0.13848	0.86152	0		0.954362	0.0450991	0.000538863	0.199688	0.120107	0.680206	
Seg 3	746.982	85.4	0.246029	0.119319	0.12671	0	0.135028	0.864972	0		0.954595	0.0448622	0.000543095	0.201703	0.119975	0.678322	
Seg 4	755.351	85.4	0.243676	0.11684	0.126836	0	0.133397	0.866603	0		0.954822	0.0446306	0.000547432	0.203715	0.119841	0.676444	
Seg 5	763.731	85.4	0.241376	0.114414	0.126962	0	0.131786	0.868214	0		0.955044	0.0444043	0.000551873	0.205723	0.119704	0.674573	
Seg 6	772.122	85.4	0.239128	0.11204	0.127088	0	0.130191	0.869809	0		0.95526	0.0441832	0.00055642	0.207728	0.119564	0.672708	
Seg 7	780.525	85.4	0.23693	0.109715	0.127215	0	0.12861	0.87139	0		0.955472	0.0439671	0.000561073	0.209729	0.119422	0.670849	
Seg 8	788.938	85.4	0.23478	0.107439	0.127341	0	0.127043	0.872957	0		0.955678	0.0437559	0.000565832	0.211727	0.119278	0.668996	
Seg 9	797.362	85.4	0.232678	0.10521	0.127468	0	0.125491	0.874509	0		0.95588	0.0435494	0.000570698	0.21372	0.119131	0.667149	
Seg 10	805.797	85.4	0.230621	0.103026	0.127595	0	0.123951	0.876049	0		0.956077	0.0433476	0.000575672	0.21571	0.118982	0.665307	
Seg 11	814.242	85.4	0.228609	0.100887	0.127722	0	0.122425	0.877575	0		0.956269	0.0431504	0.000580755	0.217696	0.118831	0.663472	
Seg 12	822.697	85.4	0.226641	0.0987909	0.12785	0	0.120912	0.879088	0		0.956456	0.0429576	0.000585947	0.219679	0.118678	0.661643	
Seg 13	831.163	85.4	0.224714	0.0967365	0.127977	0	0.119411	0.880589	0		0.95664	0.0427691	0.000591249	0.221657	0.118524	0.659819	
Seg 14	839.638	85.4	0.222828	0.0947227	0.128105	0	0.117922	0.882078	0		0.956819	0.0425848	0.000596661	0.223632	0.118367	0.658001	
Seg 15	848.123	85.4	0.220982	0.0927484	0.128233	0	0.116445	0.883555	0		0.956993	0.0424047	0.000602186	0.225602	0.118208	0.656189	
Seg 16	856.618	85.4	0.219174	0.0908125	0.128361	0	0.114979	0.885021	0		0.957164	0.0422286	0.000607822	0.227569	0.118048	0.654383	
Seg 17	865.123	85.4	0.217404	0.0889138	0.12849	0	0.113525	0.886475	0		0.95733	0.0420565	0.000613573	0.229532	0.117886	0.652582	
Seg 18	873.637	85.4	0.21567	0.0870515	0.128618	0	0.112082	0.887918	0		0.957492	0.0418882	0.000619437	0.23149	0.117722	0.650787	
Seg 19	882.16	85.4	0.213972	0.0852244	0.128747	0	0.110649	0.889351	0		0.957651	0.0417237	0.000625417	0.233445	0.117557	0.648998	
Seg 20	890.693	85.4	0.212308	0.0834317	0.128876	0	0.109226	0.890774	0		0.957806	0.0415629	0.000631513	0.235395	0.117391	0.647214	
Seg 21	899.234	85.4	0.210678	0.0816723	0.129006	0	0.107813	0.892187	0		0.957957	0.0414057	0.000637727	0.237342	0.117223	0.645435	
Seg 22	907.785	85.4	0.209081	0.0799455	0.129135	0	0.106411	0.893589	0		0.958104	0.041252	0.000644058	0.239284	0.117054	0.643662	
Seg 23	916.344	85.4	0.207515	0.0782504	0.129265	0	0.105017	0.894983	0		0.958248	0.0411017	0.00065051	0.241222	0.116883	0.641895	
Seg 24	924.912	85.4	0.205981	0.0765861	0.129395	0	0.103633	0.896367	0		0.958388	0.0409548	0.000657082	0.243156	0.116711	0.640133	
Seg 25	933.488	85.4	0.204477	0.0749518	0.129525	0	0.102258	0.897742	0		0.958525	0.0408112	0.000663775	0.245086	0.116538	0.638376	
Seg 26	942.074	85.4	0.203003	0.0733468	0.129656	0	0.100891	0.899109	0		0.958659	0.0406709	0.000670592	0.247011	0.116364	0.636624	
Seg 27	950.667	85.4	0.201557	0.0717702	0.129787	0	0.099533	0.900467	0		0.958789	0.0405337	0.000677533	0.248932	0.116189	0.634878	
Seg 28	959.269	85.4	0.200139	0.0702214	0.129918	0	0.098183	0.901817	0		0.958916	0.0403996	0.000684599	0.250849	0.116013	0.633138	
Seg 29	967.879	85.4	0.198749	0.0686997	0.130049	0	0.0968409	0.903159	0		0.95904	0.0402685	0.000691792	0.252762	0.115836	0.631402	
Seg 30	976.497	85.4	0.197385	0.0672044	0.130181	0	0.0955064	0.904494	0		0.959161	0.0401403	0.000699112	0.25467	0.115658	0.629672	
