Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
1         	3856.45   	40        	6000      	0         	
2         	3779.56   	40        	6000      	0         	
3.61528   	3723.02   	40        	6000      	0         	
6.53258   	3671.6    	40        	6000      	0         	
11.2057   	3629.44   	40        	6000      	0         	
16.2057   	3604.69   	40        	6000      	0         	
20        	3592.9    	40        	6000      	0         	
