Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
1         	5762.35   	40        	0         	-6000.45  	
2         	5875.3    	40        	0         	-6000.45  	
3.61528   	6009.18   	40        	0         	-6000.45  	
6.53258   	6228      	40        	0         	-6000.46  	
11.2057   	6531.6    	40        	0         	-6000.57  	
16.2057   	6580.8    	40        	0         	-6001.08  	
20        	6550.04   	40        	0         	-6000.58  	
